%time,field.data
1531930511278621832,273.89
1531930511517472616,273.76
1531930511741875272,274.15
1531930511995661416,275.22
1531930512251593256,277.26
1531930512537051272,279.37
1531930512779160776,281.11
1531930513010581672,282.54
1531930513242278120,284.65
1531930513512476072,287.48
1531930513756737736,291.06
1531930514007485864,296.83
1531930514232338248,301.37
1531930514462768232,304.19
1531930514727740808,307.0
1531930514989720296,310.01
1531930515232715400,314.95
1531930515450061384,318.43
1531930515731095080,320.1
1531930515944302600,319.95
1531930516220516072,320.43
1531930516435535144,321.09
1531930516722511496,323.13
1531930516950888712,324.51
1531930517206354280,322.99
1531930517483511688,321.22
1531930517710703208,321.61
1531930517944234376,322.62
1531930518190787240,322.58
1531930518458047848,320.39
1531930518706126728,316.75
1531930518966939944,314.7
1531930519209617512,313.86
1531930519477042024,312.61
1531930519706202632,313.82
1531930519962128104,317.7
1531930520211339432,321.54
1531930520442157160,324.26
1531930520709590120,326.44
1531930520938385000,328.43
1531930521206467880,332.7
1531930521432332072,338.45
1531930521717265448,344.67
1531930521952618024,347.93
1531930522206682536,353.23
1531930522461814760,358.8
1531930522716700968,4.86
1531930522930882824,9.29
1531930523147243688,14.6
1531930523422875304,20.34
1531930523651842600,26.13
1531930523951833320,35.09
1531930524150615272,39.76
1531930524399417192,45.77
1531930524646555560,52.5
1531930524928809992,59.84
1531930525143966408,63.51
1531930525460904776,68.59
1531930525628749960,71.62
1531930525855737096,76.3
1531930526115584904,81.18
1531930526351885288,85.43
1531930526598278600,89.82
1531930526862889032,94.3
1531930527073566440,99.72
1531930527315177352,103.96
1531930527539501224,108.23
1531930527798811624,111.28
1531930528044020584,115.4
1531930528295548392,119.25
1531930528546636328,120.49
1531930528815004712,120.21
1531930529076612872,120.2
1531930529270645736,119.85
1531930529493132744,118.72
1531930529747121896,116.03
1531930530000023048,112.63
1531930530273124680,109.6
1531930530508056968,108.04
1531930530741671048,106.97
1531930530964209928,103.5
1531930531222769064,97.29
1531930531461016808,93.81
1531930531727625256,90.98
1531930531945380712,90.86
1531930532212865160,92.64
1531930532457748136,91.0
1531930532698833960,87.88
1531930532928132424,85.97
1531930533167262472,87.42
1531930533415199240,90.64
1531930533667159496,92.74
1531930533906097000,94.42
1531930534181131240,96.66
1531930534413281320,99.72
1531930534644367368,103.52
1531930534878995432,107.44
1531930535101452232,110.88
1531930535344275944,114.78
1531930535585285352,119.18
1531930535902356392,124.16
1531930536089415208,127.59
1531930536340940392,134.32
1531930536581324936,140.29
1531930536827623304,147.11
1531930537069103336,153.25
1531930537300337704,159.25
1531930537549612552,166.13
1531930537788216744,171.76
1531930538089375432,178.96
1531930538306347464,184.38
1531930538552626824,189.72
1531930538792307976,194.67
1531930539042088584,199.13
1531930539319990152,202.62
1531930539546440584,205.44
1531930539806846856,205.89
1531930540033581736,205.68
1531930540312706792,208.24
1531930540556851208,208.25
1531930540781462632,207.82
1531930541023287048,208.06
1531930541263441960,207.86
1531930541533880360,206.1
1531930541775908424,204.21
1531930542027320360,201.29
1531930542319280456,196.76
1531930542525393448,194.57
1531930542730677192,193.55
1531930543010862984,193.57
1531930543233282984,191.88
1531930543516514152,189.23
1531930543747126408,187.78
1531930544003666472,188.01
1531930544284569096,190.86
1531930544541322536,193.73
1531930544764979368,197.95
1531930545001435400,203.83
1531930545213567560,209.58
1531930545500072008,216.78
1531930545709350888,222.83
1531930545967718920,232.24
1531930546188415528,238.63
1531930546452158856,244.64
1531930546694051976,250.62
1531930546950932840,257.41
1531930547171572488,261.88
1531930547400720360,267.3
1531930547637573800,272.4
1531930547910303080,278.6
1531930548155734824,283.27
1531930548401276744,286.6
1531930548649638600,288.77
1531930548904899336,290.07
1531930549140350440,291.2
1531930549396084968,291.32
1531930549627380200,290.59
1531930549877687400,290.52
1531930550136612008,290.67
1531930550372524904,291.16
1531930550632722728,290.57
1531930550890455464,288.43
1531930551126720040,287.44
1531930551346399208,287.69
1531930551643828616,287.14
1531930551836441896,286.24
1531930552111260136,284.93
1531930552341146760,284.04
1531930552603442344,283.42
1531930552846848360,281.01
1531930553103623816,278.42
1531930553363449576,278.98
1531930553599457960,279.53
1531930553847462152,279.05
1531930554105682888,277.94
1531930554346478760,276.38
1531930554638786952,276.1
1531930554833711848,276.48
1531930555116963912,276.76
1531930555367635784,277.78
1531930555632160392,277.12
1531930555840026408,277.7
1531930556151164552,280.11
1531930556370863688,279.52
1531930556609029704,277.68
1531930556819243624,275.92
1531930557041381384,275.73
1531930557302951208,277.07
1531930557534110184,277.66
1531930557812324616,277.63
1531930558090575112,276.21
1531930558297886504,276.09
1531930558556226568,277.8
1531930558794273416,277.87
1531930559040931400,276.37
1531930559307773224,274.75
1531930559561271144,274.5
1531930559801979016,276.11
1531930560057943944,277.04
1531930560304908936,277.15
1531930560547050152,277.68
1531930560838896008,278.14
1531930561043148488,278.47
1531930561294756840,279.44
1531930561578289096,280.17
1531930561796598856,281.63
1531930562047465608,282.46
1531930562273628232,282.7
1531930562531998568,282.52
1531930562773940904,282.97
1531930563000402472,284.16
1531930563242612808,285.75
1531930563491614408,287.97
1531930563762602120,291.35
1531930563987898120,294.6
1531930564225355304,298.63
1531930564472105544,302.35
1531930564725254952,307.72
1531930564969372520,312.0
1531930565207272712,317.47
1531930565501025768,324.0
1531930565746846472,330.56
1531930565966265672,336.15
1531930566235533640,342.29
1531930566482982760,346.97
1531930566727765448,351.6
1531930566969791048,356.13
1531930567233466568,0.09
1531930567474301384,3.3
1531930567709563880,5.29
1531930567990892648,6.35
1531930568198434792,7.72
1531930568512183048,9.12
1531930568689898952,9.6
1531930568927084552,10.23
1531930569166681160,10.91
1531930569424699656,10.79
1531930569695559560,9.07
1531930569939099720,7.28
1531930570172123976,5.94
1531930570397944648,4.76
1531930570639045960,3.87
1531930570917565448,2.06
1531930571139172616,0.32
1531930571389968872,357.96
1531930571644085096,356.28
1531930571883520488,356.46
1531930572166199240,358.64
1531930572400173864,359.87
1531930572644081896,0.31
1531930572898936328,359.41
1531930573198502792,358.28
1531930573406153416,358.61
1531930573647633448,0.38
1531930573904711976,2.81
1531930574158651528,3.83
1531930574400329576,3.69
1531930574668473288,2.23
1531930574899040136,2.14
1531930575141797640,3.67
1531930575356820648,4.7
1531930575589236104,5.64
1531930575849729096,7.04
1531930576094866952,8.35
1531930576366608584,10.37
1531930576553276168,11.91
1531930576822266440,13.77
1531930577093008264,17.16
1531930577318810728,21.24
1531930577571225192,25.95
1531930577821134504,29.66
1531930578066885384,33.4
1531930578375849640,38.69
1531930578545783112,42.26
1531930578882078376,49.15
1531930579066699816,53.28
1531930579268936968,58.33
1531930579522183144,63.89
1531930579783322856,70.14
1531930580022248648,76.6
1531930580244935336,81.18
1531930580518765960,86.64
1531930580757140520,91.42
1531930581012599272,95.02
1531930581250710760,96.27
1531930581450605320,96.92
1531930581691699624,98.85
1531930581956816776,100.85
1531930582199900520,101.67
1531930582447214696,100.17
1531930582708210792,98.68
1531930582957387816,98.7
1531930583184827016,98.72
1531930583405294632,97.59
1531930583659701384,95.53
1531930583932833576,95.05
1531930584151182664,92.91
1531930584438983592,89.41
1531930584643680168,88.48
1531930584873071016,88.78
1531930585108303720,89.09
1531930585340580488,85.39
1531930585590935944,79.46
1531930585836600712,75.22
1531930586107535240,75.84
1531930586331179176,77.54
1531930586558901768,79.18
1531930586776068840,79.46
1531930587031726824,78.06
1531930587299448392,77.15
1531930587539590056,79.13
1531930587842933544,81.68
1531930588083414760,82.86
1531930588287681960,83.15
1531930588561517832,83.68
1531930588800160200,84.3
1531930589053505736,84.77
1531930589262502440,84.94
1531930589508357928,84.64
1531930589755663688,83.37
1531930590012191176,82.36
1531930590250892264,82.26
1531930590533612136,82.89
1531930590737489384,83.8
1531930591005509832,84.68
1531930591234928840,84.48
