%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1531930511286790568,13278,1531930511282725160,base_link,240000.0,-443000.0,-236000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511393076616,13279,1531930511392243112,base_link,256000.0,-444000.0,-240000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511512595784,13280,1531930511511971464,base_link,230000.0,-429000.0,-250000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511582058952,13281,1531930511580146824,base_link,148000.0,-384000.0,-293000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511693731560,13282,1531930511693361256,base_link,96000.0,-354000.0,-324000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511787638984,13283,1531930511786836456,base_link,118000.0,-390000.0,-296000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511943730824,13284,1531930511943011112,base_link,63000.0,-361000.0,-330000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930511988567144,13285,1531930511988089224,base_link,15000.0,-346000.0,-347000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512108225288,13286,1531930512107638280,base_link,4000.0,-359000.0,-341000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512186913864,13287,1531930512185382600,base_link,-15000.0,-364000.0,-338000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512297449320,13288,1531930512297105704,base_link,-21000.0,-380000.0,-330000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512376865192,13289,1531930512376144584,base_link,-14000.0,-387000.0,-313000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512533171656,13290,1531930512532709320,base_link,-19000.0,-390000.0,-309000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512581775720,13291,1531930512581251944,base_link,-20000.0,-397000.0,-299000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512702265960,13292,1531930512701050472,base_link,-16000.0,-399000.0,-295000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512791579656,13293,1531930512791097672,base_link,-3000.0,-399000.0,-286000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512904082248,13294,1531930512902664776,base_link,4000.0,-392000.0,-287000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930512986908136,13295,1531930512985094632,base_link,11000.0,-388000.0,-288000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513118872200,13296,1531930513118284552,base_link,1000.0,-392000.0,-287000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513211650824,13297,1531930513210886504,base_link,0.0,-398000.0,-280000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513292053064,13298,1531930513291557544,base_link,25000.0,-395000.0,-275000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513398718696,13299,1531930513398064776,base_link,45000.0,-389000.0,-273000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513478826248,13300,1531930513478286824,base_link,59000.0,-385000.0,-272000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513585388040,13301,1531930513584549576,base_link,61000.0,-387000.0,-267000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513728546120,13302,1531930513727509512,base_link,78000.0,-379000.0,-272000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513803571400,13303,1531930513796084264,base_link,107000.0,-364000.0,-281000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513900281832,13304,1531930513899738120,base_link,115000.0,-352000.0,-288000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930513988524072,13305,1531930513988084552,base_link,139000.0,-340000.0,-285000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930514088612296,13306,1531930514088215592,base_link,148000.0,-332000.0,-288000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930514190560680,13307,1531930514189956488,base_link,162000.0,-324000.0,-289000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930514298424424,13308,1531930514297929096,base_link,177000.0,-309000.0,-293000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531930514385491752,13309,1531930514384834024,base_link,183000.0,-300000.0,-295000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
