%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1531930511282773000,5778,1531930511280508936,map,62.3529930115,65.115737915,82.3936538696,-0.0726576816929,-0.0319552612841,-0.996406641336,-0.029555501491
1531930511518928264,5779,1531930511518579784,map,57.6761741638,65.0166702271,83.4189529419,-0.0747996926537,-0.0232080244869,-0.996428019288,-0.0315847424619
1531930511743159624,5780,1531930511742806312,map,53.0398597717,64.9235839844,84.4914550781,-0.0873560659148,-0.0365816794886,-0.995051252361,-0.030061664112
1531930511996402152,5781,1531930511995270888,map,48.5162734985,64.87915802,85.5254592896,-0.0873560659148,-0.0365816794886,-0.995051252361,-0.030061664112
1531930512253308584,5782,1531930512252806856,map,43.7893600464,64.9374313354,86.418838501,-0.075755700012,-0.157522314233,-0.983878655453,-0.0378230852487
1531930512538139816,5783,1531930512537437832,map,38.7868347168,65.1921920776,87.0790328979,-0.0495188702629,-0.257589593664,-0.963057232439,-0.0609610512622
1531930512781357736,5784,1531930512780422792,map,34.632068634,65.6259460449,87.4303131104,-0.0495188702629,-0.257589593664,-0.963057232439,-0.0609610512622
1531930513013491784,5785,1531930513012278280,map,30.6046714783,66.193107605,87.4321975708,-0.010370465402,-0.308720010638,-0.94579044243,-0.100323713479
1531930513242327240,5786,1531930513240879816,map,26.9707164764,66.7489471436,87.0263442993,0.00872351323284,-0.326831729707,-0.935224297532,-0.135869180021
1531930513514199272,5787,1531930513513472584,map,22.4842128754,67.6312866211,86.1767883301,0.00872351323284,-0.326831729707,-0.935224297532,-0.135869180021
1531930513759316136,5788,1531930513758482056,map,18.74908638,68.6140060425,85.2645263672,0.032789858294,-0.329353113679,-0.92725795963,-0.17505435729
1531930514009892456,5789,1531930514009274792,map,14.7750816345,69.8992004395,84.0680999756,0.078845092792,-0.299600909642,-0.917671665918,-0.248800039901
1531930514245500776,5790,1531930514244885928,map,11.1948184967,71.2902755737,82.7492294312,0.078845092792,-0.299600909642,-0.917671665918,-0.248800039901
1531930514467867400,5791,1531930514465861672,map,8.28642749786,72.6786575317,81.5847854614,0.0928043124451,-0.283249108513,-0.901628843818,-0.313405057576
1531930514730766376,5792,1531930514729560232,map,4.29104328156,74.9806518555,79.8436203003,0.0891817654739,-0.288296845149,-0.894273414188,-0.330464222665
1531930514990993800,5793,1531930514990569160,map,0.959516406059,77.1977615356,78.2431335449,0.0891817654739,-0.288296845149,-0.894273414188,-0.330464222665
1531930515234920136,5794,1531930515234444264,map,-2.57455158234,79.8208618164,76.4460144043,0.103104914637,-0.25438045767,-0.886090809812,-0.373501052342
1531930515452895304,5795,1531930515452411208,map,-5.49868249893,82.2552642822,75.0236053467,0.118457348695,-0.198051943627,-0.878418433728,-0.418478600949
1531930515732937672,5796,1531930515732396456,map,-9.16615104675,85.5786895752,73.2276229858,0.118457348695,-0.198051943627,-0.878418433728,-0.418478600949
1531930515946532904,5797,1531930515946085768,map,-11.9834938049,88.3013916016,71.7922210693,0.123622280168,-0.167601470548,-0.877990102261,-0.430999604696
1531930516222302312,5798,1531930516221689352,map,-15.3222560883,91.6997070312,70.2115859985,0.131516897212,-0.125303278542,-0.885915670876,-0.426797162866
1531930516453172040,5799,1531930516451973000,map,-18.4023208618,94.8988952637,68.7061462402,0.131516897212,-0.125303278542,-0.885915670876,-0.426797162866
1531930516740401768,5800,1531930516739527112,map,-22.2927055359,98.963760376,66.7953948975,0.142758000577,-0.0930556949335,-0.885360874467,-0.43254700655
1531930516953942888,5801,1531930516953350280,map,-24.6358585358,101.402397156,65.6639480591,0.159572356527,-0.073624176363,-0.876278689781,-0.448610969017
1531930517208607432,5802,1531930517207995016,map,-28.2934093475,105.23714447,63.9327659607,0.159572356527,-0.073624176363,-0.876278689781,-0.448610969017
1531930517489490216,5803,1531930517484511496,map,-31.7832145691,108.885414124,62.3938407898,0.155493750448,-0.0573943485705,-0.887754844482,-0.429440238477
1531930517712188456,5804,1531930517711858536,map,-35.0802993774,112.276252747,61.000087738,0.155493750448,-0.0573943485705,-0.887754844482,-0.429440238477
1531930517945373256,5805,1531930517944967624,map,-38.1820755005,115.361167908,59.7071914673,0.179276881036,-0.00890149953697,-0.890045240295,-0.41904657672
1531930518194621608,5806,1531930518192217800,map,-41.9802513123,118.993499756,58.2086982727,0.172982478546,0.00894271484856,-0.887577226085,-0.426853321063
1531930518460619912,5807,1531930518460032680,map,-45.8878746033,122.65057373,56.7262954712,0.160023711698,-0.0310160544948,-0.892692647804,-0.420155034023
1531930518707297256,5808,1531930518706869032,map,-49.524105072,126.064735413,55.1975860596,0.160023711698,-0.0310160544948,-0.892692647804,-0.420155034023
1531930518967552872,5809,1531930518967198184,map,-53.8138389587,130.080825806,53.3298225403,0.155173749776,-0.0717750879049,-0.906631592946,-0.385731252051
1531930519217006984,5810,1531930519211542664,map,-57.4996376038,133.558364868,51.8156852722,0.135652503415,-0.0795122750137,-0.912621015032,-0.377358025435
1531930519486388712,5811,1531930519480671368,map,-61.5215759277,137.46333313,50.3158531189,0.135652503415,-0.0795122750137,-0.912621015032,-0.377358025435
1531930519707142984,5812,1531930519706712648,map,-64.9264755249,140.878479004,49.1985435486,0.0842482624431,-0.116772639571,-0.917951230504,-0.369637551311
1531930519966522728,5813,1531930519965740328,map,-69.2108917236,145.378326416,47.9723014832,0.0519797828724,-0.141144442241,-0.908036715195,-0.3909548215
1531930520214299016,5814,1531930520213722184,map,-72.6806182861,149.370880127,47.3398513794,-0.00339571958325,-0.129285882999,-0.893237019543,-0.430582461862
1531930520443650824,5815,1531930520442864744,map,-76.0071640015,153.667282104,47.1323547363,-0.00339571958325,-0.129285882999,-0.893237019543,-0.430582461862
1531930520711950408,5816,1531930520711394120,map,-79.2715377808,158.577758789,47.279838562,-0.109096880104,-0.173961606393,-0.867607964381,-0.452870456527
1531930520940273384,5817,1531930520939599656,map,-81.6743774414,162.933837891,47.5405540466,-0.109096880104,-0.173961606393,-0.867607964381,-0.452870456527
