%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531930511388486440,0,1531930511387961320,NED,0.0999999940395,2.95432257652
1531930511452415048,1,1531930511451174280,NED,30.3400001526,2.95432257652
1531930511480835752,2,1531930511480624744,NED,30.3199996948,2.95432257652
1531930511526249256,3,1531930511526098120,NED,30.2999992371,2.95432257652
1531930511565474472,4,1531930511565261320,NED,31.9200000763,2.95432257652
1531930511640165608,5,1531930511639934024,NED,31.8999996185,2.95432257652
1531930511690803240,6,1531930511690585960,NED,33.3400001526,4.54426860809
1531930511732392072,7,1531930511732184360,NED,33.3499984741,4.54426860809
1531930511783526120,8,1531930511783050920,NED,34.7000007629,4.54426860809
1531930511834758696,9,1531930511831145256,NED,34.75,4.54426860809
1531930511906339976,10,1531930511905705192,NED,44.5099983215,4.54426860809
1531930511954938248,11,1531930511954544904,NED,44.5299987793,4.54426860809
1531930511970795944,12,1531930511970481896,NED,44.5299987793,4.54426860809
1531930512039678376,13,1531930512039370696,NED,44.5599975586,4.54426860809
1531930512069789608,14,1531930512069337128,NED,44.5799980164,18.584815979
1531930512128476840,15,1531930512127939528,NED,44.6199989319,18.584815979
1531930512182201480,16,1531930512181947304,NED,44.6599998474,18.584815979
1531930512226412712,17,1531930512225636904,NED,44.719997406,18.584815979
1531930512266591304,18,1531930512266413320,NED,44.7700004578,18.584815979
1531930512325411496,19,1531930512325161160,NED,44.8299980164,18.584815979
1531930512374010760,20,1531930512373791272,NED,44.8699989319,18.584815979
1531930512427164872,21,1531930512426974376,NED,44.8999977112,30.2129497528
1531930512503228840,22,1531930512503000296,NED,44.9399986267,30.2129497528
1531930512546904200,23,1531930512546676456,NED,44.8499984741,30.2129497528
1531930512572450376,24,1531930512572205160,NED,44.8600006104,30.2129497528
1531930512648943912,25,1531930512648738088,NED,44.8799972534,30.2129497528
1531930512697712904,26,1531930512697417032,NED,44.8799972534,30.2129497528
1531930512746270216,27,1531930512745616008,NED,44.1100006104,30.2129497528
1531930512786858344,28,1531930512786556424,NED,44.0999984741,30.2129497528
1531930512826058664,29,1531930512825532552,NED,44.0699996948,35.9143600464
1531930512897997544,30,1531930512897778952,NED,43.4300003052,35.9143600464
1531930512976342312,31,1531930512976049128,NED,43.0599975586,35.9143600464
1531930513021613704,32,1531930513021422632,NED,43.0400009155,35.9143600464
1531930513115286152,33,1531930513114909480,NED,42.6599998474,35.9143600464
1531930513143888456,34,1531930513143137128,NED,41.8899993896,35.9143600464
1531930513193499368,35,1531930513193014024,NED,41.8600006104,35.9143600464
1531930513236901608,36,1531930513233207848,NED,41.8400001526,37.7592353821
1531930513270258952,37,1531930513267650440,NED,40.9500007629,37.7592353821
1531930513339524616,38,1531930513339287496,NED,40.8999977112,37.7592353821
1531930513391873544,39,1531930513391166600,NED,39.8499984741,37.7592353821
1531930513457304584,40,1531930513456989384,NED,38.7599983215,37.7592353821
1531930513466034120,41,1531930513465687688,NED,38.7299995422,37.7592353821
1531930513525203400,42,1531930513524563816,NED,38.6399993896,37.7592353821
1531930513581814856,43,1531930513581420296,NED,37.4199981689,37.5047492981
1531930513683373032,44,1531930513682915368,NED,35.8899993896,37.5047492981
1531930513752462088,45,1531930513752224808,NED,34.469997406,37.5047492981
1531930513793171208,46,1531930513792675592,NED,34.3600006104,37.5047492981
1531930513833032712,47,1531930513832755272,NED,34.2299995422,37.5047492981
1531930513863557544,48,1531930513863166248,NED,33.1399993896,37.5047492981
1531930513961424648,49,1531930513961072040,NED,32.0900001526,37.5047492981
1531930513975335272,50,1531930513975157768,NED,32.0400009155,32.2904777527
1531930514028369640,51,1531930514027253832,NED,31.8999996185,32.2904777527
1531930514079176744,52,1531930514078846056,NED,30.7600002289,32.2904777527
