%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1531930511391741064,0,1531930511390776552,NED,5,0.0,0.0,0.0,-0.285821050406,-19.78399086,-4.24662494659
1531930511452953416,1,1531930511452344072,NED,5,0.0,0.0,0.0,-0.270661205053,-19.6840896606,-4.29764986038
1531930511484243816,2,1531930511482489832,NED,5,0.0,0.0,0.0,-0.278271913528,-19.6165752411,-4.31600666046
1531930511543177320,3,1531930511542902280,NED,5,0.0,0.0,0.0,-0.255732238293,-19.5135574341,-4.34969997406
1531930511568528712,4,1531930511567533352,NED,5,0.0,0.0,0.0,-0.253125727177,-19.4680156708,-4.36574363708
1531930511641808712,5,1531930511641415816,NED,5,0.0,0.0,0.0,-0.237617775798,-19.3581256866,-4.37016248703
1531930511692874152,6,1531930511692394760,NED,5,0.0,0.0,0.0,-0.211247652769,-19.236333847,-4.38432121277
1531930511734286568,7,1531930511733730696,NED,5,0.0,0.0,0.0,-0.186402872205,-19.145067215,-4.39209508896
1531930511785702600,8,1531930511785313480,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.144730463624,-19.0790901184,-4.36422681808
1531930511834799464,9,1531930511832515528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.0833733230829,-18.9747409821,-4.25840425491
1531930511938495016,10,1531930511938247624,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.0316345505416,-18.8039569855,-3.95757579803
1531930511972001640,11,1531930511971752072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.0779462233186,-18.7384586334,-3.80512237549
1531930512042177512,12,1531930512040943048,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.148052230477,-18.6436328888,-3.55387020111
1531930512071194120,13,1531930512070732520,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.217038184404,-18.5699996948,-3.40768551826
1531930512129109448,14,1531930512128826216,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.329906910658,-18.4541168213,-3.19213843346
1531930512184178760,15,1531930512183836584,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.414912223816,-18.388004303,-3.05482387543
1531930512228190088,16,1531930512227866504,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.544297754765,-18.2707939148,-2.82499647141
1531930512296599336,17,1531930512295858536,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.660670042038,-18.1535816193,-2.56733798981
1531930512326779272,18,1531930512326450504,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.746122956276,-18.0766181946,-2.37529492378
1531930512375547496,19,1531930512375164136,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.836166143417,-18.0042514801,-2.20056962967
1531930512430922056,20,1531930512428746152,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.984600782394,-17.8937549591,-1.92315638065
1531930512505460104,21,1531930512505030632,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.21526515484,-17.7319564819,-1.58390450478
1531930512548224008,22,1531930512547942984,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.34762752056,-17.64402771,-1.45891523361
1531930512574055272,23,1531930512573644072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.40853261948,-17.6022834778,-1.37872648239
1531930512651166248,24,1531930512650690536,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.74499070644,-17.4194602966,-1.16213262081
1531930512700049512,25,1531930512699654568,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.91937601566,-17.3242168427,-1.03741574287
1531930512748194728,26,1531930512747657896,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.12016749382,-17.2013092041,-0.774051606655
1531930512788719784,27,1531930512788418184,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.16299438477,-17.1666145325,-0.652029514313
1531930512827852488,28,1531930512827213640,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.22406101227,-17.076133728,-0.163572669029
1531930512899888264,29,1531930512899620392,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.26036405563,-16.9913654327,0.372281163931
1531930512978988904,30,1531930512978655560,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.25918459892,-16.8885345459,1.10673618317
1531930513026078280,31,1531930513025741992,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.29876923561,-16.8024654388,1.61416268349
1531930513117699624,32,1531930513116536744,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.45061206818,-16.6614780426,2.16127085686
1531930513147546056,33,1531930513146711624,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.55162787437,-16.5938968658,2.38979887962
1531930513211108072,34,1531930513210333448,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.65051293373,-16.5255069733,2.59531664848
