%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531930511388653064,0,1531930511387968200,NED,0.0,-86.1496200562
1531930511452437320,1,1531930511451177896,NED,88.0,-86.1496200562
1531930511481087784,2,1531930511480628136,NED,88.0,-86.1496200562
1531930511526660872,3,1531930511526101288,NED,88.0,-86.1496200562
1531930511565641768,4,1531930511565266024,NED,88.0,-86.1496200562
1531930511640618504,5,1531930511639937768,NED,88.0,-86.1496200562
1531930511691033064,6,1531930511690589576,NED,88.0,-86.145980835
1531930511732495848,7,1531930511732187848,NED,88.0,-86.145980835
1531930511783742728,8,1531930511783056040,NED,88.0,-86.145980835
1531930511834799080,9,1531930511831149032,NED,88.0,-86.145980835
1531930511906390792,10,1531930511905708264,NED,-44.0,-86.145980835
1531930511954970216,11,1531930511954548168,NED,-44.0,-86.145980835
1531930511970909736,12,1531930511970484584,NED,-44.0,-86.145980835
1531930512040034152,13,1531930512039373608,NED,-44.0,-86.145980835
1531930512069996872,14,1531930512069340936,NED,-44.0,-84.3051223755
1531930512128599528,15,1531930512127956104,NED,-44.0,-84.3051223755
1531930512182444520,16,1531930512181951912,NED,-44.0,-84.3051223755
1531930512226508744,17,1531930512225640328,NED,-44.0,-84.3051223755
1531930512267042728,18,1531930512266415848,NED,-44.0,-84.3051223755
1531930512325485288,19,1531930512325163848,NED,-44.0,-84.3051223755
1531930512374360232,20,1531930512373794728,NED,-44.0,-84.3051223755
1531930512427821256,21,1531930512426978056,NED,-44.0,-81.7656402588
1531930512503311432,22,1531930512503003560,NED,-44.0,-81.7656402588
1531930512546982152,23,1531930512546679976,NED,-44.0,-81.7656402588
1531930512572594568,24,1531930512572209000,NED,-44.0,-81.7656402588
1531930512649448968,25,1531930512648740872,NED,-44.0,-81.7656402588
1531930512697738376,26,1531930512697420520,NED,-44.0,-81.7656402588
1531930512746477864,27,1531930512745620296,NED,-44.0,-81.7656402588
1531930512786894792,28,1531930512786560200,NED,-44.0,-81.7656402588
1531930512826098760,29,1531930512825535720,NED,-44.0,-78.6764297485
1531930512898744520,30,1531930512897782472,NED,-44.0,-78.6764297485
1531930512976821256,31,1531930512976054120,NED,-44.0,-78.6764297485
1531930513022677448,32,1531930513021425736,NED,-44.0,-78.6764297485
1531930513115371880,33,1531930513114913128,NED,-44.0,-78.6764297485
1531930513144093384,34,1531930513143141352,NED,-44.0,-78.6764297485
1531930513193625640,35,1531930513193020424,NED,-44.0,-78.6764297485
1531930513237297544,36,1531930513233211144,NED,-44.0,-75.5332336426
1531930513270425256,37,1531930513267653480,NED,-44.0,-75.5332336426
1531930513339587016,38,1531930513339290568,NED,-44.0,-75.5332336426
1531930513392030536,39,1531930513391171400,NED,-44.0,-75.5332336426
1531930513457745704,40,1531930513456992744,NED,-44.0,-75.5332336426
1531930513466137928,41,1531930513465691432,NED,-44.0,-75.5332336426
1531930513525239496,42,1531930513524566728,NED,-44.0,-75.5332336426
1531930513582377256,43,1531930513581424680,NED,-44.0,-72.0700302124
1531930513683468520,44,1531930513682918728,NED,-44.0,-72.0700302124
1531930513752610824,45,1531930513752229576,NED,-44.0,-72.0700302124
1531930513793277800,46,1531930513792680712,NED,-44.0,-72.0700302124
1531930513833144904,47,1531930513832758504,NED,-44.0,-72.0700302124
1531930513863608616,48,1531930513863169256,NED,-44.0,-72.0700302124
1531930513961503336,49,1531930513961074952,NED,-44.0,-72.0700302124
1531930513975669608,50,1531930513975161096,NED,-44.0,-64.6409301758
1531930514028523560,51,1531930514027256936,NED,-44.0,-64.6409301758
1531930514079200520,52,1531930514078849000,NED,-44.0,-64.6409301758
1531930514183146568,53,1531930514181192808,NED,-44.0,-64.6409301758
