%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1531930511416186408,4602,1531930511415933672,,0,1517,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930511703471048,4603,1531930511702674344,,0,1517,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930512044350472,4604,1531930512044114568,,0,1517,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930512353629064,4605,1531930512353402504,,0,1517,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930512710270824,4606,1531930512710030600,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930513051342600,4607,1531930513051023912,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930513343844904,4608,1531930513343680392,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930513814213544,4609,1531930513813587912,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930514104300296,4610,1531930514104156328,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930514392460552,4611,1531930514392171176,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930514652822664,4612,1531930514652601160,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930515035809000,4613,1531930515034026760,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930515372276520,4614,1531930515372093832,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930515758262600,4615,1531930515758114984,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930516047885192,4616,1531930516047078024,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930516349077640,4617,1531930516348844072,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930516648733992,4618,1531930516648344968,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930517063667912,4619,1531930517063439496,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930517406105064,4620,1531930517405935112,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930517807103912,4621,1531930517806806440,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930518071939592,4622,1531930518071396936,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930518328697544,4623,1531930518328349384,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930518610166120,4624,1531930518609798408,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930518875874920,4625,1531930518875427880,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930519157380552,4626,1531930519156097928,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930519563255912,4627,1531930519562953544,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930519819836136,4628,1531930519819463048,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930520149309128,4629,1531930520149101416,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930520544940584,4630,1531930520544792680,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930520911104232,4631,1531930520910804328,,0,1515,1552,1542,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930521247033576,4632,1531930521246815464,,0,1515,1552,1542,1510,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930521611157992,4633,1531930521610986760,,0,1515,1552,1542,1510,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930521909138760,4634,1531930521908975880,,0,1515,1552,1542,1510,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930522381402184,4635,1531930522381177768,,0,1515,1552,1542,1510,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531930522748251304,4636,1531930522748093256,,0,1515,1552,1542,1510,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
