%time,field.data
1531944031331746288,266.62
1531944031522251013,266.78
1531944031747381736,266.29
1531944031990006430,266.69
1531944032225488732,267.03
1531944032487439127,265.88
1531944032725193310,263.0
1531944032997946767,259.29
1531944033232230298,257.1
1531944033492170922,255.36
1531944033705686592,253.43
1531944033959676523,251.66
1531944034199297442,250.1
1531944034422051807,248.27
1531944034730896082,246.86
1531944034970650473,245.98
1531944035153300238,245.66
1531944035384046398,245.32
1531944035652530844,245.88
1531944035886133776,245.99
1531944036172256611,245.37
1531944036370590609,244.84
1531944036577829896,244.84
1531944036823436136,245.19
1531944037059160361,245.7
1531944037300589267,246.11
1531944037586765224,246.44
1531944037802996423,246.76
1531944038103917452,247.06
1531944038305792057,247.07
1531944038575901164,246.69
1531944038829341473,246.49
1531944039049610459,246.61
1531944039327764928,246.98
1531944039498130497,247.11
1531944039719548400,247.12
1531944039951852725,247.39
1531944040235620293,247.21
1531944040481711397,247.94
1531944040723015219,247.82
1531944040959618576,247.99
1531944041198266585,249.16
1531944041416702919,249.59
1531944041715089354,249.86
1531944041898001779,249.47
1531944042162367874,247.1
1531944042409651704,245.7
1531944042647700104,245.86
1531944042917843552,246.07
1531944043177905626,245.0
1531944043407752763,244.56
1531944043638577682,246.08
1531944043907640213,247.98
1531944044140791127,248.28
1531944044385405482,246.95
1531944044639641407,245.33
1531944044869396322,244.25
1531944045105582760,244.29
1531944045377735663,243.57
1531944045599760479,242.05
1531944045861663115,241.09
1531944046106186496,241.95
1531944046416441462,242.69
1531944046593468348,242.88
1531944046855705221,243.75
1531944047070067360,244.88
1531944047308047958,246.02
1531944047554421723,246.2
1531944047796591176,246.1
1531944048047734527,246.07
1531944048278111167,246.81
1531944048543954824,247.48
1531944048764945348,245.92
1531944049001201067,244.49
1531944049268241162,244.22
1531944049513592987,245.84
1531944049800277083,249.21
1531944050014653113,251.69
1531944050292049620,253.69
1531944050507251947,254.05
1531944050756519127,255.58
1531944051040113494,260.59
1531944051265207757,264.42
1531944051507100162,267.63
1531944051749746319,270.69
1531944051975769950,272.65
1531944052224204180,275.17
1531944052492518505,277.72
1531944052715143865,279.23
1531944052989650610,280.38
1531944053201177455,280.64
1531944053473665949,280.87
1531944053649762897,281.29
1531944053917948424,282.07
1531944054142132395,282.53
1531944054349962380,282.79
1531944054609288123,282.24
1531944054879099427,281.79
1531944055104096543,281.15
