%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1531944031325152688,4513,1531944031324112411,base_link,-39000.0,-260000.0,-410000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031373493271,4514,1531944031371628841,base_link,-40000.0,-282000.0,-393000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031467417758,4515,1531944031466185867,base_link,-40000.0,-282000.0,-393000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031573261553,4516,1531944031572622392,base_link,-93000.0,-252000.0,-427000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031641687571,4517,1531944031641101017,base_link,-93000.0,-252000.0,-427000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031750932133,4518,1531944031749376052,base_link,-109000.0,-203000.0,-462000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031853774293,4519,1531944031850866258,base_link,-85000.0,-151000.0,-481000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944031959531849,4520,1531944031958815856,base_link,-52000.0,-70000.0,-498000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032040146899,4521,1531944032039587065,base_link,-52000.0,-70000.0,-498000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032160351386,4522,1531944032159975518,base_link,-45000.0,-39000.0,-504000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032250482055,4523,1531944032249587088,base_link,-36000.0,-12000.0,-504000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032361086668,4524,1531944032360444082,base_link,-23000.0,7000.0,-502000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032481416178,4525,1531944032480152510,base_link,-9000.0,25000.0,-501000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032578586554,4526,1531944032577878081,base_link,-10000.0,24000.0,-499000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531944032671812489,4527,1531944032670949137,base_link,-10000.0,22000.0,-498000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
