%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531944031317954007,5878,1531944031317383164,NED,-30.5599994659,6.43778514862
1531944031366692633,5879,1531944031365643556,NED,-30.5599994659,6.43778514862
1531944031405431070,5880,1531944031404901603,NED,-31.7699985504,6.43778514862
1531944031461613783,5881,1531944031460918142,NED,-31.7699985504,6.43778514862
1531944031512367078,5882,1531944031510732950,NED,-33.0499992371,16.0665798187
1531944031537873164,5883,1531944031536072382,NED,-33.0499992371,16.0665798187
1531944031584070504,5884,1531944031583536141,NED,-34.0099983215,16.0665798187
1531944031637412861,5885,1531944031637001569,NED,-34.0,16.0665798187
1531944031664780529,5886,1531944031664292438,NED,-34.6499977112,16.0665798187
1531944031738173634,5887,1531944031737440649,NED,-34.6399993896,16.0665798187
1531944031767451779,5888,1531944031766668427,NED,-34.8199996948,16.0665798187
1531944031805234897,5889,1531944031804649718,NED,-34.8099975586,-5.07297563553
1531944031904460165,5890,1531944031903868394,NED,-34.8199996948,-5.07297563553
1531944031983714012,5891,1531944031983231233,NED,-34.5099983215,-5.07297563553
1531944032015774338,5892,1531944032011624299,NED,-34.4899978638,-5.07297563553
1531944032053159956,5893,1531944032052720952,NED,-34.4799995422,-5.07297563553
1531944032080571271,5894,1531944032080129452,NED,-33.9599990845,-5.07297563553
1531944032123506915,5895,1531944032122941256,NED,-33.9500007629,-5.07297563553
1531944032215844315,5896,1531944032215286880,NED,-33.3899993896,-18.5281047821
1531944032240887333,5897,1531944032240402794,NED,-33.3899993896,-18.5281047821
1531944032290379841,5898,1531944032289741383,NED,-32.75,-18.5281047821
1531944032341727722,5899,1531944032338322827,NED,-32.75,-18.5281047821
1531944032448870640,5900,1531944032448011161,NED,-31.9699993134,-18.5281047821
1531944032502493859,5901,1531944032497875152,NED,-30.9799995422,-18.5281047821
1531944032538596866,5902,1531944032537395629,NED,-30.9699993134,-18.5281047821
1531944032629529639,5903,1531944032627417788,NED,-29.9499988556,-18.5281047821
1531944032703550674,5904,1531944032702960376,NED,-28.7399997711,-21.2624759674
1531944032732473975,5905,1531944032731033925,NED,-28.7299995422,-21.2624759674
1531944032785442128,5906,1531944032782933321,NED,-27.4899997711,-21.2624759674
1531944032860159476,5907,1531944032858335814,NED,-27.4699993134,-21.2624759674
1531944032902216664,5908,1531944032901331425,NED,-26.1599998474,-21.2624759674
1531944032989561569,5909,1531944032988840232,NED,-24.7199993134,-21.2624759674
1531944033061554144,5910,1531944033060999718,NED,-24.7099990845,-21.2624759674
1531944033107803420,5911,1531944033107407935,NED,-23.2299995422,-22.1486797333
1531944033151735758,5912,1531944033151115636,NED,-23.2199993134,-22.1486797333
1531944033226506642,5913,1531944033225743161,NED,-21.6899986267,-22.1486797333
1531944033288723665,5914,1531944033287608380,NED,-20.0699996948,-22.1486797333
1531944033337139415,5915,1531944033336678556,NED,-20.0599994659,-22.1486797333
1531944033388773822,5916,1531944033388150980,NED,-18.6499996185,-22.1486797333
1531944033449878952,5917,1531944033446765382,NED,-18.6299991608,-22.9166564941
