%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1531944031308999215,7206,1531944031308109175,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031327060030,7207,1531944031326416068,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031344161174,7208,1531944031343674619,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031369434334,7209,1531944031368948483,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031384887847,7210,1531944031384086415,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031411900542,7211,1531944031409158073,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031425483705,7212,1531944031424959710,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031446431308,7213,1531944031445882129,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031474569560,7214,1531944031473960030,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031488659438,7215,1531944031487209245,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031507137977,7216,1531944031506428544,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031526549147,7217,1531944031526043424,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031545584769,7218,1531944031545094885,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031563798126,7219,1531944031563181908,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031584814720,7220,1531944031584328069,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031617328642,7221,1531944031609908682,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031624541115,7222,1531944031624061344,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031649819555,7223,1531944031649232201,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031666388737,7224,1531944031665475786,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
1531944031685323208,7225,1531944031684883148,1,1,1472,-63.791236,-49.999969,50.0,-16.0,-3e-06,-0.0,0.0,0.0,0.0,0.0,0.0
