%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1531944031677611955,1015,1531944031677170231,,1531944031578000000,fcu
1531944032174913579,1016,1531944032174448304,,1531944032060000000,fcu
1531944032751052385,1017,1531944032750711108,,1531944032642000000,fcu
1531944033163814583,1018,1531944033163048319,,1531944033059000000,fcu
1531944033752745524,1019,1531944033751323714,,1531944033643000000,fcu
1531944034238476579,1020,1531944034237727883,,1531944034121000000,fcu
1531944034616797038,1021,1531944034616234228,,1531944034499000000,fcu
1531944035217588122,1022,1531944035215665836,,1531944035081000000,fcu
1531944035729979175,1023,1531944035728786387,,1531944035601000000,fcu
1531944036229797681,1024,1531944036228914938,,1531944036099000000,fcu
1531944036557315825,1025,1531944036556997172,,1531944036440000000,fcu
1531944036986338992,1026,1531944036985723702,,1531944036843000000,fcu
1531944037512051681,1027,1531944037511819812,,1531944037399000000,fcu
1531944038128930072,1028,1531944038127828899,,1531944037999000000,fcu
1531944038509244503,1029,1531944038506155829,,1531944038398000000,fcu
1531944038958796753,1030,1531944038958413237,,1531944038859000000,fcu
1531944039337220676,1031,1531944039336854183,,1531944039201000000,fcu
1531944039663991662,1032,1531944039655718495,,1531944039559000000,fcu
1531944040126381998,1033,1531944040125562390,,1531944040022000000,fcu
1531944040428452972,1034,1531944040428285102,,1531944040321000000,fcu
1531944040905452672,1035,1531944040905028580,,1531944040799000000,fcu
1531944041340130866,1036,1531944041335151298,,1531944041221000000,fcu
1531944041784414886,1037,1531944041778911260,,1531944041626000000,fcu
1531944042259468304,1038,1531944042256159632,,1531944042142000000,fcu
1531944042822208612,1039,1531944042822015462,,1531944042679000000,fcu
1531944043345883638,1040,1531944043345606232,,1531944043221000000,fcu
1531944043820423399,1041,1531944043820132906,,1531944043718000000,fcu
1531944044351327509,1042,1531944044351002137,,1531944044241000000,fcu
1531944044906347259,1043,1531944044906039518,,1531944044798000000,fcu
1531944045220900198,1044,1531944045220656584,,1531944045079000000,fcu
1531944045653033145,1045,1531944045652767515,,1531944045542000000,fcu
1531944046167472844,1046,1531944046167119823,,1531944046060000000,fcu
1531944046535082772,1047,1531944046534740855,,1531944046422000000,fcu
1531944046940030609,1048,1531944046939555926,,1531944046821000000,fcu
1531944047396523258,1049,1531944047396299964,,1531944047298000000,fcu
1531944047912228868,1050,1531944047911437676,,1531944047801000000,fcu
1531944048358964814,1051,1531944048358792527,,1531944048259000000,fcu
1531944048798001122,1052,1531944048797553095,,1531944048699000000,fcu
1531944049239425986,1053,1531944049238700841,,1531944049118000000,fcu
1531944049867076498,1054,1531944049866770229,,1531944049742000000,fcu
1531944050442194306,1055,1531944050434760458,,1531944050299000000,fcu
1531944050796400116,1056,1531944050796043799,,1531944050699000000,fcu
1531944051200662176,1057,1531944051200338339,,1531944051099000000,fcu
1531944051713556174,1058,1531944051713235473,,1531944051599000000,fcu
1531944052304949188,1059,1531944052304668327,,1531944052199000000,fcu
1531944052792363020,1060,1531944052791218199,,1531944052679000000,fcu
1531944053125672555,1061,1531944053124950962,,1531944053021000000,fcu
1531944053609727061,1062,1531944053607076111,,1531944053479000000,fcu
1531944054015304056,1063,1531944054015056667,,1531944053898000000,fcu
1531944054595392993,1064,1531944054590668239,,1531944054478000000,fcu
1531944055069107570,1065,1531944055068907924,,1531944054959000000,fcu
1531944055571223600,1066,1531944055569726943,,1531944055443000000,fcu
1531944055954690477,1067,1531944055954375792,,1531944055859000000,fcu
1531944056451889599,1068,1531944056451629697,,1531944056344000000,fcu
1531944056854179304,1069,1531944056853921226,,1531944056744000000,fcu
1531944057382814091,1070,1531944057382542157,,1531944057260000000,fcu
1531944057805286706,1071,1531944057804959829,,1531944057698000000,fcu
1531944058376582714,1072,1531944058376185918,,1531944058245000000,fcu
1531944058877899496,1073,1531944058877564235,,1531944058760000000,fcu
1531944059505852878,1074,1531944059502030963,,1531944059398000000,fcu
1531944059968188055,1075,1531944059967990969,,1531944059843000000,fcu
1531944060502115854,1076,1531944060500965881,,1531944060401000000,fcu
1531944061050937108,1077,1531944061050679415,,1531944060920000000,fcu
1531944061466505764,1078,1531944061465137362,,1531944061360000000,fcu
1531944062005257358,1079,1531944062004972497,,1531944061880000000,fcu
1531944062546227140,1080,1531944062545731561,,1531944062421000000,fcu
1531944063066250117,1081,1531944063065845481,,1531944062944000000,fcu
1531944063417835394,1082,1531944063416794572,,1531944063298000000,fcu
1531944063993840073,1083,1531944063993351053,,1531944063879000000,fcu
1531944064259488996,1084,1531944064259154696,,1531944064140000000,fcu
1531944064749679593,1085,1531944064749007951,,1531944064640000000,fcu
1531944065155239615,1086,1531944065154967617,,1531944065041000000,fcu
1531944065667765774,1087,1531944065667263283,,1531944065540000000,fcu
1531944066065614351,1088,1531944066063703906,,1531944065943000000,fcu
1531944066514274376,1089,1531944066513911499,,1531944066398000000,fcu
1531944066883906555,1090,1531944066874760851,,1531944066758000000,fcu
1531944067367438821,1091,1531944067367169703,,1531944067243000000,fcu
1531944067768999877,1092,1531944067768617993,,1531944067660000000,fcu
1531944068308211928,1093,1531944068307011235,,1531944068199000000,fcu
1531944068801193737,1094,1531944068799047485,,1531944068680000000,fcu
1531944069426445824,1095,1531944069426184419,,1531944069318000000,fcu
1531944069856784879,1096,1531944069856477970,,1531944069743000000,fcu
1531944070330496796,1097,1531944070330222207,,1531944070199000000,fcu
1531944070772338205,1098,1531944070772137151,,1531944070660000000,fcu
1531944071359221803,1099,1531944071358968557,,1531944071240000000,fcu
1531944071675506534,1100,1531944071675250985,,1531944071559000000,fcu
