%time,field.data
1531945946878396465,1
1531945947071116258,1
1531945947284416280,1
1531945947472312569,1
1531945947672256974,1
1531945947875426109,1
1531945948070813760,1
1531945948273132860,1
1531945948474265605,1
1531945948668166598,1
1531945948868931361,1
1531945949081650307,1
1531945949272518342,1
1531945949468910629,1
1531945949674211528,1
1531945949868647367,1
1531945950070232551,1
1531945950269430938,1
1531945950469801882,1
1531945950667767844,1
1531945950871637439,1
1531945951070263075,1
1531945951272159734,1
1531945951467921579,1
1531945951671836732,1
1531945951868307649,1
1531945952068623142,1
1531945952271849104,1
1531945952474941147,1
1531945952667744467,1
1531945952869028964,1
1531945953068652833,1
1531945953268969639,1
1531945953472110761,1
1531945953669595343,1
1531945953868346446,1
1531945954068480445,1
1531945954274946312,1
1531945954474118607,1
1531945954669004548,1
1531945954871380603,1
1531945955078379075,1
1531945955273230984,1
1531945955469339745,1
1531945955680147320,1
1531945955869459577,1
1531945956070045822,1
1531945956275703562,1
1531945956470724543,1
1531945956668859578,1
1531945956871239443,1
1531945957069052020,1
1531945957271542497,1
1531945957472962643,1
1531945957675625906,1
1531945957869313934,1
1531945958072164646,1
1531945958272078253,1
1531945958470597470,1
1531945958677075087,1
1531945958871175951,1
1531945959070340626,1
1531945959270038802,1
1531945959472043353,1
1531945959678588618,1
1531945959886394193,1
1531945960071482173,1
1531945960273993684,1
1531945960469503057,1
1531945960673529815,1
1531945960872910177,1
1531945961072144741,1
1531945961270416897,1
1531945961477161520,1
1531945961672627608,1
1531945961869492664,1
1531945962072223480,1
1531945962276530595,1
1531945962469944861,1
1531945962672828037,1
