%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1531945830568455283,1934,1531945830568258229,,1500,1522,1260,1537,1575,1575,1500,2036
1531945830905232964,1935,1531945830904671353,,1500,1512,1100,1519,1539,1539,1500,2036
1531945831252299047,1936,1531945831251892326,,1500,1507,1100,1509,1519,1519,1500,2036
1531945831538098941,1937,1531945831537635457,,1500,1499,1100,1500,1500,1500,1500,2036
1531945831861040873,1938,1531945831858488654,,1500,1485,1100,1489,1477,1477,1500,2036
1531945832216729799,1939,1531945832216468972,,1500,1486,1244,1477,1454,1454,1500,2036
1531945832556667636,1940,1531945832556450477,,1500,1493,1244,1470,1440,1440,1500,2036
1531945832839011106,1941,1531945832838407684,,1500,1501,1228,1463,1426,1426,1500,2036
1531945833131206418,1942,1531945833130601811,,1500,1517,1228,1461,1421,1421,1500,2036
1531945833526305948,1943,1531945833525390249,,1500,1537,1268,1470,1439,1439,1500,2036
1531945833850526407,1944,1531945833850266283,,1500,1539,1292,1482,1463,1463,1500,2036
1531945834257972851,1945,1531945834257117917,,1500,1536,1316,1493,1485,1485,1500,2036
1531945834568593674,1946,1531945834565974799,,1500,1523,1324,1500,1499,1499,1500,2036
1531945834954878493,1947,1531945834952858527,,1500,1503,1316,1503,1506,1506,1500,2036
1531945835282678731,1948,1531945835279779947,,1500,1492,1300,1498,1495,1495,1500,2036
1531945835628296350,1949,1531945835627035880,,1500,1482,1268,1499,1498,1498,1500,2036
1531945835983891985,1950,1531945835983543787,,1500,1477,1236,1507,1514,1514,1500,2036
1531945836380879482,1951,1531945836380520912,,1500,1480,1236,1515,1530,1530,1500,2036
1531945836667644986,1952,1531945836655344718,,1500,1486,1252,1516,1532,1532,1500,2036
1531945837006496227,1953,1531945837006215806,,1500,1492,1260,1518,1537,1537,1500,2036
1531945837295037966,1954,1531945837294615461,,1500,1495,1268,1520,1540,1540,1500,2036
1531945837668289209,1955,1531945837667940243,,1500,1499,1276,1507,1515,1515,1500,2036
1531945837923611217,1956,1531945837922768033,,1500,1502,1268,1506,1512,1512,1500,2036
1531945838283190117,1957,1531945838282435583,,1500,1501,1260,1508,1517,1517,1500,2036
1531945838618546420,1958,1531945838618290523,,1500,1489,1268,1500,1501,1501,1500,2036
1531945838906741530,1959,1531945838906404090,,1500,1474,1284,1509,1519,1519,1500,2036
1531945839282242705,1960,1531945839281752040,,1500,1466,1300,1500,1499,1499,1500,2036
1531945839593571159,1961,1531945839593296693,,1500,1467,1292,1496,1492,1492,1500,2036
1531945839908578831,1962,1531945839907870751,,1500,1478,1308,1500,1501,1501,1500,2036
1531945840328659142,1963,1531945840327152315,,1500,1486,1268,1532,1564,1564,1500,2036
1531945840733909504,1964,1531945840733643842,,1500,1490,1300,1592,1684,1684,1500,2036
1531945841002725947,1965,1531945841002550440,,1500,1488,1324,1571,1642,1642,1500,2036
1531945841361192288,1966,1531945841360945835,,1500,1474,1388,1551,1603,1603,1500,2036
1531945841616891051,1967,1531945841616453883,,1500,1447,1460,1533,1566,1566,1500,2036
1531945841930649202,1968,1531945841929487115,,1500,1424,1500,1518,1537,1537,1500,2036
1531945842216297408,1969,1531945842216079544,,1500,1434,1484,1522,1544,1544,1500,2036
1531945842515760552,1970,1531945842515642960,,1500,1425,1484,1512,1526,1526,1500,2036
1531945842952343285,1971,1531945842951761953,,1500,1413,1508,1500,1501,1501,1500,2036
1531945843297689608,1972,1531945843297322073,,1500,1400,1532,1493,1485,1485,1500,2036
1531945843660835480,1973,1531945843659386313,,1500,1392,1540,1488,1475,1475,1500,2036
1531945844012889914,1974,1531945844012322733,,1500,1399,1548,1476,1451,1451,1500,2036
1531945844436158649,1975,1531945844435902880,,1500,1423,1540,1461,1421,1421,1500,2036
1531945844850146085,1976,1531945844849497553,,1500,1457,1524,1446,1391,1391,1500,2036
1531945845101717930,1977,1531945845100695781,,1500,1478,1532,1437,1373,1373,1500,2036
1531945845511020135,1978,1531945845510660284,,1500,1504,1556,1449,1397,1397,1500,2036
1531945845862880333,1979,1531945845862581791,,1500,1517,1564,1471,1442,1442,1500,2036
1531945846149956960,1980,1531945846149786415,,1500,1524,1564,1491,1481,1481,1500,2036
1531945846545001199,1981,1531945846544700353,,1500,1523,1540,1510,1521,1521,1500,2036
1531945846775613308,1982,1531945846775272506,,1500,1523,1556,1519,1539,1539,1500,2036
1531945847114451871,1983,1531945847113971419,,1500,1523,1556,1538,1576,1576,1500,2036
1531945847516004350,1984,1531945847515742786,,1500,1532,1548,1527,1555,1555,1500,2036
1531945847859805620,1985,1531945847859506630,,1500,1533,1532,1515,1530,1530,1500,2036
1531945848136709453,1986,1531945848129023918,,1500,1529,1508,1523,1547,1547,1500,2036
1531945848535610242,1987,1531945848535411076,,1500,1519,1500,1526,1552,1552,1500,2036
1531945848961243908,1988,1531945848961021146,,1500,1509,1524,1509,1518,1518,1500,2036
1531945849262483191,1989,1531945849261828576,,1500,1503,1540,1503,1507,1507,1500,2036
1531945849664184701,1990,1531945849663787329,,1500,1496,1548,1506,1512,1512,1500,2036
1531945849939353919,1991,1531945849938972426,,1500,1495,1524,1511,1522,1522,1500,2036
1531945850239467292,1992,1531945850239137535,,1500,1495,1484,1509,1518,1518,1500,2036
1531945850479339154,1993,1531945850479085785,,1500,1498,1468,1508,1517,1517,1500,2036
1531945850854951997,1994,1531945850854700838,,1500,1507,1468,1514,1529,1529,1500,2036
1531945851144311820,1995,1531945851143935161,,1500,1514,1460,1515,1530,1530,1500,2036
1531945851365979364,1996,1531945851365658636,,1500,1519,1452,1514,1528,1528,1500,2036
1531945851609348085,1997,1531945851608955419,,1500,1527,1452,1516,1533,1533,1500,2036
1531945852079174079,1998,1531945852078899133,,1500,1527,1444,1513,1526,1526,1500,2036
1531945852376373109,1999,1531945852376073447,,1500,1524,1436,1503,1506,1506,1500,2036
1531945852699843100,2000,1531945852699590949,,1500,1528,1428,1500,1500,1500,1500,2036
1531945852992290884,2001,1531945852992041390,,1500,1536,1436,1498,1495,1495,1500,2036
1531945853359174306,2002,1531945853355961262,,1500,1545,1468,1510,1521,1521,1500,2036
1531945853721667485,2003,1531945853721154473,,1500,1564,1540,1511,1522,1522,1500,2036
1531945853998665826,2004,1531945853996435776,,1500,1590,1604,1508,1516,1516,1500,2036
1531945854281584609,2005,1531945854279338551,,1500,1556,1628,1511,1522,1522,1500,2036
1531945854661949852,2006,1531945854660925045,,1500,1503,1668,1509,1519,1519,1500,2036
1531945854941188552,2007,1531945854940479127,,1500,1488,1668,1504,1509,1509,1500,2036
1531945855297499854,2008,1531945855297277796,,1500,1482,1548,1510,1521,1521,1500,2036
1531945855647713926,2009,1531945855643150513,,1500,1500,1420,1506,1513,1513,1500,2036
1531945856045391255,2010,1531945856044850583,,1500,1520,1324,1504,1508,1508,1500,2036
1531945856456483877,2011,1531945856456162157,,1500,1535,1292,1514,1529,1529,1500,2036
1531945856754011383,2012,1531945856753421600,,1500,1549,1316,1509,1518,1518,1500,2036
1531945857212067088,2013,1531945857211706661,,1500,1569,1348,1503,1506,1506,1500,2036
1531945857642025846,2014,1531945857638926616,,1500,1580,1364,1498,1495,1495,1500,2036
1531945857952283808,2015,1531945857950655548,,1500,1587,1396,1501,1503,1503,1500,2036
1531945858334815871,2016,1531945858334517202,,1500,1582,1412,1524,1548,1548,1500,2036
1531945858758378602,2017,1531945858758127475,,1500,1601,1492,1500,1500,1500,1500,2036
1531945859135995469,2018,1531945859135793517,,1500,1575,1556,1517,1535,1535,1500,2036
1531945859462169271,2019,1531945859461919456,,1500,1515,1604,1519,1539,1539,1500,2036
1531945859749790317,2020,1531945859749499106,,1500,1484,1628,1504,1510,1510,1500,2036
1531945860079549340,2021,1531945860078325655,,1500,1498,1508,1504,1510,1510,1500,2036
1531945860404944885,2022,1531945860404520971,,1500,1492,1292,1523,1546,1546,1500,2036
1531945860838558913,2023,1531945860838295684,,1500,1505,1252,1526,1552,1552,1500,2036
1531945861176719522,2024,1531945861176180066,,1500,1520,1292,1527,1555,1555,1500,2036
1531945861510918572,2025,1531945861510641577,,1500,1525,1292,1527,1554,1554,1500,2036
1531945861890616874,2026,1531945861886474589,,1500,1524,1324,1527,1555,1555,1500,2036
1531945862201169728,2027,1531945862200656109,,1500,1520,1364,1518,1537,1537,1500,2036
1531945862593644173,2028,1531945862593370635,,1500,1512,1396,1512,1524,1524,1500,2036
1531945862893294158,2029,1531945862892966674,,1500,1503,1404,1515,1530,1530,1500,2036
1531945863243155199,2030,1531945863242602553,,1500,1491,1412,1508,1517,1517,1500,2036
1531945863647815265,2031,1531945863647451156,,1500,1482,1420,1500,1500,1500,1500,2036
1531945863925591095,2032,1531945863925204064,,1500,1477,1396,1503,1507,1507,1500,2036
1531945864235536333,2033,1531945864234416410,,1500,1473,1380,1499,1498,1498,1500,2036
1531945864603176594,2034,1531945864602851640,,1500,1465,1316,1489,1477,1477,1500,2036
1531945864992371659,2035,1531945864992174029,,1500,1467,1284,1482,1464,1464,1500,2036
1531945865389304282,2036,1531945865389036123,,1500,1479,1244,1470,1440,1440,1500,2036
1531945865781771075,2037,1531945865780804408,,1500,1499,1268,1464,1428,1428,1500,2036
1531945866060558041,2038,1531945866060312996,,1500,1514,1316,1468,1436,1436,1500,2036
1531945866431591112,2039,1531945866431033119,,1500,1534,1380,1474,1447,1447,1500,2036
1531945866723101427,2040,1531945866722511163,,1500,1547,1428,1483,1466,1466,1500,2036
1531945867129764939,2041,1531945867129458042,,1500,1551,1476,1500,1501,1501,1500,2036
