%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1531946412700711202,5927,1531946412700384071,base_link,0,1,40.590687,-79.895317,361.156825285,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946412881181439,5928,1531946412880697625,base_link,0,1,40.5906576,-79.8953498,361.38680408,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946413099352572,5929,1531946413099075289,base_link,0,1,40.5906305,-79.8953847,361.566779741,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946413267487772,5930,1531946413266610332,base_link,0,1,40.5906061,-79.8954214,361.716752405,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946413510318606,5931,1531946413509506701,base_link,0,1,40.5905846,-79.8954599,361.856721986,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946413688026060,5932,1531946413687423246,base_link,0,1,40.5905662,-79.8954999,362.006688707,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946413875317262,5933,1531946413874999351,base_link,0,1,40.5905509,-79.8955406,362.126653391,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946414096393005,5934,1531946414095648428,base_link,0,1,40.590539,-79.895582,362.266615909,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946414303021510,5935,1531946414302548613,base_link,0,1,40.5905307,-79.8956236,362.456576689,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946414488188087,5936,1531946414487573652,base_link,0,1,40.5905257,-79.895665,362.666536272,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946414680547741,5937,1531946414679968234,base_link,0,1,40.5905236,-79.8957057,362.836495342,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946414920925155,5938,1531946414920163161,base_link,0,1,40.5905241,-79.8957456,362.946454128,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946415087895194,5939,1531946415087558107,base_link,0,1,40.5905266,-79.8957844,362.956413195,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946415304664927,5940,1531946415303833652,base_link,0,1,40.5905316,-79.8958219,362.886372537,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946415512983769,5941,1531946415503711018,base_link,0,1,40.5905388,-79.895858,362.766332382,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946415698928892,5942,1531946415698037397,base_link,0,1,40.5905484,-79.8958926,362.62629275,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946415876681648,5943,1531946415876275023,base_link,0,1,40.5905603,-79.8959252,362.466254197,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946416101374660,5944,1531946416100100903,base_link,0,1,40.5905746,-79.8959556,362.276216886,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946416291483934,5945,1531946416291207291,base_link,0,1,40.5905911,-79.8959833,362.016181416,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946416498469920,5946,1531946416498015977,base_link,0,1,40.5906095,-79.8960084,361.796147811,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946416721249128,5947,1531946416720375721,base_link,0,1,40.5906298,-79.8960307,361.576116278,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946416881136511,5948,1531946416880649336,base_link,0,1,40.5906514,-79.8960501,361.336087175,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946417148045713,5949,1531946417147662011,base_link,0,1,40.5906742,-79.8960661,361.116061057,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946417299816381,5950,1531946417299440299,base_link,0,1,40.5906982,-79.8960782,360.896038437,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946417503933262,5951,1531946417503344566,base_link,0,1,40.5907229,-79.8960862,360.636019734,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946417689930793,5952,1531946417688361857,base_link,0,1,40.5907481,-79.8960902,360.356004929,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946417891929677,5953,1531946417890574954,base_link,0,1,40.5907738,-79.8960904,360.055993817,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946418102776888,5954,1531946418102297428,base_link,0,1,40.5907996,-79.8960869,359.725986464,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946418289091370,5955,1531946418287827730,base_link,0,1,40.5908252,-79.8960795,359.405983203,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946418446514895,5956,1531946418445969613,base_link,0,1,40.5908503,-79.8960682,359.095984161,0.36000002861,0.0,0.0,0.0,0.36000002861,0.0,0.0,0.0,1.44000011444,1
1531946418719927535,5957,1531946418719241354,base_link,0,1,40.5908746,-79.8960532,358.755989259,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946418929385318,5958,1531946418928404533,base_link,0,1,40.5908974,-79.8960346,358.405998691,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946419126179877,5959,1531946419125635843,base_link,0,1,40.5909186,-79.8960123,358.156012602,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946419288055115,5960,1531946419287602164,base_link,0,1,40.590938,-79.895987,357.986030357,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946419491635261,5961,1531946419491354264,base_link,0,1,40.5909555,-79.8959591,357.976051588,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946419726731481,5962,1531946419726378578,base_link,0,1,40.5909712,-79.8959295,358.086075329,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946419888715667,5963,1531946419888122906,base_link,0,1,40.590985,-79.8958986,358.266101211,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946420053898587,5964,1531946420053676113,base_link,0,1,40.5909969,-79.8958671,358.506128515,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946420277644077,5965,1531946420277330232,base_link,0,1,40.5910073,-79.8958352,358.826156866,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946420468784721,5966,1531946420468210112,base_link,0,1,40.5910161,-79.895803,359.176186205,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946420713902207,5967,1531946420713476661,base_link,0,1,40.5910238,-79.8957709,359.566215908,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946420899412308,5968,1531946420899041316,base_link,0,1,40.5910309,-79.8957393,359.866245353,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946421071555810,5969,1531946421070946081,base_link,0,1,40.5910375,-79.895708,360.096274704,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946421254940934,5970,1531946421254456128,base_link,0,1,40.5910437,-79.8956771,360.256303814,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946421509009099,5971,1531946421508661062,base_link,0,1,40.5910497,-79.8956464,360.326332805,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946421688747437,5972,1531946421688232249,base_link,0,1,40.5910557,-79.8956159,360.236361592,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946421904434160,5973,1531946421899537212,base_link,0,1,40.5910616,-79.8955854,360.056390422,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946422126328596,5974,1531946422125873884,base_link,0,1,40.5910677,-79.8955548,359.786419272,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946422306184525,5975,1531946422305445743,base_link,0,1,40.5910741,-79.895524,359.506448202,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946422492645317,5976,1531946422492067186,base_link,0,1,40.5910809,-79.895493,359.186477169,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946422689789737,5977,1531946422689412470,base_link,0,1,40.5910882,-79.8954616,358.866506336,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946422891757022,5978,1531946422891422847,base_link,0,1,40.591096,-79.8954296,358.58653591,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946423099449167,5979,1531946423098744065,base_link,0,1,40.5911038,-79.8953967,358.31656641,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946423315006068,5980,1531946423314603765,base_link,0,1,40.5911113,-79.8953631,357.976597758,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946423472120199,5981,1531946423471708516,base_link,0,1,40.591118,-79.8953286,357.616630371,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946423696744186,5982,1531946423696410812,base_link,0,1,40.5911233,-79.8952929,357.306664811,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946423895818899,5983,1531946423895467212,base_link,0,1,40.5911269,-79.8952559,357.08670131,0.324899991846,0.0,0.0,0.0,0.324899991846,0.0,0.0,0.0,1.29959996738,1
1531946424066425191,5984,1531946424065705490,base_link,0,1,40.5911284,-79.8952178,356.936739831,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946424304627877,5985,1531946424304312368,base_link,0,1,40.5911275,-79.895179,356.81678009,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946424473136567,5986,1531946424465656922,base_link,0,1,40.5911236,-79.89514,356.776821828,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946424698014498,5987,1531946424697387225,base_link,0,1,40.5911165,-79.8951011,356.756864823,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
1531946424887006795,5988,1531946424884025636,base_link,0,1,40.5911064,-79.895063,356.75690827,0.33639998064,0.0,0.0,0.0,0.33639998064,0.0,0.0,0.0,1.34559992256,1
