%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531946412603167351,3356,1531946412602919042,NED,44.9099998474,42.3009605408
1531946412614876619,3357,1531946412614372924,NED,44.9099998474,42.3009605408
1531946412648878160,3358,1531946412646643308,NED,44.9099998474,42.3009605408
1531946412704792882,3359,1531946412704023878,NED,44.9099998474,42.3009605408
1531946412762269786,3360,1531946412761864442,NED,44.9099998474,42.3009605408
1531946412804851782,3361,1531946412804488250,NED,44.9099998474,42.3009605408
1531946412882984118,3362,1531946412882341637,NED,44.9099998474,47.2051239014
1531946412897906943,3363,1531946412896330355,NED,44.9099998474,47.2051239014
1531946413006313803,3364,1531946413005639243,NED,44.8999977112,47.2051239014
1531946413072692466,3365,1531946413071932874,NED,44.9099998474,47.2051239014
1531946413101401768,3366,1531946413100928904,NED,44.9099998474,47.2051239014
1531946413150218019,3367,1531946413149442867,NED,44.9199981689,47.2051239014
1531946413221003669,3368,1531946413220319760,NED,44.9300003052,46.5558891296
1531946413237766726,3369,1531946413237339260,NED,44.9300003052,46.5558891296
1531946413293785530,3370,1531946413291408274,NED,44.9399986267,46.5558891296
1531946413315954129,3371,1531946413315067180,NED,44.9399986267,46.5558891296
1531946413402866951,3372,1531946413402558132,NED,44.9500007629,46.5558891296
1531946413412857227,3373,1531946413412201396,NED,44.9500007629,46.5558891296
1531946413513392801,3374,1531946413511342836,NED,44.9599990845,46.5558891296
1531946413530342827,3375,1531946413527853518,NED,44.9599990845,46.5558891296
1531946413562764707,3376,1531946413560369554,NED,44.9599990845,46.5558891296
1531946413611549582,3377,1531946413610924261,NED,44.9599990845,46.5558891296
1531946413690925324,3378,1531946413689891393,NED,44.9599990845,43.69140625
1531946413731927114,3379,1531946413731486553,NED,44.9599990845,43.69140625
1531946413812375461,3380,1531946413809922874,NED,44.9500007629,43.69140625
1531946413877407341,3381,1531946413876569664,NED,44.9500007629,43.69140625
1531946413927596659,3382,1531946413926814656,NED,44.9500007629,43.69140625
1531946414015481527,3383,1531946414015027295,NED,44.9500007629,43.9588279724
1531946414099746212,3384,1531946414098396228,NED,44.9399986267,43.9588279724
1531946414129148291,3385,1531946414128562701,NED,44.9300003052,43.9588279724
1531946414168900112,3386,1531946414167753616,NED,44.9199981689,43.9588279724
1531946414214995551,3387,1531946414214738341,NED,44.9199981689,43.9588279724
1531946414304886266,3388,1531946414304078619,NED,44.9099998474,43.9588279724
1531946414369664042,3389,1531946414369254760,NED,44.8999977112,43.9588279724
1531946414453088329,3390,1531946414452391775,NED,44.8999977112,43.4081993103
1531946414490610100,3391,1531946414488998392,NED,44.9099998474,43.4081993103
1531946414529959010,3392,1531946414529205597,NED,44.9099998474,43.4081993103
1531946414563875583,3393,1531946414563075684,NED,44.9300003052,43.4081993103
1531946414616439628,3394,1531946414616114353,NED,44.9399986267,43.4081993103
1531946414683084465,3395,1531946414681613079,NED,44.9599990845,43.4081993103
1531946414702725656,3396,1531946414701986586,NED,44.9599990845,43.4081993103
1531946414779549051,3397,1531946414778989714,NED,44.9799995422,43.4081993103
1531946414796637159,3398,1531946414794888329,NED,44.9799995422,40.8923950195
1531946414832278454,3399,1531946414831968739,NED,44.9899978638,40.8923950195
1531946414922404225,3400,1531946414921740582,NED,44.9899978638,40.8923950195
1531946414966751571,3401,1531946414964193781,NED,44.9899978638,40.8923950195
1531946415009227212,3402,1531946415008364531,NED,44.9899978638,40.8923950195
1531946415090864988,3403,1531946415089662145,NED,44.9799995422,40.8923950195
1531946415123839993,3404,1531946415122845858,NED,44.969997406,40.8923950195
1531946415151228509,3405,1531946415150261938,NED,44.969997406,42.3938407898
1531946415190440298,3406,1531946415188958571,NED,44.9599990845,42.3938407898
1531946415249269907,3407,1531946415248847723,NED,44.9500007629,42.3938407898
1531946415330228992,3408,1531946415329194902,NED,44.9500007629,42.3938407898
1531946415377079318,3409,1531946415376053647,NED,44.9500007629,42.3938407898
1531946415416277661,3410,1531946415414636594,NED,44.9500007629,42.3938407898
1531946415443892779,3411,1531946415441297052,NED,44.9500007629,42.3938407898
1531946415515076154,3412,1531946415514304940,NED,44.9500007629,42.3938407898
1531946415621415570,3413,1531946415616903029,NED,44.9599990845,43.5759391785
1531946415649629084,3414,1531946415648037737,NED,44.75,43.5759391785
1531946415715501716,3415,1531946415713807312,NED,44.75,43.5759391785
1531946415766161593,3416,1531946415765265711,NED,44.75,43.5759391785
1531946415811010264,3417,1531946415810147135,NED,44.75,43.5759391785
1531946415854414635,3418,1531946415853921537,NED,44.75,43.5759391785
1531946415879027689,3419,1531946415877927327,NED,44.75,43.5759391785
1531946415933942161,3420,1531946415925382003,NED,44.75,43.5759391785
1531946415956857449,3421,1531946415956383208,NED,39.5200004578,43.5759391785
1531946416014956088,3422,1531946416008380072,NED,36.3600006104,44.5698204041
1531946416104597149,3423,1531946416102916703,NED,28.6299991608,44.5698204041
1531946416213815242,3424,1531946416207022067,NED,26.3400001526,44.5698204041
1531946416259633270,3425,1531946416258935371,NED,27.859998703,44.5698204041
1531946416295236947,3426,1531946416292749847,NED,38.6299972534,44.5698204041
1531946416348918706,3427,1531946416348167565,NED,41.6800003052,44.5698204041
1531946416399922618,3428,1531946416397325001,NED,44.8299980164,44.5698204041
1531946416454019774,3429,1531946416453426020,NED,44.8199996948,38.1074256897
1531946416501359099,3430,1531946416500307976,NED,44.8199996948,38.1074256897
1531946416538528799,3431,1531946416537529861,NED,44.8199996948,38.1074256897
1531946416598206907,3432,1531946416597184182,NED,44.8199996948,38.1074256897
1531946416630574873,3433,1531946416627987822,NED,44.9300003052,38.1074256897
1531946416725582928,3434,1531946416722383330,NED,44.9399986267,38.1074256897
1531946416739463050,3435,1531946416738622971,NED,44.9399986267,38.1074256897
1531946416760616543,3436,1531946416757947596,NED,44.9399986267,37.8849754333
1531946416824792337,3437,1531946416823588149,NED,44.9399986267,37.8849754333
1531946416854210903,3438,1531946416850900437,NED,44.9399986267,37.8849754333
1531946416883241798,3439,1531946416882022979,NED,44.9399986267,37.8849754333
1531946416924033504,3440,1531946416920020304,NED,44.9399986267,37.8849754333
1531946416973761323,3441,1531946416973108501,NED,44.9500007629,37.8849754333
1531946417028313447,3442,1531946417026772396,NED,44.7399978638,37.8849754333
1531946417120727631,3443,1531946417119176720,NED,44.75,37.8849754333
1531946417172673430,3444,1531946417171859732,NED,44.7599983215,45.8135528564
1531946417207778663,3445,1531946417206187508,NED,44.7599983215,45.8135528564
1531946417259100902,3446,1531946417258279905,NED,44.7700004578,45.8135528564
