%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1531946684001084087,6072,1531946683999806040,map,175.964035034,-29.6826477051,39.1967887878,0.179012444746,0.0236410094571,-0.0111717656131,-0.983499282639
1531946684235294190,6073,1531946684234557457,map,181.184432983,-29.7003669739,39.3089523315,0.179012444746,0.0236410094571,-0.0111717656131,-0.983499282639
1531946684476196749,6074,1531946684475544471,map,186.285842896,-29.4550971985,39.4538612366,0.245106344672,0.0411244688947,-0.05993169821,-0.966767732917
1531946684716151850,6075,1531946684713786408,map,190.884628296,-28.9234371185,39.6131401062,0.245106344672,0.0411244688947,-0.05993169821,-0.966767732917
1531946684974095647,6076,1531946684973417757,map,196.534713745,-27.6686267853,39.9802932739,0.302395013349,0.0827665432886,-0.10565745513,-0.943686101089
1531946685247690965,6077,1531946685247259945,map,201.887542725,-25.7264785767,40.4889297485,0.335861444297,0.117714836757,-0.173597087936,-0.918261595899
1531946685475099249,6078,1531946685473313634,map,205.77166748,-23.7930850983,40.9044532776,0.335861444297,0.117714836757,-0.173597087936,-0.918261595899
1531946685718261184,6079,1531946685717645628,map,209.560287476,-21.2025222778,41.4613838196,0.352063997265,0.183419604033,-0.264812802971,-0.878795977499
1531946685935182188,6080,1531946685934711501,map,212.526138306,-18.3585033417,42.0448989868,0.356573836658,0.245625309567,-0.348726702986,-0.831211761789
1531946686169971383,6081,1531946686169278414,map,215.24281311,-14.8409919739,42.6626396179,0.356573836658,0.245625309567,-0.348726702986,-0.831211761789
1531946686430790911,6082,1531946686429368733,map,217.344024658,-11.0330352783,43.2752304077,0.325660495431,0.290726009813,-0.428028588795,-0.791337574053
1531946686660218330,6083,1531946686659768580,map,218.800994873,-7.05621290207,43.9089775085,0.325660495431,0.290726009813,-0.428028588795,-0.791337574053
1531946686894938083,6084,1531946686894388158,map,219.576095581,-2.96836400032,44.5253791809,0.299435355003,0.33252304922,-0.535280066577,-0.716409198878
1531946687111581579,6085,1531946687110719250,map,219.739212036,0.7917547822,44.9993782043,0.299435355003,0.33252304922,-0.535280066577,-0.716409198878
1531946687359846575,6086,1531946687359374543,map,219.304901123,4.8259563446,45.4152069092,0.278570565641,0.391460441997,-0.617196428228,-0.623077628625
1531946687621024194,6087,1531946687619203362,map,218.056625366,9.06195831299,45.7898178101,0.278570565641,0.391460441997,-0.617196428228,-0.623077628625
1531946687914613704,6088,1531946687905920459,map,215.752349854,13.1621704102,46.2789421082,0.202209216519,0.406332069843,-0.732467548181,-0.507441595293
1531946688060616803,6089,1531946688060049686,map,214.072509766,15.2459545135,46.5964622498,0.12721977956,0.377569929262,-0.816844902468,-0.417157621911
1531946688328930256,6090,1531946688327831462,map,211.232666016,17.9647636414,47.1469306946,0.12721977956,0.377569929262,-0.816844902468,-0.417157621911
1531946688545271785,6091,1531946688542459762,map,208.140945435,20.2373981476,47.9003715515,0.040444797819,0.297479634725,-0.888091828554,-0.348084744435
1531946688785136219,6092,1531946688783502388,map,204.985275269,22.1543083191,48.8430709839,-0.0401153452242,0.173883813923,-0.94236225488,-0.283034554271
1531946689052279869,6093,1531946689051601147,map,201.664505005,23.9516887665,50.0551986694,-0.0401153452242,0.173883813923,-0.94236225488,-0.283034554271
1531946689302773058,6094,1531946689302154140,map,198.479003906,25.6431179047,51.3209877014,-0.0401153452242,0.173883813923,-0.94236225488,-0.283034554271
1531946689509101036,6095,1531946689507953515,map,196.152999878,26.9251747131,52.2111358643,-0.108235819082,-0.00713762315571,-0.965633224127,-0.236191740469
1531946689778762840,6096,1531946689777682232,map,193.030609131,28.7583293915,53.2688102722,-0.105532304934,-0.0747445033141,-0.96372272136,-0.233483849922
1531946689981729639,6097,1531946689980966525,map,190.898574829,30.0938434601,53.8752403259,-0.0872301604141,-0.120791466556,-0.958710278786,-0.242229069419
1531946690218634365,6098,1531946690217924557,map,188.634109497,31.5771121979,54.3752708435,-0.0872301604141,-0.120791466556,-0.958710278786,-0.242229069419
1531946690462666025,6099,1531946690462101565,map,186.01663208,33.3811721802,54.6779098511,-0.0465246065238,-0.145425301185,-0.946595090182,-0.283980066213
1531946690720211680,6100,1531946690719481606,map,183.46434021,35.2378501892,54.6202659607,-0.00445297187638,-0.153113388842,-0.933121025303,-0.325302341423
1531946690974170770,6101,1531946690973500244,map,180.991729736,37.1751174927,54.3195419312,-0.00445297187638,-0.153113388842,-0.933121025303,-0.325302341423
1531946691222124931,6102,1531946691221546448,map,178.768386841,39.081829071,53.9434318542,-0.00445297187638,-0.153113388842,-0.933121025303,-0.325302341423
1531946691491672921,6103,1531946691491133209,map,176.225296021,41.5149040222,53.5461654663,0.00818228703452,-0.13332437985,-0.930748728739,-0.34038869527
1531946691745318486,6104,1531946691744768049,map,174.277709961,43.4787063599,53.1706886292,0.0255666418414,-0.0804441696055,-0.944310171762,-0.318046194614
1531946691973812021,6105,1531946691973303076,map,171.966018677,45.8454055786,52.7204437256,0.0255666418414,-0.0804441696055,-0.944310171762,-0.318046194614
1531946692203405310,6106,1531946692202464224,map,170.004577637,47.8403129578,52.4104423523,0.0381060791312,-0.0395191902253,-0.943511676913,-0.326759660709
1531946692458246995,6107,1531946692454978116,map,167.834106445,50.0336761475,52.1297187805,0.0381060791312,-0.0395191902253,-0.943511676913,-0.326759660709
1531946692714854605,6108,1531946692714022723,map,165.476867676,52.3865394592,51.864315033,0.040330124143,-0.0126727740855,-0.937280582125,-0.34600287897
1531946692919287380,6109,1531946692918500383,map,163.632385254,54.1832389832,51.7052612305,0.040330124143,-0.0126727740855,-0.937280582125,-0.34600287897
1531946693179302655,6110,1531946693178250700,map,161.049301147,56.6202011108,51.5904006958,0.0246479000095,0.0090826944704,-0.932919690546,-0.359125098925
1531946693457742737,6111,1531946693457212277,map,158.48286438,58.9356613159,51.6210670471,0.0246479000095,0.0090826944704,-0.932919690546,-0.359125098925
1531946693649163770,6112,1531946693648670032,map,157.025192261,60.2369766235,51.6932563782,0.000889689683313,-0.00494509010386,-0.932737922888,-0.360520071207
1531946693899013262,6113,1531946693898323911,map,154.482543945,62.4807281494,51.8184356689,0.00912572452512,-0.01454717707,-0.933779172029,-0.357437489186
1531946694120235058,6114,1531946694117759484,map,152.531051636,64.1914749146,51.8922767639,0.00912572452512,-0.01454717707,-0.933779172029,-0.357437489186
1531946694375923481,6115,1531946694375019052,map,150.210800171,66.2183532715,51.8971672058,0.0225409692946,-0.0206142904221,-0.934448480871,-0.354785840095
