%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1531946683947704711,3359,1531946683947019938,,-0.970617415143,1.09447147301,0.0,0.0,0.0,0.0
1531946684506148848,3360,1531946684503405531,,-0.945819618853,1.10482371442,0.0,0.0,0.0,0.0
1531946684930128385,3361,1531946684928165310,,-0.918031530769,1.12483612649,0.0,0.0,0.0,0.0
1531946685382941058,3362,1531946685380132462,,-0.871000362312,1.18299815325,0.0,0.0,0.0,0.0
1531946685852713331,3363,1531946685852293356,,-0.807329797232,1.30903069316,0.0,0.0,0.0,0.0
1531946686324786599,3364,1531946686321947812,,-0.765128753179,1.4380378253,0.0,0.0,0.0,0.0
1531946686945095962,3365,1531946686944770143,,-0.722446952375,1.65731808736,0.0,0.0,0.0,0.0
1531946687425852774,3366,1531946687425618839,,-0.708965913375,1.77917645482,0.0,0.0,0.0,0.0
1531946687975025728,3367,1531946687974588721,,-0.715419084396,1.9346860821,0.0,0.0,0.0,0.0
1531946688357637028,3368,1531946688357229891,,-0.732593924731,2.03608522173,0.0,0.0,0.0,0.0
1531946688727721649,3369,1531946688726949795,,-0.752173998433,2.10755988329,0.0,0.0,0.0,0.0
1531946689380034485,3370,1531946689379749133,,-0.805058643871,2.20878953472,0.0,0.0,0.0,0.0
1531946689709706459,3371,1531946689706924050,,-0.823330224848,2.24070234889,0.0,0.0,0.0,0.0
1531946690171706179,3372,1531946690171443622,,-0.847574586619,2.28265313346,0.0,0.0,0.0,0.0
1531946690631014734,3373,1531946690630431322,,-0.86748718341,2.31984695675,0.0,0.0,0.0,0.0
1531946691281175253,3374,1531946691280739270,,-0.899092683972,2.38868482279,0.0,0.0,0.0,0.0
1531946691766938473,3375,1531946691766452418,,-0.921679742567,2.44906170718,0.0,0.0,0.0,0.0
1531946692240408884,3376,1531946692239860111,,-0.9541857474,2.53896673748,0.0,0.0,0.0,0.0
1531946692793691179,3377,1531946692792663140,,-0.988541451938,2.63983437789,0.0,0.0,0.0,0.0
1531946693210201764,3378,1531946693209319650,,-1.02661659358,2.74358872779,0.0,0.0,0.0,0.0
1531946693747303711,3379,1531946693746502307,,-1.06737074158,2.85420443802,0.0,0.0,0.0,0.0
1531946694301566664,3380,1531946694301263576,,-1.10212909361,2.94335626743,0.0,0.0,0.0,0.0
1531946694928535731,3381,1531946694926623912,,-1.13591356681,3.02991086719,0.0,0.0,0.0,0.0
1531946695510713913,3382,1531946695510237431,,-1.17071842474,3.12007092889,0.0,0.0,0.0,0.0
1531946696039618530,3383,1531946696039326008,,-1.20117788169,3.20134761876,0.0,0.0,0.0,0.0
1531946696446224063,3384,1531946696445823874,,-1.22108513252,3.25556073915,0.0,0.0,0.0,0.0
1531946697052271203,3385,1531946697049242214,,-1.24659379257,3.32399055833,0.0,0.0,0.0,0.0
1531946697503078157,3386,1531946697502810254,,-1.26416886338,3.37051112207,0.0,0.0,0.0,0.0
1531946698068572199,3387,1531946698067963270,,-1.2925600955,3.44556559581,0.0,0.0,0.0,0.0
1531946698459602662,3388,1531946698457831326,,-1.31199675777,3.49755014898,0.0,0.0,0.0,0.0
1531946699041540538,3389,1531946699041067290,,-1.34251046224,3.57829185086,0.0,0.0,0.0,0.0
1531946699506965788,3390,1531946699503755849,,-1.36145593568,3.62634346779,0.0,0.0,0.0,0.0
1531946699912150871,3391,1531946699911847079,,-1.37548168801,3.66017508649,0.0,0.0,0.0,0.0
1531946700261383230,3392,1531946700260907676,,-1.38751882225,3.68832065496,0.0,0.0,0.0,0.0
1531946700630277302,3393,1531946700628405950,,-1.39736051072,3.71109535628,0.0,0.0,0.0,0.0
1531946701081737077,3394,1531946701081398549,,-1.41249343672,3.74620530852,0.0,0.0,0.0,0.0
1531946701445660823,3395,1531946701444812452,,-1.42326032532,3.77129392339,0.0,0.0,0.0,0.0
1531946701959291697,3396,1531946701957392076,,-1.43792682174,3.80515857274,0.0,0.0,0.0,0.0
1531946702462291063,3397,1531946702461716967,,-1.45457323915,3.84315384439,0.0,0.0,0.0,0.0
1531946703015166446,3398,1531946703013846812,,-1.47051119234,3.87892235223,0.0,0.0,0.0,0.0
1531946703711017187,3399,1531946703710424586,,-1.4846603613,3.91166728789,0.0,0.0,0.0,0.0
1531946704078513796,3400,1531946704078308419,,-1.49115447285,3.92704471655,0.0,0.0,0.0,0.0
1531946704596800319,3401,1531946704595052642,,-1.4962358528,3.94080711321,0.0,0.0,0.0,0.0
1531946705067642411,3402,1531946705067422627,,-1.50120833706,3.95646630917,0.0,0.0,0.0,0.0
1531946705708960686,3403,1531946705708536197,,-1.50405260407,3.96110569585,0.0,0.0,0.0,0.0
1531946706248034704,3404,1531946706247350380,,-1.50686433019,3.95319705343,0.0,0.0,0.0,0.0
1531946706727870504,3405,1531946706727710428,,-1.50875949687,3.9541425843,0.0,0.0,0.0,0.0
1531946707177612120,3406,1531946707177204214,,-1.50589929856,3.96925529932,0.0,0.0,0.0,0.0
1531946707633967434,3407,1531946707629351996,,-1.49443360127,3.99868154936,0.0,0.0,0.0,0.0
1531946708162436773,3408,1531946708161909515,,-1.4628741227,4.04601023136,0.0,0.0,0.0,0.0
1531946708561185138,3409,1531946708559036983,,-1.44250646945,4.07343072613,0.0,0.0,0.0,0.0
1531946709123150946,3410,1531946709122696586,,-1.41131757875,4.10856107054,0.0,0.0,0.0,0.0
1531946709497301528,3411,1531946709497063463,,-1.37508788374,4.14100702052,0.0,0.0,0.0,0.0
1531946709959390923,3412,1531946709958801907,,-1.32935364849,4.17745520236,0.0,0.0,0.0,0.0
1531946710514499557,3413,1531946710513873244,,-1.29894465187,4.20227320624,0.0,0.0,0.0,0.0
1531946710999321018,3414,1531946710988917618,,-1.26815525277,4.2253991304,0.0,0.0,0.0,0.0
1531946711441272826,3415,1531946711440823365,,-1.24850907069,4.24061792376,0.0,0.0,0.0,0.0
1531946711940323374,3416,1531946711940052398,,-1.24968668157,4.2395482278,0.0,0.0,0.0,0.0
1531946712361535614,3417,1531946712361269024,,-1.24857419989,4.23998734061,0.0,0.0,0.0,0.0
