%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1532133199037757232,3089,1532133199037299120,base_link,97214.7766113,0.0
1532133199116924912,3090,1532133199116552400,base_link,97211.9018555,0.0
1532133199231102192,3091,1532133199230673040,base_link,97214.7338867,0.0
1532133199342235760,3092,1532133199341945712,base_link,97221.3012695,0.0
1532133199416491856,3093,1532133199416028944,base_link,97222.3876953,0.0
1532133199499658992,3094,1532133199497841392,base_link,97219.53125,0.0
1532133199643643280,3095,1532133199643260208,base_link,97224.3347168,0.0
1532133199759434608,3096,1532133199759052496,base_link,97229.9255371,0.0
1532133199819457808,3097,1532133199819052176,base_link,97231.8664551,0.0
1532133199943038704,3098,1532133199942468656,base_link,97230.9814453,0.0
1532133200042335568,3099,1532133200041990672,base_link,97242.6330566,0.0
1532133200120374384,3100,1532133200119203312,base_link,97244.7875977,0.0
1532133200211332400,3101,1532133200211013456,base_link,97242.8649902,0.0
1532133200320229488,3102,1532133200317724816,base_link,97247.0825195,0.0
1532133200416249744,3103,1532133200415947088,base_link,97246.2158203,0.0
1532133200542586512,3104,1532133200541244496,base_link,97247.265625,0.0
1532133200613300624,3105,1532133200612875088,base_link,97242.2180176,0.0
1532133200699777040,3106,1532133200699346000,base_link,97248.9501953,0.0
1532133200823389104,3107,1532133200823084560,base_link,97247.6013184,0.0
1532133200924680688,3108,1532133200923922704,base_link,97248.5778809,0.0
1532133201020052464,3109,1532133201019797040,base_link,97249.0783691,0.0
1532133201155132816,3110,1532133201154432944,base_link,97249.0844727,0.0
1532133201264300464,3111,1532133201260643184,base_link,97245.0500488,0.0
1532133201321466064,3112,1532133201321125008,base_link,97246.3195801,0.0
1532133201416019216,3113,1532133201415733552,base_link,97249.1638184,0.0
1532133201509520144,3114,1532133201508964368,base_link,97246.2768555,0.0
1532133201609770352,3115,1532133201609391280,base_link,97246.081543,0.0
1532133201756406608,3116,1532133201755522768,base_link,97246.3867188,0.0
1532133201811024336,3117,1532133201810738256,base_link,97245.9533691,0.0
1532133201902289008,3118,1532133201901808048,base_link,97241.9433594,0.0
1532133202074212272,3119,1532133202073916048,base_link,97243.1335449,0.0
