%time,field.data
1532134821380769776,1
1532134821576508368,1
1532134821782952496,1
1532134821975166544,1
1532134822184864720,1
1532134822376633808,1
1532134822579857072,1
1532134822778121648,1
1532134822978051760,1
1532134823175621264,1
1532134823379736784,1
1532134823576914384,1
1532134823779240624,1
1532134823975477744,1
1532134824182520848,1
1532134824381513392,1
1532134824578286960,1
1532134824784636144,1
1532134824986564848,1
1532134825176050256,1
1532134825376959376,1
1532134825577598256,1
1532134825775823120,1
1532134825975176528,1
1532134826177424112,1
1532134826375565040,1
1532134826583274896,1
1532134826775756912,1
1532134826980753840,1
1532134827174824496,1
1532134827376254512,1
1532134827574573840,1
1532134827776058224,1
1532134827976334800,1
1532134828176243760,1
1532134828374191888,1
1532134828577596112,1
1532134828778685936,1
1532134828976485616,1
1532134829176985456,1
1532134829374915600,1
1532134829583590832,1
1532134829775957392,1
1532134829981825680,1
1532134830176795504,1
1532134830375525328,1
1532134830574927952,1
1532134830783817328,1
1532134830981304624,1
1532134831180855184,1
1532134831377269264,1
1532134831576732336,1
1532134831781640400,1
1532134831977556560,1
1532134832174974128,1
1532134832375570064,1
1532134832574633840,1
1532134832775276112,1
1532134832974979120,1
1532134833175798064,1
1532134833375527536,1
1532134833575626032,1
1532134833777347632,1
1532134833976049296,1
1532134834177822512,1
1532134834377328752,1
1532134834579520240,1
1532134834776425264,1
1532134834979122192,1
1532134835177365200,1
1532134835377587248,1
1532134835576599824,1
1532134835776398256,1
1532134835975153136,1
1532134836175981200,1
