%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1532134704612294256,12102,1532134704611935440,base_link,96871.6064453,0.0
1532134704750203376,12103,1532134704749475920,base_link,96869.2565918,0.0
1532134704823658864,12104,1532134704823373968,base_link,96868.4997559,0.0
1532134704941962320,12105,1532134704938037616,base_link,96866.394043,0.0
1532134705070075088,12106,1532134705069521232,base_link,96861.3891602,0.0
1532134705133420880,12107,1532134705132074992,base_link,96861.3891602,0.0
1532134705254455216,12108,1532134705254179152,base_link,96859.0454102,0.0
1532134705323325584,12109,1532134705323026832,base_link,96856.4819336,0.0
1532134705433121680,12110,1532134705432442160,base_link,96851.4038086,0.0
1532134705547376368,12111,1532134705546987312,base_link,96849.6276855,0.0
1532134705623965104,12112,1532134705623609520,base_link,96844.2138672,0.0
1532134705715631280,12113,1532134705715384176,base_link,96846.8261719,0.0
1532134705816643568,12114,1532134705816282768,base_link,96843.0114746,0.0
1532134705918855440,12115,1532134705918538672,base_link,96838.092041,0.0
1532134706051300464,12116,1532134706049997232,base_link,96836.1938477,0.0
1532134706115573872,12117,1532134706115175536,base_link,96836.1938477,0.0
1532134706224736528,12118,1532134706223753040,base_link,96833.2214355,0.0
1532134706343209456,12119,1532134706342777168,base_link,96828.7414551,0.0
1532134706428617488,12120,1532134706426780688,base_link,96827.5817871,0.0
1532134706541253808,12121,1532134706540888368,base_link,96829.4433594,0.0
1532134706651053008,12122,1532134706647166800,base_link,96821.3256836,0.0
1532134706725017776,12123,1532134706722912048,base_link,96826.4587402,0.0
1532134706823150256,12124,1532134706822789552,base_link,96818.2800293,0.0
1532134706924185424,12125,1532134706923599952,base_link,96821.7773438,0.0
1532134707017213392,12126,1532134707016900592,base_link,96821.697998,0.0
1532134707155674800,12127,1532134707155270384,base_link,96823.6755371,0.0
1532134707225436272,12128,1532134707225177072,base_link,96823.6755371,0.0
1532134707320405680,12129,1532134707320039248,base_link,96823.6999512,0.0
1532134707409518736,12130,1532134707409232208,base_link,96826.9897461,0.0
1532134707521527344,12131,1532134707520990544,base_link,96825.6225586,0.0
1532134707624371440,12132,1532134707623613296,base_link,96828.2409668,0.0
1532134707736886032,12133,1532134707735723248,base_link,96832.8979492,0.0
1532134707828884560,12134,1532134707828599184,base_link,96836.8652344,0.0
1532134707911530128,12135,1532134707909166448,base_link,96842.5231934,0.0
1532134708060947120,12136,1532134708060409936,base_link,96846.2158203,0.0
1532134708141583760,12137,1532134708140104208,base_link,96846.2158203,0.0
1532134708234842832,12138,1532134708234470608,base_link,96851.2878418,0.0
1532134708332119536,12139,1532134708330145520,base_link,96853.1433105,0.0
1532134708426971984,12140,1532134708426603984,base_link,96863.7573242,0.0
1532134708513901200,12141,1532134708513489232,base_link,96868.2495117,0.0
1532134708654050224,12142,1532134708653472560,base_link,96872.8271484,0.0
1532134708731523536,12143,1532134708730931088,base_link,96875.6591797,0.0
1532134708831515376,12144,1532134708829232912,base_link,96884.1247559,0.0
1532134708916631152,12145,1532134708916023216,base_link,96892.755127,0.0
1532134709032320144,12146,1532134709031746032,base_link,96896.9604492,0.0
1532134709141871248,12147,1532134709141603504,base_link,96900.0061035,0.0
1532134709225273232,12148,1532134709223977936,base_link,96908.9660645,0.0
