%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1532134704612226096,12102,1532134704611935440,base_link,61.64,0.0
1532134704749771792,12103,1532134704749475920,base_link,61.64,0.0
1532134704823605072,12104,1532134704823373968,base_link,61.63,0.0
1532134704941886192,12105,1532134704938037616,base_link,61.62,0.0
1532134705069878128,12106,1532134705069521232,base_link,61.6,0.0
1532134705132953840,12107,1532134705132074992,base_link,61.6,0.0
1532134705254398256,12108,1532134705254179152,base_link,61.6,0.0
1532134705323280400,12109,1532134705323026832,base_link,61.58,0.0
1532134705432732720,12110,1532134705432442160,base_link,61.58,0.0
1532134705547330480,12111,1532134705546987312,base_link,61.57,0.0
1532134705623903728,12112,1532134705623609520,base_link,61.56,0.0
1532134705715619056,12113,1532134705715384176,base_link,61.55,0.0
1532134705816440208,12114,1532134705816282768,base_link,61.55,0.0
1532134705918842864,12115,1532134705918538672,base_link,61.54,0.0
1532134706051235024,12116,1532134706049997232,base_link,61.52,0.0
1532134706115602352,12117,1532134706115175536,base_link,61.52,0.0
1532134706224637648,12118,1532134706223753040,base_link,61.52,0.0
1532134706343122768,12119,1532134706342777168,base_link,61.51,0.0
1532134706428433232,12120,1532134706426780688,base_link,61.5,0.0
1532134706541190736,12121,1532134706540888368,base_link,61.49,0.0
1532134706651027440,12122,1532134706647166800,base_link,61.48,0.0
1532134706724858992,12123,1532134706722912048,base_link,61.48,0.0
1532134706823092464,12124,1532134706822789552,base_link,61.46,0.0
1532134706924178640,12125,1532134706923599952,base_link,61.46,0.0
1532134707017185360,12126,1532134707016900592,base_link,61.45,0.0
1532134707155658768,12127,1532134707155270384,base_link,61.44,0.0
1532134707225419024,12128,1532134707225177072,base_link,61.44,0.0
1532134707320391952,12129,1532134707320039248,base_link,61.43,0.0
1532134707409462992,12130,1532134707409232208,base_link,61.42,0.0
1532134707521240080,12131,1532134707520990544,base_link,61.41,0.0
1532134707624001264,12132,1532134707623613296,base_link,61.41,0.0
1532134707736585840,12133,1532134707735723248,base_link,61.4,0.0
1532134707828876496,12134,1532134707828599184,base_link,61.39,0.0
1532134707911514736,12135,1532134707909166448,base_link,61.39,0.0
1532134708060845136,12136,1532134708060409936,base_link,61.38,0.0
1532134708141563792,12137,1532134708140104208,base_link,61.38,0.0
1532134708234831088,12138,1532134708234470608,base_link,61.37,0.0
1532134708332060080,12139,1532134708330145520,base_link,61.36,0.0
1532134708426958320,12140,1532134708426603984,base_link,61.36,0.0
1532134708513874096,12141,1532134708513489232,base_link,61.35,0.0
1532134708653795184,12142,1532134708653472560,base_link,61.34,0.0
1532134708731511056,12143,1532134708730931088,base_link,61.33,0.0
1532134708831035696,12144,1532134708829232912,base_link,61.32,0.0
1532134708916497616,12145,1532134708916023216,base_link,61.32,0.0
1532134709032318928,12146,1532134709031746032,base_link,61.32,0.0
1532134709141821040,12147,1532134709141603504,base_link,61.31,0.0
1532134709225243184,12148,1532134709223977936,base_link,61.3,0.0
1532134709325360304,12149,1532134709322522928,base_link,61.29,0.0
1532134709436360144,12150,1532134709435227792,base_link,61.29,0.0
1532134709523480304,12151,1532134709522968880,base_link,61.28,0.0
1532134709654812240,12152,1532134709654330128,base_link,61.27,0.0
1532134709737314768,12153,1532134709736550416,base_link,61.27,0.0
1532134709855180848,12154,1532134709853351504,base_link,61.26,0.0
1532134709938353008,12155,1532134709938118832,base_link,61.26,0.0
1532134710032629200,12156,1532134710032178256,base_link,61.25,0.0
1532134710116700944,12157,1532134710116390576,base_link,61.25,0.0
1532134710262637424,12158,1532134710261950448,base_link,61.23,0.0
1532134710326748976,12159,1532134710326364624,base_link,61.23,0.0
1532134710418727120,12160,1532134710418328400,base_link,61.23,0.0
1532134710521520720,12161,1532134710521120112,base_link,61.22,0.0
1532134710646003024,12162,1532134710645742288,base_link,61.21,0.0
1532134710720477808,12163,1532134710719014928,base_link,61.21,0.0
1532134710827160848,12164,1532134710826763472,base_link,61.2,0.0
1532134710924794960,12165,1532134710923171536,base_link,61.19,0.0
1532134711011976880,12166,1532134711011820912,base_link,61.19,0.0
1532134711143543440,12167,1532134711142122544,base_link,61.18,0.0
1532134711235915216,12168,1532134711235680784,base_link,61.18,0.0
1532134711319732208,12169,1532134711319467760,base_link,61.17,0.0
1532134711423515792,12170,1532134711423063088,base_link,61.16,0.0
1532134711527064592,12171,1532134711526357328,base_link,61.16,0.0
1532134711659806512,12172,1532134711657700688,base_link,61.15,0.0
1532134711715546928,12173,1532134711715298256,base_link,61.14,0.0
1532134711834146992,12174,1532134711833574512,base_link,61.14,0.0
1532134711937636208,12175,1532134711936681200,base_link,61.13,0.0
1532134712024404688,12176,1532134712023400816,base_link,61.13,0.0
1532134712138926992,12177,1532134712138231952,base_link,61.12,0.0
1532134712234085744,12178,1532134712233709424,base_link,61.12,0.0
1532134712310178864,12179,1532134712309218224,base_link,61.11,0.0
1532134712419494064,12180,1532134712416289072,base_link,61.1,0.0
1532134712524499888,12181,1532134712524142832,base_link,61.1,0.0
1532134712664602256,12182,1532134712664148304,base_link,61.09,0.0
1532134712724005296,12183,1532134712723613232,base_link,61.09,0.0
1532134712849530768,12184,1532134712849267536,base_link,61.08,0.0
1532134712909737296,12185,1532134712909185200,base_link,61.08,0.0
1532134713027962416,12186,1532134713027743504,base_link,61.07,0.0
1532134713117871408,12187,1532134713117454128,base_link,61.06,0.0
1532134713214854224,12188,1532134713214473968,base_link,61.06,0.0
1532134713315812816,12189,1532134713315489616,base_link,61.05,0.0
1532134713474475792,12190,1532134713473870192,base_link,61.04,0.0
1532134713525639568,12191,1532134713525399184,base_link,61.04,0.0
1532134713617522640,12192,1532134713617151856,base_link,61.03,0.0
1532134713733232400,12193,1532134713728266672,base_link,61.03,0.0
1532134713824715248,12194,1532134713824385680,base_link,61.02,0.0
1532134713921772432,12195,1532134713921443856,base_link,61.02,0.0
1532134714055763184,12196,1532134714055021264,base_link,61.01,0.0
1532134714119606832,12197,1532134714119360592,base_link,61.01,0.0
1532134714239557328,12198,1532134714238900848,base_link,61.0,0.0
1532134714319613936,12199,1532134714319119600,base_link,60.99,0.0
1532134714406714672,12200,1532134714406403312,base_link,60.99,0.0
1532134714515849328,12201,1532134714515657168,base_link,60.98,0.0
1532134714637951888,12202,1532134714637707696,base_link,60.98,0.0
1532134714727972176,12203,1532134714727680240,base_link,60.97,0.0
1532134714824324496,12204,1532134714823800208,base_link,60.97,0.0
1532134714918003472,12205,1532134714917765968,base_link,60.96,0.0
1532134715037992400,12206,1532134715037765648,base_link,60.95,0.0
1532134715129871760,12207,1532134715127507632,base_link,60.95,0.0
1532134715281709328,12208,1532134715281500336,base_link,60.94,0.0
1532134715343092080,12209,1532134715342389840,base_link,60.94,0.0
1532134715429798544,12210,1532134715429141488,base_link,60.93,0.0
1532134715523684944,12211,1532134715523383568,base_link,60.93,0.0
1532134715624576784,12212,1532134715624357712,base_link,60.93,0.0
1532134715769748144,12213,1532134715769063408,base_link,60.91,0.0
1532134715842774480,12214,1532134715842531216,base_link,60.91,0.0
1532134715929307376,12215,1532134715929002224,base_link,60.91,0.0
1532134716026948048,12216,1532134716026731632,base_link,60.9,0.0
1532134716116640400,12217,1532134716116351888,base_link,60.89,0.0
1532134716250924368,12218,1532134716250446960,base_link,60.89,0.0
1532134716343073648,12219,1532134716342207952,base_link,60.89,0.0
1532134716417744208,12220,1532134716417466928,base_link,60.88,0.0
1532134716521951536,12221,1532134716521619760,base_link,60.87,0.0
1532134716607393616,12222,1532134716607062768,base_link,60.87,0.0
1532134716758101328,12223,1532134716757641520,base_link,60.86,0.0
1532134716841764240,12224,1532134716839778576,base_link,60.86,0.0
1532134716933003216,12225,1532134716932624080,base_link,60.85,0.0
1532134717042434128,12226,1532134717042204496,base_link,60.84,0.0
1532134717132061584,12227,1532134717131790704,base_link,60.84,0.0
1532134717248967824,12228,1532134717248700528,base_link,60.83,0.0
1532134717331293936,12229,1532134717325673712,base_link,60.83,0.0
1532134717433570864,12230,1532134717433311888,base_link,60.83,0.0
1532134717533626160,12231,1532134717532683696,base_link,60.82,0.0
1532134717663429616,12232,1532134717662043312,base_link,60.82,0.0
1532134717740225456,12233,1532134717739990704,base_link,60.82,0.0
1532134717824685808,12234,1532134717824322832,base_link,60.81,0.0
1532134717922278384,12235,1532134717921076464,base_link,60.8,0.0
1532134718008744400,12236,1532134718008560976,base_link,60.8,0.0
1532134718117482096,12237,1532134718117037744,base_link,60.79,0.0
1532134718274787792,12238,1532134718274504080,base_link,60.78,0.0
1532134718339846480,12239,1532134718339299856,base_link,60.78,0.0
1532134718413602128,12240,1532134718413303504,base_link,60.78,0.0
1532134718518783760,12241,1532134718518506704,base_link,60.77,0.0
1532134718636858288,12242,1532134718636547760,base_link,60.77,0.0
1532134718743538128,12243,1532134718743238128,base_link,60.76,0.0
1532134718823757264,12244,1532134718823446832,base_link,60.76,0.0
1532134718937611728,12245,1532134718937376528,base_link,60.75,0.0
1532134719053885424,12246,1532134719053473968,base_link,60.75,0.0
1532134719112382416,12247,1532134719112181136,base_link,60.75,0.0
1532134719223610704,12248,1532134719223345808,base_link,60.74,0.0
1532134719338655696,12249,1532134719338253936,base_link,60.73,0.0
1532134719421103216,12250,1532134719420792944,base_link,60.73,0.0
1532134719517240336,12251,1532134719516846768,base_link,60.72,0.0
1532134719613370608,12252,1532134719613179184,base_link,60.72,0.0
1532134719716254768,12253,1532134719715705008,base_link,60.72,0.0
1532134719841162128,12254,1532134719840173104,base_link,60.71,0.0
1532134719925602928,12255,1532134719925324496,base_link,60.7,0.0
1532134720050060976,12256,1532134720049733104,base_link,60.7,0.0
1532134720126060464,12257,1532134720125805648,base_link,60.7,0.0
1532134720225394544,12258,1532134720225185520,base_link,60.69,0.0
1532134720360420208,12259,1532134720359273840,base_link,60.68,0.0
1532134720430174224,12260,1532134720429921776,base_link,60.68,0.0
1532134720528269776,12261,1532134720528061904,base_link,60.68,0.0
1532134720658718000,12262,1532134720658391056,base_link,60.67,0.0
1532134720736913232,12263,1532134720736247056,base_link,60.67,0.0
1532134720846026608,12264,1532134720845728208,base_link,60.67,0.0
1532134720914655152,12265,1532134720914169584,base_link,60.66,0.0
1532134721024309872,12266,1532134721024015472,base_link,60.65,0.0
1532134721129710512,12267,1532134721126448784,base_link,60.65,0.0
1532134721221686576,12268,1532134721221479472,base_link,60.65,0.0
1532134721329966288,12269,1532134721329735376,base_link,60.64,0.0
1532134721432318160,12270,1532134721431797104,base_link,60.64,0.0
1532134721519266064,12271,1532134721518381616,base_link,60.63,0.0
1532134721624870608,12272,1532134721624550704,base_link,60.63,0.0
1532134721729080208,12273,1532134721728511696,base_link,60.63,0.0
1532134721843041136,12274,1532134721842461296,base_link,60.62,0.0
1532134721923253680,12275,1532134721922667504,base_link,60.62,0.0
1532134722034952944,12276,1532134722034361584,base_link,60.61,0.0
1532134722142421648,12277,1532134722139495408,base_link,60.61,0.0
