%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1532134704589502128,4679,1532134704588418448,NED,16.0,23.0057811737
1532134704627340016,4680,1532134704626190128,NED,16.0,23.0057811737
1532134704694348336,4681,1532134704693726000,NED,16.0,23.1060962677
1532134704738358928,4682,1532134704737936272,NED,16.0,23.1060962677
1532134704812127216,4683,1532134704811782320,NED,16.0,23.2184772491
1532134704866480464,4684,1532134704865284112,NED,16.0,23.1500606537
1532134704905768656,4685,1532134704905333456,NED,16.0,23.1500606537
1532134704963102224,4686,1532134704962444912,NED,16.0,23.0264511108
1532134705061992592,4687,1532134705061448464,NED,16.0,23.0264511108
1532134705116667344,4688,1532134705112981840,NED,16.0,22.8148612976
1532134705125759696,4689,1532134705125014960,NED,16.0,22.8148612976
1532134705190552656,4690,1532134705189547856,NED,16.0,22.5866851807
1532134705250794128,4691,1532134705250539024,NED,16.0,22.5866851807
1532134705290345616,4692,1532134705287941744,NED,16.0,22.3221893311
1532134705320304208,4693,1532134705319977296,NED,16.0,22.3221893311
1532134705363418672,4694,1532134705362406800,NED,16.0,22.0695762634
1532134705416558384,4695,1532134705414961104,NED,16.0,22.0695762634
1532134705454258544,4696,1532134705453865040,NED,16.0,22.0695762634
1532134705487007760,4697,1532134705486228112,NED,16.0,21.6403083801
1532134705578355984,4698,1532134705575160752,NED,16.0,21.2076416016
1532134705593277840,4699,1532134705592445552,NED,16.0,21.2076416016
1532134705648879600,4700,1532134705648507216,NED,16.0,21.2076416016
1532134705687794288,4701,1532134705687130448,NED,16.0,20.9343986511
1532134705776755696,4702,1532134705773303088,NED,16.0,20.7499389648
1532134705803697680,4703,1532134705803375216,NED,16.0,20.7499389648
1532134705891509040,4704,1532134705890707696,NED,16.0,20.6992969513
1532134705988483824,4705,1532134705985469424,NED,16.0,20.720495224
1532134706086894512,4706,1532134706084345392,NED,16.0,20.6574459076
1532134706148521936,4707,1532134706144099056,NED,16.0,20.6574459076
1532134706201854736,4708,1532134706201351728,NED,16.0,20.4274654388
1532134706253286448,4709,1532134706252925360,NED,16.0,20.0270938873
1532134706335060208,4710,1532134706332777328,NED,16.0,20.0270938873
1532134706357191184,4711,1532134706356539920,NED,16.0,20.0270938873
1532134706404391600,4712,1532134706403867952,NED,16.0,19.6345939636
1532134706460369808,4713,1532134706459045776,NED,16.0,19.3866539001
1532134706508977904,4714,1532134706503642832,NED,16.0,19.3866539001
1532134706607997968,4715,1532134706607448592,NED,16.0,18.9550113678
1532134706664408368,4716,1532134706663470416,NED,16.0,18.5995826721
1532134706689707152,4717,1532134706687865520,NED,16.0,18.5995826721
1532134706748739440,4718,1532134706748189616,NED,16.0,18.5995826721
1532134706783421808,4719,1532134706780997520,NED,16.0,18.1905994415
1532134706851296208,4720,1532134706850801424,NED,16.0,18.1905994415
1532134706892628144,4721,1532134706888042480,NED,16.0,17.9439544678
1532134706971630576,4722,1532134706971024496,NED,16.0,17.7648658752
1532134706993981424,4723,1532134706993252048,NED,16.0,17.7648658752
1532134707079467312,4724,1532134707078829808,NED,16.0,17.6061553955
1532134707212163248,4725,1532134707211330736,NED,16.0,17.4745960236
1532134707260249680,4726,1532134707258376624,NED,16.0,17.4627590179
1532134707282548432,4727,1532134707282116976,NED,16.0,17.4627590179
1532134707359481168,4728,1532134707358827184,NED,16.0,17.4441680908
1532134707383503984,4729,1532134707382883728,NED,16.0,17.4441680908
1532134707425319760,4730,1532134707423962192,NED,16.0,17.4441680908
1532134707497765840,4731,1532134707496595248,NED,16.0,17.3408966064
1532134707516189744,4732,1532134707515325360,NED,16.0,17.3408966064
1532134707604610096,4733,1532134707603909552,NED,16.0,17.3933563232
1532134707644056368,4734,1532134707641541712,NED,16.0,17.3933563232
1532134707686740656,4735,1532134707685565712,NED,16.0,17.4083309174
1532134707749864176,4736,1532134707749115024,NED,16.0,17.4083309174
1532134707815526640,4737,1532134707814608976,NED,16.0,17.4648227692
1532134707867977456,4738,1532134707866000624,NED,16.0,17.5943756104
1532134707902103216,4739,1532134707901087984,NED,16.0,17.5943756104
1532134707937692208,4740,1532134707936443312,NED,16.0,17.5943756104
