%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1532134705116850416,1232,1532134705113448112,,1,1,1,GUIDED,4
1532134706089706864,1233,1532134706089386832,,1,1,1,GUIDED,4
1532134707109709008,1234,1532134707107421840,,1,1,1,GUIDED,4
1532134708087794736,1235,1532134708086251216,,1,1,1,GUIDED,4
1532134709096116080,1236,1532134709094503504,,1,1,1,GUIDED,4
1532134710061614512,1237,1532134710061167472,,1,1,1,GUIDED,4
1532134711076300592,1238,1532134711076002576,,1,1,1,GUIDED,4
1532134712055038608,1239,1532134712054798416,,1,1,1,GUIDED,4
1532134713051838576,1240,1532134713051517296,,1,1,1,GUIDED,4
1532134714090025936,1241,1532134714089700016,,1,1,1,GUIDED,4
1532134715065491408,1242,1532134715064510192,,1,1,1,GUIDED,4
1532134716073985520,1243,1532134716071981552,,1,1,1,GUIDED,4
1532134717081601552,1244,1532134717079904528,,1,1,1,GUIDED,4
1532134718078971696,1245,1532134718077806192,,1,1,1,GUIDED,4
1532134719078958352,1246,1532134719078449808,,1,1,1,GUIDED,4
1532134720065154384,1247,1532134720064845584,,1,1,1,GUIDED,4
1532134721058934960,1248,1532134721057900208,,1,1,1,GUIDED,4
1532134722055490832,1249,1532134722054829040,,1,1,1,GUIDED,4
1532134723063791440,1250,1532134723063333776,,1,1,1,GUIDED,4
1532134724085883312,1251,1532134724085537776,,1,1,1,GUIDED,4
1532134725066879792,1252,1532134725066401488,,1,1,1,GUIDED,4
1532134726070289328,1253,1532134726069466096,,1,1,1,GUIDED,4
1532134727061183408,1254,1532134727060092560,,1,1,1,GUIDED,4
1532134728057080016,1255,1532134728056693456,,1,1,1,GUIDED,4
1532134729080167856,1256,1532134729079790576,,1,1,1,GUIDED,4
1532134730094733072,1257,1532134730093951760,,1,1,1,GUIDED,4
1532134731079885008,1258,1532134731079517648,,1,1,1,GUIDED,4
1532134732104609488,1259,1532134732104159472,,1,1,1,GUIDED,4
1532134733074739600,1260,1532134733074452592,,1,1,1,GUIDED,4
1532134734087402736,1261,1532134734083849648,,1,1,1,GUIDED,4
1532134735137589648,1262,1532134735137005616,,1,1,1,GUIDED,4
1532134736054823056,1263,1532134736054584880,,1,1,1,GUIDED,4
1532134737051164528,1264,1532134737050828592,,1,1,1,GUIDED,4
1532134738068503632,1265,1532134738066187216,,1,1,1,GUIDED,4
1532134739072866992,1266,1532134739072360048,,1,1,1,GUIDED,4
1532134740081397360,1267,1532134740076677424,,1,1,1,GUIDED,4
1532134741063160272,1268,1532134741061872752,,1,1,1,GUIDED,4
1532134742057548400,1269,1532134742057252880,,1,1,1,GUIDED,4
1532134743078207184,1270,1532134743076938192,,1,1,1,GUIDED,4
1532134744084676912,1271,1532134744083404400,,1,1,1,GUIDED,4
1532134745069178064,1272,1532134745068869040,,1,1,1,GUIDED,4
1532134746083300944,1273,1532134746082730448,,1,1,1,GUIDED,4
1532134747071687760,1274,1532134747070819664,,1,1,1,GUIDED,4
1532134748091047344,1275,1532134748081781520,,1,1,1,GUIDED,4
1532134749059151216,1276,1532134749058862256,,1,1,1,GUIDED,4
1532134750078466928,1277,1532134750066947216,,1,1,1,GUIDED,4
1532134751089351344,1278,1532134751088625488,,1,1,1,GUIDED,4
1532134752084903056,1279,1532134752084049680,,1,1,1,GUIDED,4
1532134753091248464,1280,1532134753090867216,,1,1,1,GUIDED,4
1532134754089650960,1281,1532134754087704656,,1,1,1,GUIDED,4
1532134755107925552,1282,1532134755107479760,,1,1,1,GUIDED,4
1532134756079738768,1283,1532134756079392656,,1,1,1,GUIDED,4
1532134757076186960,1284,1532134757075180816,,1,1,1,GUIDED,4
1532134758082010000,1285,1532134758081524560,,1,1,1,GUIDED,4
1532134759072246384,1286,1532134759071740368,,1,1,1,GUIDED,4
1532134760078964752,1287,1532134760078539376,,1,1,1,GUIDED,4
1532134761080166640,1288,1532134761079785232,,1,1,1,GUIDED,4
1532134762040182896,1289,1532134762039839024,,1,1,1,GUIDED,4
1532134763070186672,1290,1532134763069848240,,1,1,1,GUIDED,4
1532134764070716784,1291,1532134764070287216,,1,1,1,GUIDED,4
1532134765071632304,1292,1532134765070645904,,1,1,1,GUIDED,4
1532134766083115024,1293,1532134766078048720,,1,1,1,GUIDED,4
1532134767069414896,1294,1532134767068179984,,1,1,1,GUIDED,4
1532134768092167184,1295,1532134768091644272,,1,1,1,GUIDED,4
1532134769062867536,1296,1532134769062470288,,1,1,1,GUIDED,4
1532134770108422288,1297,1532134770107272048,,1,1,1,GUIDED,4
1532134771064794864,1298,1532134771064205040,,1,1,1,GUIDED,4
1532134772077550224,1299,1532134772076816176,,1,1,1,GUIDED,4
1532134773081327664,1300,1532134773079737232,,1,1,1,GUIDED,4
1532134774093478864,1301,1532134774093163344,,1,1,1,GUIDED,4
1532134775064987728,1302,1532134775064316272,,1,1,1,GUIDED,4
1532134776072905136,1303,1532134776072131504,,1,1,1,GUIDED,4
1532134777063007888,1304,1532134777061963280,,1,1,1,GUIDED,4
1532134778068037872,1305,1532134778067282832,,1,1,1,GUIDED,4
1532134779058719408,1306,1532134779056049872,,1,1,1,GUIDED,4
1532134780042844912,1307,1532134780041233040,,1,1,1,GUIDED,4
1532134781090214480,1308,1532134781089464016,,1,1,1,GUIDED,4
1532134782065345584,1309,1532134782064804080,,1,1,1,GUIDED,4
1532134783075974704,1310,1532134783075687152,,1,1,1,GUIDED,4
1532134784091594992,1311,1532134784089327888,,1,1,1,GUIDED,4
1532134785061991344,1312,1532134785061310448,,1,1,1,GUIDED,4
1532134786054484688,1313,1532134786053904976,,1,1,1,GUIDED,4
1532134787066901520,1314,1532134787066126416,,1,1,1,GUIDED,4
1532134788056739024,1315,1532134788056322960,,1,1,1,GUIDED,4
1532134789061983248,1316,1532134789061182704,,1,1,1,GUIDED,4
1532134790090207088,1317,1532134790089768592,,1,1,1,GUIDED,4
1532134791081760784,1318,1532134791081372080,,1,1,1,GUIDED,4
1532134792088965584,1319,1532134792086745584,,1,1,1,GUIDED,4
1532134793064767664,1320,1532134793063293360,,1,1,1,GUIDED,4
1532134794097671920,1321,1532134794097153136,,1,1,1,GUIDED,4
1532134795133053136,1322,1532134795132564208,,1,1,1,GUIDED,4
1532134796065813712,1323,1532134796064693520,,1,1,1,GUIDED,4
1532134797081572304,1324,1532134797080988240,,1,1,1,GUIDED,4
1532134798079156080,1325,1532134798075721904,,1,1,1,GUIDED,4
1532134799070871088,1326,1532134799069702192,,1,1,1,GUIDED,4
1532134800072357776,1327,1532134800067476688,,1,1,1,GUIDED,4
1532134801089174448,1328,1532134801088923952,,1,1,1,GUIDED,4
1532134802059046544,1329,1532134802058643856,,1,1,1,GUIDED,4
1532134803068050416,1330,1532134803067464112,,1,1,1,GUIDED,4
1532134804128111472,1331,1532134804127378864,,1,1,1,GUIDED,4
1532134805073553936,1332,1532134805073239984,,1,1,1,GUIDED,4
1532134806076877776,1333,1532134806075781072,,1,1,1,GUIDED,4
1532134807075800400,1334,1532134807075026960,,1,1,1,GUIDED,4
1532134808073044688,1335,1532134808072378736,,1,1,1,GUIDED,4
1532134809076259696,1336,1532134809075375600,,1,1,1,GUIDED,4
1532134810111513584,1337,1532134810110213872,,1,1,1,GUIDED,4
1532134811055945616,1338,1532134811054203952,,1,1,1,GUIDED,4
1532134812074981232,1339,1532134812073408112,,1,1,1,GUIDED,4
1532134813057681680,1340,1532134813057044112,,1,1,1,GUIDED,4
1532134814079643632,1341,1532134814079225168,,1,1,1,GUIDED,4
1532134815126036752,1342,1532134815119540880,,1,1,1,GUIDED,4
1532134816080751824,1343,1532134816079630480,,1,1,1,GUIDED,4
1532134817078896944,1344,1532134817078469712,,1,1,1,GUIDED,4
1532134818075632624,1345,1532134818075265072,,1,1,1,GUIDED,4
1532134819104986224,1346,1532134819103010576,,1,1,1,GUIDED,4
1532134820074013136,1347,1532134820073530480,,1,1,1,GUIDED,4
1532134821078685680,1348,1532134821075960560,,1,1,1,GUIDED,4
1532134822068205904,1349,1532134822067229488,,1,1,1,GUIDED,4
1532134823074939888,1350,1532134823073566480,,1,1,1,GUIDED,4
1532134824063913968,1351,1532134824063675696,,1,1,1,GUIDED,4
1532134825073953776,1352,1532134825073664624,,1,1,1,GUIDED,4
1532134826045586864,1353,1532134826045290320,,1,1,1,GUIDED,4
1532134827069820880,1354,1532134827063995728,,1,1,1,GUIDED,4
1532134828055927280,1355,1532134828055569648,,1,1,1,GUIDED,4
1532134829079920880,1356,1532134829078718000,,1,1,1,GUIDED,4
1532134830060355376,1357,1532134830060152592,,1,1,1,GUIDED,4
1532134831056987632,1358,1532134831056445776,,1,1,1,GUIDED,4
1532134832057428400,1359,1532134832046588816,,1,1,1,GUIDED,4
1532134833067607152,1360,1532134833067129424,,1,1,1,GUIDED,4
1532134834072130704,1361,1532134834071712304,,1,1,1,GUIDED,4
1532134835079740880,1362,1532134835079387632,,1,1,1,GUIDED,4
