%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1532134949004075344,7727,1532134949003011248,NED,4.81999969482,13.7238178253
1532134949071523728,7728,1532134949069771216,NED,6.42999982834,13.7238178253
1532134949102387760,7729,1532134949100946608,NED,6.46999979019,13.7238178253
1532134949158027344,7730,1532134949155543536,NED,8.02999973297,13.7238178253
1532134949201306704,7731,1532134949200590576,NED,8.05999946594,13.7238178253
1532134949248288880,7732,1532134949247580560,NED,6.55999994278,13.7238178253
1532134949301645104,7733,1532134949300964624,NED,6.57999992371,26.2848510742
1532134949375605264,7734,1532134949374983376,NED,5.08999967575,26.2848510742
1532134949416238352,7735,1532134949409636912,NED,5.10999965668,26.2848510742
1532134949474243792,7736,1532134949472544336,NED,3.59999990463,26.2848510742
1532134949537275408,7737,1532134949535991760,NED,3.61999988556,26.2848510742
1532134949577195088,7738,1532134949575897360,NED,2.04999995232,26.2848510742
1532134949629889680,7739,1532134949629385328,NED,2.06999993324,28.6066226959
1532134949678331344,7740,1532134949677954096,NED,0.449999988079,28.6066226959
1532134949744681520,7741,1532134949744248816,NED,0.489999979734,28.6066226959
1532134949798311376,7742,1532134949797785040,NED,-1.14999997616,28.6066226959
1532134949847560592,7743,1532134949847231056,NED,-2.82999992371,28.6066226959
1532134949903521904,7744,1532134949901245136,NED,-2.80999994278,28.6066226959
1532134949937808592,7745,1532134949937290864,NED,-2.78999996185,28.6066226959
1532134949979816144,7746,1532134949979064496,NED,-4.56999969482,28.6066226959
1532134950036528720,7747,1532134950033477168,NED,-4.53999996185,28.6066226959
1532134950056074192,7748,1532134950055360720,NED,-6.36999988556,25.2235221863
1532134950111515056,7749,1532134950108030640,NED,-6.2999997139,25.2235221863
1532134950169881072,7750,1532134950169298256,NED,-8.19999980927,25.2235221863
1532134950227185392,7751,1532134950216313008,NED,-8.18999958038,25.2235221863
1532134950267579088,7752,1532134950266929200,NED,-10.2399997711,25.2235221863
1532134950310448496,7753,1532134950309289392,NED,-10.2299995422,25.2235221863
1532134950358468336,7754,1532134950356892528,NED,-12.3599996567,25.2235221863
1532134950412839920,7755,1532134950411417552,NED,-12.3599996567,25.2235221863
1532134950472013136,7756,1532134950471608080,NED,-14.6300001144,18.7924442291
1532134950497532272,7757,1532134950494800048,NED,-14.6300001144,18.7924442291
1532134950548445200,7758,1532134950547803024,NED,-15.3399991989,18.7924442291
1532134950625234672,7759,1532134950623272976,NED,-15.3399991989,18.7924442291
1532134950673684592,7760,1532134950671345776,NED,-15.3699998856,18.7924442291
1532134950715481488,7761,1532134950714963600,NED,-15.4099998474,12.8959951401
1532134950815637264,7762,1532134950815110000,NED,-15.5,12.8959951401
1532134950871986320,7763,1532134950871184368,NED,-15.4799995422,12.8959951401
1532134950902031152,7764,1532134950901499888,NED,-15.4399995804,12.8959951401
1532134951020752464,7765,1532134951020235440,NED,-15.3899993896,12.8959951401
1532134951077085840,7766,1532134951076402352,NED,-15.4099998474,5.22086858749
1532134951119041040,7767,1532134951115695888,NED,-15.4299993515,5.22086858749
1532134951169511216,7768,1532134951166744496,NED,-15.4499998093,5.22086858749
1532134951190083344,7769,1532134951189426448,NED,-15.4799995422,5.22086858749
1532134951260760656,7770,1532134951259577648,NED,-15.5099992752,5.22086858749
1532134951308811568,7771,1532134951306980944,NED,-15.5199995041,5.22086858749
1532134951376268720,7772,1532134951375561168,NED,-15.5399999619,5.22086858749
1532134951434157840,7773,1532134951425743280,NED,-15.5799999237,-3.760014534
1532134951471219568,7774,1532134951470594000,NED,-15.6899995804,-3.760014534
1532134951525095984,7775,1532134951524661776,NED,-15.7899999619,-3.760014534
1532134951578235312,7776,1532134951577241808,NED,-15.9600000381,-3.760014534
1532134951624693328,7777,1532134951623844784,NED,-16.0799999237,-3.760014534
1532134951675727024,7778,1532134951674823728,NED,-16.3099994659,-3.760014534
1532134951699237680,7779,1532134951698671376,NED,-16.3899993896,-3.760014534
1532134951755880464,7780,1532134951753869840,NED,-16.6299991608,-3.760014534
1532134951811434704,7781,1532134951808944496,NED,-16.8099994659,-3.760014534
1532134951851040112,7782,1532134951850296272,NED,-17.1000003815,-11.5263328552
1532134951915326736,7783,1532134951911783952,NED,-17.2799987793,-11.5263328552
1532134951937634256,7784,1532134951936964208,NED,-17.4699993134,-11.5263328552
1532134952009553200,7785,1532134952008750192,NED,-17.8699989319,-11.5263328552
1532134952067594736,7786,1532134952066758928,NED,-18.0399990082,-11.5263328552
1532134952092319600,7787,1532134952091892400,NED,-18.1999988556,-11.5263328552
1532134952136162448,7788,1532134952135301008,NED,-18.3400001526,-11.5263328552
1532134952178978384,7789,1532134952178556368,NED,-18.4599990845,-11.5263328552
1532134952249208464,7790,1532134952246130608,NED,-18.5900001526,-11.5263328552
1532134952273070128,7791,1532134952272715152,NED,-18.1800003052,-15.51674366
1532134952316901904,7792,1532134952316256176,NED,-18.1800003052,-15.51674366
1532134952352512880,7793,1532134952351647120,NED,-16.8899993896,-15.51674366
1532134952412992656,7794,1532134952412367824,NED,-16.8699989319,-15.51674366
1532134952462997712,7795,1532134952462262608,NED,-15.7399997711,-15.51674366
1532134952496527856,7796,1532134952494139888,NED,-15.7299995422,-15.51674366
1532134952577829232,7797,1532134952577033520,NED,-14.8099994659,-15.51674366
1532134952616119056,7798,1532134952615224048,NED,-14.7999992371,-15.51674366
1532134952672241840,7799,1532134952671926704,NED,-14.0799999237,-14.6303749084
1532134952690316496,7800,1532134952689847472,NED,-14.0799999237,-14.6303749084
1532134952760434384,7801,1532134952759430160,NED,-13.4600000381,-14.6303749084
1532134952803598384,7802,1532134952803026256,NED,-13.4699993134,-14.6303749084
1532134952865993744,7803,1532134952865438352,NED,-12.8400001526,-14.6303749084
1532134952918323568,7804,1532134952917716976,NED,-12.8599996567,-14.6303749084
1532134952959595760,7805,1532134952958651472,NED,-12.3000001907,-12.9024887085
1532134953006483920,7806,1532134953005984336,NED,-12.3099994659,-12.9024887085
1532134953044764272,7807,1532134953037519088,NED,-12.3299999237,-12.9024887085
1532134953078342800,7808,1532134953078003728,NED,-11.6799993515,-12.9024887085
1532134953120929264,7809,1532134953118899952,NED,-11.6899995804,-12.9024887085
1532134953206479056,7810,1532134953203583440,NED,-11.1599998474,-12.9024887085
1532134953258442448,7811,1532134953257919024,NED,-10.5199995041,-11.9036216736
1532134953308170800,7812,1532134953305605360,NED,-10.529999733,-11.9036216736
1532134953351401104,7813,1532134953351005040,NED,-10.529999733,-11.9036216736
1532134953386224432,7814,1532134953385477744,NED,-9.96999931335,-11.9036216736
1532134953437085616,7815,1532134953435407408,NED,-9.96999931335,-11.9036216736
1532134953475196784,7816,1532134953473342960,NED,-9.36999988556,-11.9036216736
1532134953537286192,7817,1532134953535084912,NED,-9.36999988556,-10.7132587433
1532134953623985712,7818,1532134953623306608,NED,-8.76999950409,-10.7132587433
1532134953643682608,7819,1532134953642204816,NED,-8.76999950409,-10.7132587433
1532134953693621520,7820,1532134953693012464,NED,-8.11999988556,-10.7132587433
1532134953745191728,7821,1532134953744542992,NED,-7.48000001907,-10.7132587433
1532134953799620240,7822,1532134953797613840,NED,-7.48000001907,-10.7132587433
1532134953864745360,7823,1532134953864101968,NED,-6.76999998093,-10.7132587433
1532134953897841840,7824,1532134953897329168,NED,-6.75999975204,-7.68279981613
1532134953959509488,7825,1532134953957301648,NED,-6.75,-7.68279981613
1532134954006965712,7826,1532134954006393520,NED,-6.19000005722,-7.68279981613
1532134954063202704,7827,1532134954062607568,NED,-5.67999982834,-7.68279981613
1532134954103954736,7828,1532134954103328208,NED,-5.67999982834,-7.68279981613
1532134954140495824,7829,1532134954136863344,NED,-5.69000005722,-7.68279981613
1532134954178730960,7830,1532134954175778096,NED,-5.25,-7.68279981613
1532134954240394128,7831,1532134954235730896,NED,-5.26999998093,-7.68279981613
1532134954273192368,7832,1532134954272401072,NED,-4.90000009537,-4.30834341049
1532134954319884048,7833,1532134954319413520,NED,-4.90000009537,-4.30834341049
1532134954355112464,7834,1532134954352973872,NED,-4.40999984741,-4.30834341049
1532134954436330064,7835,1532134954434577648,NED,-4.40999984741,-4.30834341049
1532134954469569456,7836,1532134954469164208,NED,-4.28999996185,-4.30834341049
