%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1532134949030461648,4667,1532134949030323952,,0,1514,1553,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134949322703920,4668,1532134949322480208,,0,1514,1553,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134949694397936,4669,1532134949694063472,,0,1514,1553,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134950044758864,4670,1532134950044320752,,0,1514,1553,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134950339325488,4671,1532134950339077328,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134950645164464,4672,1532134950645006448,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134950916050192,4673,1532134950915891536,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134951241601520,4674,1532134951241163120,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134951542156624,4675,1532134951541906960,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134951871260944,4676,1532134951871030736,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134952190317264,4677,1532134952190097040,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134952469693072,4678,1532134952469422928,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134952877844176,4679,1532134952876645744,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134953106839568,4680,1532134953106583280,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134953358522448,4681,1532134953358088176,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134953650660176,4682,1532134953649853232,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134954014137712,4683,1532134954013888112,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134954308694512,4684,1532134954304729008,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134954632198384,4685,1532134954630218000,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134955004886256,4686,1532134955004555248,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134955317508368,4687,1532134955317161232,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134955731130960,4688,1532134955730893424,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134956018109904,4689,1532134956017796688,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134956354459632,4690,1532134956354057392,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134956689269104,4691,1532134956689028976,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134957044736752,4692,1532134957044258576,,0,1514,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134957339724976,4693,1532134957339343440,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134957705106928,4694,1532134957704798128,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134958039980592,4695,1532134958039718160,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134958396143856,4696,1532134958395802352,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134958765596464,4697,1532134958763465744,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532134959093914640,4698,1532134959092213840,,0,1515,1552,1551,1510,1943,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
