%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1532135125331150448,4512,1532135125330824304,base_link,-0.0552263483152,0.122385409768,-0.28958449412,-0.947688072465,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.49052727222,-0.466057986021,0.305598318577,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.392266,0.85317855,22.09438245,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135125690575120,4513,1532135125690325296,base_link,0.0044816216382,0.197426140542,-0.286696320038,-0.93744762743,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.698858141899,-0.0731593519449,-0.225516721606,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.24544455,0.87279185,15.0237878,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135126035508656,4514,1532135126035275472,base_link,0.0411936340457,0.217565057113,-0.249905830662,-0.942611057774,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.183669865131,-0.00365143781528,-0.0689818263054,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.24544455,1.13611596761e-15,9.2770909,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135126370857808,4515,1532135126370568016,base_link,0.0703175802399,0.211158040694,-0.264014333254,-0.938490357753,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.242753878236,0.136015295982,0.249573081732,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.2160246,-0.7649187,7.9237732,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135126750924784,4516,1532135126750193680,base_link,0.126141269759,0.188153961584,-0.298009518854,-0.927295418665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0787045583129,0.232131257653,0.24552680552,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0002783,-0.16671305,5.87418335,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135127187527792,4517,1532135127187166608,base_link,0.198289790754,0.133104788607,-0.330955645096,-0.912925317379,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.277949184179,0.318781763315,0.216195806861,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.9022118,-0.02941995,3.8245935,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135127479088624,4518,1532135127478580816,base_link,0.248438706582,0.0951464199594,-0.340785660594,-0.901715310602,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.175447225571,0.291123539209,0.185183048248,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.85317855,-0.1569064,3.9814999,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135127885124496,4519,1532135127884923248,base_link,0.289831340026,0.0479529837932,-0.374347503586,-0.879523878154,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0921715795994,0.168061628938,0.389364808798,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.6276256,-0.3334261,4.6287388,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135128402450960,4520,1532135128402213584,base_link,0.320912944359,0.019427723861,-0.467060035213,-0.823706482429,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0468374118209,-0.107395164669,0.434296935797,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.4707192,-0.61781895,7.9629998,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135128737036464,4521,1532135128736841456,base_link,0.330130673721,0.0246129506946,-0.527058522115,-0.782698700135,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.109906069934,-0.146865040064,0.407919406891,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.4707192,0.392266,9.5712904,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135129119463024,4522,1532135129117857776,base_link,0.332317703622,0.0417135672338,-0.588701994864,-0.735700267371,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0519825816154,-0.240588486195,0.287076354027,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.67665885,0.3726527,11.28745415,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135129574260240,4523,1532135129570760880,base_link,0.310146050474,0.0788372562855,-0.643180679901,-0.695638359638,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0495172664523,-0.29621475935,0.193544536829,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.83356525,0.10787315,11.38552065,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135130079437520,4524,1532135130078421200,base_link,0.274193524342,0.130300731286,-0.705826594909,-0.640037849314,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0654206052423,-0.364568322897,0.282831966877,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.99047165,-0.53936575,13.95486295,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135130366786992,4525,1532135130366351184,base_link,0.252320502868,0.159020293288,-0.74212301185,-0.600250235683,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0468373186886,-0.357182383537,0.290110468864,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.79433865,-0.04903325,13.71950335,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135130642044592,4526,1532135130641662704,base_link,0.230791165058,0.186925826326,-0.77672856176,-0.555415983682,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0840199440718,-0.327742964029,0.310660004616,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.0002783,-0.50013915,14.24906245,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1532135131012777104,4527,1532135131012511760,base_link,0.198264845063,0.218533384579,-0.820227623054,-0.49006209547,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.118161961436,-0.298441678286,0.31726539135,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.980665,-0.48052585,14.54326195,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
