%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1532135125081743408,1652,1532135125081379984,,1,1,1,GUIDED,4
1532135126055864336,1653,1532135126052709072,,1,1,1,GUIDED,4
1532135127075261072,1654,1532135127068718384,,1,1,1,GUIDED,4
1532135128046933072,1655,1532135128045462000,,1,1,1,GUIDED,4
1532135129050634416,1656,1532135129050216016,,1,1,1,GUIDED,4
1532135130062636432,1657,1532135130062153808,,1,1,1,GUIDED,4
1532135131044159536,1658,1532135131043719824,,1,1,1,GUIDED,4
1532135132049709456,1659,1532135132046829456,,1,1,1,GUIDED,4
1532135133070610832,1660,1532135133069743824,,1,1,1,GUIDED,4
1532135134059475888,1661,1532135134059115952,,1,1,1,GUIDED,4
1532135135062871920,1662,1532135135062490032,,1,1,1,GUIDED,4
1532135136086974064,1663,1532135136084282544,,1,1,1,GUIDED,4
1532135137055094128,1664,1532135137054558064,,1,1,1,GUIDED,4
1532135138080012912,1665,1532135138077221520,,1,1,1,GUIDED,4
1532135139050874032,1666,1532135139050558256,,1,1,1,GUIDED,4
1532135140052290448,1667,1532135140051913104,,1,1,1,GUIDED,4
1532135141066646384,1668,1532135141066350032,,1,1,1,GUIDED,4
1532135142068312368,1669,1532135142067158000,,1,1,1,GUIDED,4
1532135143063802896,1670,1532135143063023024,,1,1,1,GUIDED,4
1532135144064407536,1671,1532135144063975408,,1,1,1,GUIDED,4
1532135145065006064,1672,1532135145064380944,,1,1,1,GUIDED,4
1532135146091016400,1673,1532135146090792368,,1,1,1,GUIDED,4
1532135147095015664,1674,1532135147094525648,,1,1,1,GUIDED,4
1532135148094086800,1675,1532135148093385168,,1,1,1,GUIDED,4
1532135149093942576,1676,1532135149093533392,,1,1,1,GUIDED,4
1532135150057025392,1677,1532135150056638384,,1,1,1,GUIDED,4
1532135151071069040,1678,1532135151070635472,,1,1,1,GUIDED,4
1532135152041861168,1679,1532135152041171824,,1,1,1,GUIDED,4
1532135153043473552,1680,1532135153042622224,,1,1,1,GUIDED,4
1532135154068718928,1681,1532135154067489040,,1,1,1,GUIDED,4
1532135155049096016,1682,1532135155048707312,,1,1,1,GUIDED,4
1532135156059759152,1683,1532135156058570928,,1,1,1,GUIDED,4
1532135157065116560,1684,1532135157064740112,,1,1,1,GUIDED,4
1532135158051975056,1685,1532135158051724496,,1,1,1,GUIDED,4
1532135159067106928,1686,1532135159066532656,,1,1,1,GUIDED,4
1532135160085010608,1687,1532135160084208112,,1,1,1,GUIDED,4
1532135161057527760,1688,1532135161057255120,,1,1,1,GUIDED,4
1532135162050882448,1689,1532135162050311088,,1,1,1,GUIDED,4
1532135163059151696,1690,1532135163058519888,,1,1,1,GUIDED,4
1532135164054268560,1691,1532135164053827728,,1,1,1,GUIDED,4
1532135165065986256,1692,1532135165065541264,,1,1,1,GUIDED,4
1532135166153249552,1693,1532135166152856592,,1,1,1,GUIDED,4
1532135167082172880,1694,1532135167081646064,,1,1,1,GUIDED,4
1532135168052827920,1695,1532135168051482384,,1,1,1,GUIDED,4
1532135169069982992,1696,1532135169068236496,,1,1,1,GUIDED,4
1532135170081244400,1697,1532135170079894128,,1,1,1,GUIDED,4
1532135171054267152,1698,1532135171053998640,,1,1,1,GUIDED,4
1532135172073637040,1699,1532135172073339376,,1,1,1,GUIDED,4
1532135173057446640,1700,1532135173057025488,,1,1,1,GUIDED,4
1532135174046866960,1701,1532135174045262960,,1,1,1,GUIDED,4
1532135175066899312,1702,1532135175066033936,,1,1,1,GUIDED,4
1532135176063293616,1703,1532135176063011440,,1,1,1,GUIDED,4
1532135177054882224,1704,1532135177054590672,,1,1,1,GUIDED,4
1532135178056044208,1705,1532135178055729776,,1,1,1,GUIDED,4
1532135179070808944,1706,1532135179070593456,,1,1,1,GUIDED,4
1532135180063801264,1707,1532135180063412784,,1,1,1,GUIDED,4
1532135181061130096,1708,1532135181060902576,,1,1,1,GUIDED,4
1532135182065991120,1709,1532135182064202800,,1,1,1,GUIDED,4
1532135183097343344,1710,1532135183097033744,,1,1,1,GUIDED,4
1532135184065096880,1711,1532135184063088336,,1,1,1,GUIDED,4
1532135185051162960,1712,1532135185050822224,,1,1,1,GUIDED,4
1532135186056401648,1713,1532135186055011888,,1,1,1,GUIDED,4
1532135187068916880,1714,1532135187068148752,,1,1,1,GUIDED,4
1532135188051801936,1715,1532135188048181488,,1,1,1,GUIDED,4
1532135189066503536,1716,1532135189065946032,,1,1,1,GUIDED,4
1532135190063072880,1717,1532135190062412720,,1,1,1,GUIDED,4
1532135191069645360,1718,1532135191069249584,,1,1,1,GUIDED,4
1532135192079549328,1719,1532135192078829680,,1,1,1,GUIDED,4
1532135193062597712,1720,1532135193061632848,,1,1,1,GUIDED,4
1532135194066271888,1721,1532135194056643024,,1,1,1,GUIDED,4
1532135195038227472,1722,1532135195037492880,,1,1,1,GUIDED,4
1532135196041306192,1723,1532135196040853360,,1,1,1,GUIDED,4
1532135197084948976,1724,1532135197084652464,,1,1,1,GUIDED,4
1532135198038199152,1725,1532135198037751824,,1,1,1,GUIDED,4
1532135199063033968,1726,1532135199062615216,,1,1,1,GUIDED,4
1532135200065546160,1727,1532135200065141200,,1,1,1,GUIDED,4
1532135201076351504,1728,1532135201076005968,,1,1,1,GUIDED,4
1532135202066691632,1729,1532135202066293104,,1,1,1,GUIDED,4
1532135203061032240,1730,1532135203060437936,,1,1,1,GUIDED,4
