%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1532135125038346800,3806,1532135125038084272,,0.308128625213,-3.0735845028,0.0,0.0,0.0,0.0
1532135125512220240,3807,1532135125511956368,,0.360962771304,-3.03352042985,0.0,0.0,0.0,0.0
1532135125973236848,3808,1532135125972735984,,0.422945399491,-2.97107499256,0.0,0.0,0.0,0.0
1532135126316284784,3809,1532135126315938448,,0.460772170081,-2.93605201893,0.0,0.0,0.0,0.0
1532135126755138576,3810,1532135126754861200,,0.502520069273,-2.89501431272,0.0,0.0,0.0,0.0
1532135127207117488,3811,1532135127206746384,,0.52961423469,-2.86151480781,0.0,0.0,0.0,0.0
1532135127746973200,3812,1532135127746645968,,0.549649066475,-2.82810544385,0.0,0.0,0.0,0.0
1532135128096963184,3813,1532135128095795696,,0.562474628266,-2.81342405351,0.0,0.0,0.0,0.0
1532135128556024720,3814,1532135128555034416,,0.580921923355,-2.78812617752,0.0,0.0,0.0,0.0
1532135129036310672,3815,1532135129036083056,,0.601841009123,-2.74959094856,0.0,0.0,0.0,0.0
1532135129525230256,3816,1532135129524733424,,0.625347050745,-2.68483496693,0.0,0.0,0.0,0.0
1532135130119700336,3817,1532135130119372784,,0.645305338582,-2.59308202642,0.0,0.0,0.0,0.0
1532135130424407248,3818,1532135130424126256,,0.652126436294,-2.53312921288,0.0,0.0,0.0,0.0
1532135130770394000,3819,1532135130767657872,,0.647073002319,-2.46681997051,0.0,0.0,0.0,0.0
1532135131307167376,3820,1532135131306112816,,0.62678689509,-2.3649186511,0.0,0.0,0.0,0.0
1532135131822378480,3821,1532135131820425200,,0.592448187206,-2.28135054815,0.0,0.0,0.0,0.0
1532135132379006768,3822,1532135132378370480,,0.537331078065,-2.21323846978,0.0,0.0,0.0,0.0
1532135132847806032,3823,1532135132847453104,,0.485817078096,-2.16161316852,0.0,0.0,0.0,0.0
1532135133224312784,3824,1532135133223991216,,0.439282268898,-2.13477596377,0.0,0.0,0.0,0.0
1532135133656877232,3825,1532135133656425232,,0.38288337182,-2.1210598204,0.0,0.0,0.0,0.0
1532135134096813744,3826,1532135134096223248,,0.336945809714,-2.11793616538,0.0,0.0,0.0,0.0
1532135134678477808,3827,1532135134677689776,,0.266127214898,-2.13436592743,0.0,0.0,0.0,0.0
1532135135025439056,3828,1532135135025191696,,0.224036509186,-2.15044825117,0.0,0.0,0.0,0.0
1532135135411067248,3829,1532135135409776368,,0.17599165688,-2.1799164487,0.0,0.0,0.0,0.0
1532135135998545360,3830,1532135135998039216,,0.111569350674,-2.24428833353,0.0,0.0,0.0,0.0
1532135136423082832,3831,1532135136422834480,,0.0775341336935,-2.30313006501,0.0,0.0,0.0,0.0
1532135136919135312,3832,1532135136918855664,,0.0393795794412,-2.38386341413,0.0,0.0,0.0,0.0
1532135137370671280,3833,1532135137370306576,,0.00886803967397,-2.45747444364,0.0,0.0,0.0,0.0
1532135137929419696,3834,1532135137929078256,,-0.014108686035,-2.53586086825,0.0,0.0,0.0,0.0
1532135138360060912,3835,1532135138359749520,,-0.0367180248474,-2.60318539618,0.0,0.0,0.0,0.0
1532135138765246480,3836,1532135138764937520,,-0.055907331198,-2.65733398074,0.0,0.0,0.0,0.0
1532135139132847952,3837,1532135139132560304,,-0.0714199039138,-2.70007416987,0.0,0.0,0.0,0.0
1532135139719339696,3838,1532135139719066928,,-0.102744290043,-2.76937335858,0.0,0.0,0.0,0.0
1532135140183340208,3839,1532135140182329200,,-0.127134733179,-2.81968513237,0.0,0.0,0.0,0.0
1532135140634040432,3840,1532135140632580880,,-0.150661180501,-2.86806390065,0.0,0.0,0.0,0.0
1532135141153090896,3841,1532135141152834224,,-0.182915618064,-2.93211407677,0.0,0.0,0.0,0.0
1532135141827983920,3842,1532135141827546064,,-0.214038393266,-3.00211738107,0.0,0.0,0.0,0.0
1532135142319088656,3843,1532135142318798256,,-0.228086189742,-3.03189191258,0.0,0.0,0.0,0.0
1532135142829824816,3844,1532135142828976848,,-0.241423049377,-3.06704855445,0.0,0.0,0.0,0.0
1532135143377730512,3845,1532135143377254864,,-0.252383798541,-3.10812707751,0.0,0.0,0.0,0.0
1532135143824163344,3846,1532135143823818416,,-0.263695369426,-3.14132587852,0.0,0.0,0.0,0.0
1532135144322428048,3847,1532135144322032368,,-0.283301507379,-3.17377365775,0.0,0.0,0.0,0.0
1532135144828560912,3848,1532135144827431632,,-0.312526308864,-3.21180768013,0.0,0.0,0.0,0.0
