%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1532985276255212404,0,1532985276254534390,1,1,1472,-220.0,68.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276272214603,1,1532985276271725029,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276294446395,2,1532985276293991624,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276316788705,3,1532985276315635064,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276334874172,4,1532985276334467799,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276358237469,5,1532985276357596881,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276374625566,6,1532985276374079662,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276394305626,7,1532985276393811286,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276415315963,8,1532985276414729882,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276434118565,9,1532985276433076177,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276456289836,10,1532985276454758003,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276473807455,11,1532985276473467552,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276494950189,12,1532985276494338934,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276520100742,13,1532985276519715737,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276535074114,14,1532985276534561797,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276554522678,15,1532985276554121071,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276575127025,16,1532985276573954064,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276594700885,17,1532985276594111062,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276614802417,18,1532985276614372820,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276635226065,19,1532985276634268542,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276654863261,20,1532985276654370201,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276673692157,21,1532985276673301457,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276695790944,22,1532985276694916620,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276715114115,23,1532985276714000011,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276735162163,24,1532985276734323858,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276754177419,25,1532985276753765416,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276774349164,26,1532985276773875488,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276795675541,27,1532985276795063677,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276815556036,28,1532985276814922133,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276835110895,29,1532985276834421174,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276856028212,30,1532985276855447985,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276883809059,31,1532985276882348751,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276893723205,32,1532985276893133765,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276914718124,33,1532985276914066372,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276934920481,34,1532985276933895815,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276952139301,35,1532985276951574908,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276974159046,36,1532985276973683099,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985276994520254,37,1532985276994003427,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277015149406,38,1532985277014674513,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277040288218,39,1532985277036868227,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277054124475,40,1532985277053737932,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277074477699,41,1532985277073126944,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277094798039,42,1532985277093852316,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277114285894,43,1532985277113980281,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277134922979,44,1532985277134283124,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277154586095,45,1532985277153620123,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277173522637,46,1532985277173091504,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277191909467,47,1532985277191504211,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277214609230,48,1532985277213870980,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277234600511,49,1532985277234167586,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277255228735,50,1532985277254691626,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277280442911,51,1532985277279047725,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277294776036,52,1532985277294302711,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277315127373,53,1532985277314661693,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277336148186,54,1532985277335668335,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277358262442,55,1532985277354645661,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277373778130,56,1532985277373389636,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277394853450,57,1532985277394281249,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277413824123,58,1532985277413475294,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277433210447,59,1532985277432648803,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277455989541,60,1532985277454242776,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277483103577,61,1532985277473544940,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277496962545,62,1532985277496604568,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277513786059,63,1532985277513211108,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277533906187,64,1532985277533522268,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277554882249,65,1532985277554243993,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277574400332,66,1532985277573980042,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277594827736,67,1532985277594132158,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277615362652,68,1532985277614600251,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277634977818,69,1532985277634498798,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277654242140,70,1532985277653623909,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277674968792,71,1532985277674234892,1,1,1472,-220.0,81.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277691886383,72,1532985277691542609,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277715804503,73,1532985277714724526,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277734605065,74,1532985277733961595,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277755030614,75,1532985277754533617,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277776264498,76,1532985277774030460,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277795486596,77,1532985277794985345,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277815169097,78,1532985277814327111,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277835129477,79,1532985277834650010,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277854837281,80,1532985277854102230,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277874096965,81,1532985277873261056,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277894426422,82,1532985277894088630,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277912147518,83,1532985277911615911,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277934350477,84,1532985277933673453,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277954764255,85,1532985277953723623,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277973266560,86,1532985277972853980,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985277994088824,87,1532985277993684720,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278014945230,88,1532985278014111973,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278035533931,89,1532985278034512296,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278055028735,90,1532985278054480780,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278075843783,91,1532985278074278191,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278096771205,92,1532985278095792466,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278115656829,93,1532985278115162933,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278146120500,94,1532985278145151678,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278154233408,95,1532985278153794724,1,1,1472,-220.0,84.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278171953579,96,1532985278171541701,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278194587052,97,1532985278193911337,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278214207890,98,1532985278213633832,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278234710159,99,1532985278234216295,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278258302474,100,1532985278254759316,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278274102273,101,1532985278273714002,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278293476451,102,1532985278292793474,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278316199075,103,1532985278314356243,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278334342512,104,1532985278333898070,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1532985278356222762,105,1532985278355696719,1,1,1472,-220.0,89.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
