%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1532985838078646028,15458,1532985838077785845,base_link,19000.0,-186000.0,-438000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838185504705,15459,1532985838182316103,base_link,18000.0,-205000.0,-421000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838272122753,15460,1532985838271320611,base_link,19000.0,-223000.0,-413000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838424212187,15461,1532985838422951541,base_link,33000.0,-239000.0,-407000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838491844557,15462,1532985838490665725,base_link,38000.0,-255000.0,-395000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838581141029,15463,1532985838580760468,base_link,38000.0,-282000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838679774280,15464,1532985838677241086,base_link,35000.0,-310000.0,-349000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838788937027,15465,1532985838786452595,base_link,46000.0,-325000.0,-333000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838944157759,15466,1532985838943555848,base_link,64000.0,-351000.0,-303000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985838986815454,15467,1532985838986194986,base_link,64000.0,-351000.0,-303000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839086372954,15468,1532985839085862936,base_link,73000.0,-360000.0,-288000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839227166485,15469,1532985839224121797,base_link,90000.0,-369000.0,-277000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839293616687,15470,1532985839292912932,base_link,90000.0,-369000.0,-277000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839383871018,15471,1532985839383264819,base_link,101000.0,-367000.0,-277000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839475126316,15472,1532985839474621321,base_link,110000.0,-365000.0,-274000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839595054722,15473,1532985839594601305,base_link,118000.0,-363000.0,-274000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839674666245,15474,1532985839673714488,base_link,125000.0,-358000.0,-281000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839777425623,15475,1532985839776759784,base_link,127000.0,-352000.0,-289000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839903054172,15476,1532985839902317461,base_link,128000.0,-346000.0,-297000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985839986542025,15477,1532985839985766855,base_link,131000.0,-337000.0,-302000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532985840064708776,15478,1532985840061908119,base_link,131000.0,-328000.0,-316000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
