%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1532985838185695145,4959,1532985838181169203,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985838456901438,4960,1532985838456693495,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985838745515457,4961,1532985838741058850,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985839111212990,4962,1532985839110829452,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985839408921076,4963,1532985839408764199,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985839847425444,4964,1532985839847058545,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985840186875440,4965,1532985840186670089,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985840588905774,4966,1532985840588503135,,0,1515,1552,1365,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985840950859975,4967,1532985840950133214,,0,1515,1552,1368,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985841301049857,4968,1532985841300773985,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985841630253270,4969,1532985841629941371,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985842055488264,4970,1532985842055282401,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985842409241968,4971,1532985842408800547,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985842801523162,4972,1532985842801332688,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
1532985843147020285,4973,1532985843146805910,,0,1515,1552,1377,1512,1514,2036,2036,2036,1514,1514,1514,1514,1514,1514,1514,1514
