%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1532985838145633900,4631,1532985838144023825,,5,65528,40.5915526,-79.8967474,425.539978027,6.00000021578e-06,16.0,-1.95943422935e-15,-16.9859638214,4.14548921585,-1.46362435818,-15.0,-15.7298994064
1532985838177590920,4632,1532985838176842756,,5,65528,40.5915526,-79.8967474,425.539978027,6.00000021578e-06,16.0,-1.95943422935e-15,-17.0573368073,4.19683933258,-1.50104808807,-15.0,-15.7298994064
1532985838209365467,4633,1532985838207590004,,5,65528,40.5915526,-79.8967474,425.539978027,6.00000021578e-06,16.0,-1.95943422935e-15,-17.1001091003,4.22237920761,-1.54862725735,-15.0,-15.7298994064
1532985838252117135,4634,1532985838251024213,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.1508331299,4.24171113968,-1.62474536896,-15.0,-15.6279697418
1532985838272197720,4635,1532985838270910133,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.1813240051,4.27807378769,-1.64650702477,-15.0,-15.6279697418
1532985838362574380,4636,1532985838360803237,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.2325229645,4.34973812103,-1.68317830563,-16.0,-15.6128225327
1532985838423611908,4637,1532985838421010402,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.312002182,4.52305650711,-1.68057918549,-16.0,-15.6128225327
1532985838452776310,4638,1532985838452442079,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.3288192749,4.6136803627,-1.6667317152,-16.0,-15.6765356064
1532985838491077419,4639,1532985838489818404,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.3555812836,4.7307062149,-1.6443580389,-16.0,-15.6765356064
1532985838566658192,4640,1532985838560036794,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.4062576294,4.92799949646,-1.65141892433,-16.0,-15.8786478043
1532985838579334658,4641,1532985838578645942,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.4191646576,4.96908283234,-1.66385805607,-16.0,-15.8786478043
1532985838628442317,4642,1532985838627779774,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.5023460388,5.20976305008,-1.68619072437,-16.0,-15.9871349335
1532985838672526846,4643,1532985838671398856,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.5492858887,5.37513065338,-1.69620263577,-16.0,-15.9871349335
1532985838745536511,4644,1532985838738036628,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.6010494232,5.61234807968,-1.71928453445,-16.0,-16.1499919891
1532985838783459841,4645,1532985838782889447,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.6618728638,5.86696100235,-1.78818976879,-16.0,-16.1499919891
1532985838829429228,4646,1532985838829170284,,5,65528,40.5915526,-79.8967474,425.539978027,3.94430452611e-31,16.0,-1.95943496414e-15,-17.6993217468,6.05680894852,-1.84688174725,-16.0,-16.286699295
