%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1532986742394457144,1084,1532986742394063962,map,22.0908736569,4.1102555974,0.0,0.0,0.0,0.0
1532986742581458559,1085,1532986742579656900,map,22.2702185057,3.84673468115,0.0,0.0,0.0,0.0
1532986742822147681,1086,1532986742821835330,map,22.0651390688,3.68056216835,0.0,0.0,0.0,0.0
1532986742963345747,1087,1532986742962976404,map,21.8693921022,3.69893080216,0.0,0.0,0.0,0.0
1532986743175409741,1088,1532986743174576528,map,21.5116027958,4.26331387013,0.0,0.0,0.0,0.0
1532986743372000311,1089,1532986743371107674,map,21.128597896,4.72280117624,0.0,0.0,0.0,0.0
1532986743578311107,1090,1532986743577786565,map,20.6813973333,5.5763970753,0.0,0.0,0.0,0.0
1532986743788968674,1091,1532986743786251402,map,20.1806506778,6.36293471751,0.0,0.0,0.0,0.0
1532986743982133558,1092,1532986743981815799,map,19.6922945992,7.32349871423,0.0,0.0,0.0,0.0
1532986744170870488,1093,1532986744170229337,map,19.029695817,8.39706360048,0.0,0.0,0.0,0.0
1532986744430468513,1094,1532986744429683588,map,18.4043087698,9.4747780294,0.0,0.0,0.0,0.0
1532986744560996884,1095,1532986744560704469,map,17.7645479312,10.5478166841,0.0,0.0,0.0,0.0
1532986744765108775,1096,1532986744764006922,map,16.9690633382,11.7674716666,0.0,0.0,0.0,0.0
1532986744975009960,1097,1532986744973649548,map,16.1125873238,12.8993848588,0.0,0.0,0.0,0.0
1532986745192337107,1098,1532986745191612789,map,15.2736198067,14.1782276044,0.0,0.0,0.0,0.0
1532986745372504654,1099,1532986745372038960,map,14.4514168385,15.0015149689,0.0,0.0,0.0,0.0
1532986745596314085,1100,1532986745594261291,map,13.5075424283,15.804125966,0.0,0.0,0.0,0.0
1532986745755820032,1101,1532986745755524705,map,12.5110987595,16.7665979802,0.0,0.0,0.0,0.0
1532986745973590345,1102,1532986745972895659,map,11.1121067439,17.8662442531,0.0,0.0,0.0,0.0
1532986746175157508,1103,1532986746174845957,map,9.69046708313,18.6868228362,0.0,0.0,0.0,0.0
1532986746374984517,1104,1532986746374643046,map,8.28738409169,19.3826124379,0.0,0.0,0.0,0.0
1532986746606773572,1105,1532986746606471525,map,6.94423059146,20.0198342024,0.0,0.0,0.0,0.0
1532986746791753074,1106,1532986746787467071,map,5.46234055372,20.4428088989,0.0,0.0,0.0,0.0
1532986746991233907,1107,1532986746990873140,map,3.67368335415,20.9198864866,0.0,0.0,0.0,0.0
1532986747179479447,1108,1532986747179194936,map,1.76834939791,21.2365025465,0.0,0.0,0.0,0.0
1532986747364242469,1109,1532986747363852807,map,0.188969538704,21.2291589686,0.0,0.0,0.0,0.0
1532986747566348223,1110,1532986747565997120,map,-1.74848680591,21.3585508378,0.0,0.0,0.0,0.0
1532986747762894250,1111,1532986747762623082,map,-3.43321121309,21.0113578992,0.0,0.0,0.0,0.0
1532986747992969070,1112,1532986747992250032,map,-5.13233429787,20.569373949,0.0,0.0,0.0,0.0
1532986748181675888,1113,1532986748181225298,map,-6.8805350173,20.0735307775,0.0,0.0,0.0,0.0
1532986748401281973,1114,1532986748398916828,map,-8.54903345075,19.4107734791,0.0,0.0,0.0,0.0
1532986748583770698,1115,1532986748583213484,map,-9.87330932056,18.5455618157,0.0,0.0,0.0,0.0
1532986748778882937,1116,1532986748778437082,map,-10.7267515221,17.937301965,0.0,0.0,0.0,0.0
1532986748978301627,1117,1532986748977631805,map,-11.5839220912,17.2516998868,0.0,0.0,0.0,0.0
1532986749185742117,1118,1532986749185122791,map,-12.2698589073,16.7707770361,0.0,0.0,0.0,0.0
1532986749390294648,1119,1532986749389749626,map,-12.6167538252,16.4484170337,0.0,0.0,0.0,0.0
1532986749582059954,1120,1532986749581753651,map,-12.6219181094,16.3308537204,0.0,0.0,0.0,0.0
1532986749782357618,1121,1532986749780446039,map,-12.4140203878,16.4142772552,0.0,0.0,0.0,0.0
