%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1532987297179540253,304,1532987297178845567,NED,105.0,-81.0063095093
1532987297211125150,305,1532987297206060846,NED,105.0,-81.0063095093
1532987297265704730,306,1532987297264906237,NED,105.0,-81.0063095093
1532987297316876097,307,1532987297315628932,NED,105.0,-81.0063095093
1532987297386628815,308,1532987297382926682,NED,-44.0,-81.0063095093
1532987297419464780,309,1532987297417022836,NED,-44.0,-81.0063095093
1532987297478432795,310,1532987297475815587,NED,-44.0,-81.0063095093
1532987297505963561,311,1532987297505375146,NED,-44.0,-79.8566436768
1532987297571996738,312,1532987297566563539,NED,-44.0,-79.8566436768
1532987297624970915,313,1532987297622519274,NED,-44.0,-79.8566436768
1532987297671646775,314,1532987297669737245,NED,-44.0,-79.8566436768
1532987297709011143,315,1532987297707479883,NED,-44.0,-79.8566436768
1532987297795268259,316,1532987297794670821,NED,-44.0,-78.7597961426
1532987297810042295,317,1532987297809083866,NED,-44.0,-78.7597961426
1532987297903744701,318,1532987297901344293,NED,-44.0,-78.7597961426
1532987297974019722,319,1532987297972872078,NED,-44.0,-78.7597961426
1532987298010337917,320,1532987298006931655,NED,-44.0,-78.7597961426
1532987298081519751,321,1532987298080828681,NED,-44.0,-78.7597961426
1532987298108794069,322,1532987298105538783,NED,-44.0,-77.441116333
1532987298187973512,323,1532987298185776078,NED,-44.0,-77.441116333
1532987298226290868,324,1532987298225631606,NED,-44.0,-77.441116333
1532987298262778375,325,1532987298261856010,NED,-44.0,-77.441116333
1532987298314656395,326,1532987298313999597,NED,-44.0,-77.441116333
1532987298388623117,327,1532987298386814258,NED,-44.0,-77.441116333
1532987298432506057,328,1532987298429984528,NED,-44.0,-77.441116333
1532987298465836613,329,1532987298462846094,NED,-44.0,-77.441116333
1532987298533084507,330,1532987298532031134,NED,-44.0,-71.8300247192
1532987298579636783,331,1532987298577567189,NED,-44.0,-71.8300247192
1532987298618717241,332,1532987298617546237,NED,-44.0,-71.8300247192
1532987298682353050,333,1532987298680412992,NED,-44.0,-71.8300247192
1532987298725348601,334,1532987298723173312,NED,-44.0,-71.8300247192
1532987298782355054,335,1532987298781717488,NED,-44.0,-71.8300247192
1532987298830724348,336,1532987298829482336,NED,-44.0,-71.8300247192
1532987298879589450,337,1532987298877680335,NED,-44.0,-64.63697052
1532987298945256804,338,1532987298943370666,NED,-44.0,-64.63697052
1532987298990428189,339,1532987298987809188,NED,-44.0,-64.63697052
1532987299001595355,340,1532987299001017981,NED,-44.0,-64.63697052
1532987299083698052,341,1532987299082308425,NED,-44.0,-64.63697052
1532987299139053214,342,1532987299137951457,NED,-44.0,-64.63697052
1532987299174356820,343,1532987299173823158,NED,-44.0,-64.63697052
1532987299215529048,344,1532987299214869882,NED,-44.0,-64.63697052
1532987299278296956,345,1532987299272012943,NED,-44.0,-57.8489837646
1532987299365817461,346,1532987299358262475,NED,-44.0,-57.8489837646
1532987299386455095,347,1532987299383517056,NED,-44.0,-57.8489837646
1532987299448547580,348,1532987299447664959,NED,-44.0,-57.8489837646
1532987299479566719,349,1532987299476678280,NED,-44.0,-57.8489837646
1532987299550245259,350,1532987299545875896,NED,-44.0,-57.8489837646
1532987299584733059,351,1532987299578802805,NED,-44.0,-57.8489837646
1532987299611667474,352,1532987299609401241,NED,-44.0,-57.8489837646
1532987299673515288,353,1532987299672278908,NED,-44.0,-57.8489837646
1532987299732799302,354,1532987299730440557,NED,-44.0,-51.3266525269
1532987299782423121,355,1532987299767982588,NED,-44.0,-51.3266525269
1532987299829563971,356,1532987299828381543,NED,-44.0,-51.3266525269
1532987299881836614,357,1532987299880570154,NED,-44.0,-51.3266525269
1532987299935621477,358,1532987299925788962,NED,-44.0,-51.3266525269
1532987299972754613,359,1532987299971772088,NED,-44.0,-51.3266525269
1532987300001913278,360,1532987300001307295,NED,-44.0,-51.3266525269
1532987300081183983,361,1532987300080691409,NED,-44.0,-51.3266525269
1532987300158776486,362,1532987300157948105,NED,-44.0,-45.4743843079
1532987300178736970,363,1532987300175923891,NED,-44.0,-45.4743843079
1532987300224968703,364,1532987300224166562,NED,-44.0,-45.4743843079
1532987300291704055,365,1532987300282758322,NED,-44.0,-45.4743843079
1532987300318689158,366,1532987300315469616,NED,-44.0,-45.4743843079
1532987300389290354,367,1532987300388055573,NED,-44.0,-45.4743843079
1532987300404815779,368,1532987300401762380,NED,-44.0,-45.4743843079
1532987300488933958,369,1532987300487121484,NED,-44.0,-45.4743843079
1532987300521046534,370,1532987300519787722,NED,-44.0,-43.8544044495
1532987300552547847,371,1532987300551865865,NED,-44.0,-43.8544044495
