%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1532987297483677004,387,1532987297481779185,,18.3994426727,19.1388339996,280,0.439999997616,423.069976807,-0.71922814846
1532987297726325555,388,1532987297725859188,,18.3867282867,19.121471405,281,0.409999996424,423.0,-0.417167156935
1532987298090767180,389,1532987298089974382,,18.473285675,19.195148468,282,0.330000013113,423.109985352,-0.742626130581
1532987298490183900,390,1532987298489928060,,18.0719566345,19.2082080841,288,0.0299999993294,422.929992676,0.836226940155
1532987298845454992,391,1532987298844770674,,17.994972229,19.2138156891,295,0.0599999986589,422.269989014,0.895193815231
1532987299255425664,392,1532987299254561859,,17.996723175,19.2507266998,302,0.0399999991059,421.259979248,-1.40376186371
1532987299680176964,393,1532987299678856584,,18.0028190613,19.4390830994,308,0.00999999977648,419.910003662,-3.00384283066
1532987300094731047,394,1532987300094367336,,18.1435451508,19.6426506042,314,0.0,418.369995117,-3.29937553406
1532987300502315806,395,1532987300497162446,,18.5468769073,19.8528862,316,0.0,416.929992676,-3.91484284401
1532987300891160974,396,1532987300889560915,,19.109960556,20.1752510071,316,0.0,415.699981689,-4.99779367447
1532987301285517741,397,1532987301283897458,,18.9412021637,20.3244113922,316,0.0,414.599975586,-4.28007602692
1532987301771225498,398,1532987301768593730,,18.5428848267,20.3122997284,315,0.0,413.179992676,-2.57119417191
1532987302157978576,399,1532987302157572561,,18.5853862762,20.3127918243,314,0.0,412.109985352,-3.64428901672
1532987302427511942,400,1532987302425071885,,18.4840011597,20.3031826019,313,0.0,411.239990234,-3.79256272316
1532987302754468880,401,1532987302749214431,,18.6741962433,20.2669029236,313,0.0,410.41998291,-2.9652428627
1532987303141346085,402,1532987303139871434,,18.7684211731,20.1751003265,312,0.0,409.509979248,-2.85309195518
1532987303578497508,403,1532987303578154501,,18.6628646851,19.9213848114,311,0.0,408.630004883,-1.90383076668
1532987304015131204,404,1532987304009169558,,18.6770782471,19.6427402496,312,0.0,407.989990234,-1.722047925
1532987304476397370,405,1532987304474653663,,18.1767711639,19.2451915741,314,0.019999999553,407.329986572,-2.38018918037
1532987304764267705,406,1532987304763589019,,17.8705615997,19.019990921,317,0.0500000007451,406.859985352,-0.516576945782
1532987305275186618,407,1532987305274837531,,17.540895462,18.7468700409,323,0.189999997616,405.829986572,-1.52633357048
1532987305591953059,408,1532987305591574500,,17.4288406372,18.7590351105,329,0.239999994636,405.089996338,-1.90138506889
1532987306002698545,409,1532987306002270738,,17.2450332642,18.9495487213,338,0.289999991655,403.979980469,-3.28172945976
1532987306410779782,410,1532987306410236808,,17.3395328522,19.2906570435,350,0.340000003576,402.720001221,-3.74900054932
1532987306812716367,411,1532987306812354992,,17.8614006042,19.6291427612,3,0.34999999404,401.479980469,-4.1555762291
1532987307260688717,412,1532987307257789878,,18.1007633209,19.6943187714,16,0.370000004768,400.190002441,-2.50959396362
1532987307675397167,413,1532987307674998640,,18.3067855835,19.5427284241,29,0.389999985695,399.269989014,-1.94477343559
1532987308061487911,414,1532987308061162952,,18.0774841309,19.1146602631,42,0.430000007153,398.690002441,-2.03604388237
1532987308486670442,415,1532987308484883503,,17.7641029358,18.5001564026,55,0.460000008345,398.339996338,-0.990997076035
1532987308874542556,416,1532987308874124157,,17.2980556488,17.8388805389,68,0.490000009537,398.25,-0.896085202694
1532987309266490979,417,1532987309263129101,,17.1252040863,17.1950817108,80,0.52999997139,398.25,-0.588984489441
1532987309579134775,418,1532987309577249341,,16.9214382172,16.6810646057,89,0.540000021458,398.309997559,-0.801642775536
1532987309883909060,419,1532987309883202502,,16.6146392822,16.2154808044,100,0.560000002384,398.410003662,0.61147660017
1532987310378687477,420,1532987310378417910,,16.3534908295,15.5963611603,115,0.52999997139,398.519989014,0.609541356564
1532987310801268479,421,1532987310801035968,,16.5625324249,14.8884859085,126,0.479999989271,398.789978027,1.11934649944
1532987311167537779,422,1532987311166959957,,16.3887462616,14.1028299332,130,0.460000008345,399.389984131,1.64509415627
1532987311671533833,423,1532987311670936203,,15.0790309906,13.0377006531,132,0.460000008345,400.869995117,3.57447957993
1532987312191576078,424,1532987312190880560,,13.1198616028,12.7215232849,131,0.509999990463,402.239990234,2.94385695457
1532987312492947269,425,1532987312489961838,,12.1077375412,12.9100246429,128,0.569999992847,402.779998779,0.136871352792
1532987312925151154,426,1532987312923792278,,11.8246488571,13.6236143112,122,0.579999983311,403.069976807,0.234887555242
1532987313392175959,427,1532987313391819320,,13.1207494736,14.5925149918,116,0.550000011921,403.059997559,-0.548363924026
1532987313761271042,428,1532987313761004803,,14.1023902893,15.2826480865,112,0.5,402.989990234,3.42312550545
1532987314100817350,429,1532987314100461831,,14.5182352066,15.7367143631,106,0.439999997616,403.220001221,1.20414221287
1532987314710729406,430,1532987314710340319,,14.2464542389,15.889424324,102,0.439999997616,404.029998779,1.58151733875
1532987315160688182,431,1532987315160305303,,13.6738681793,15.8435411453,98,0.439999997616,404.759979248,1.58297908306
1532987315482293456,432,1532987315480284278,,13.5348329544,15.8334236145,96,0.449999988079,405.109985352,2.16569018364
1532987315812754767,433,1532987315811762066,,13.4382143021,15.9143228531,95,0.449999988079,405.399993896,-0.390300691128
1532987316401744069,434,1532987316401199431,,13.7774457932,16.3218898773,97,0.460000008345,405.309997559,-0.59861189127
1532987316731475622,435,1532987316729387373,,14.2947950363,16.5943717957,97,0.449999988079,404.889984131,-1.20599317551
1532987316996697450,436,1532987316995647949,,15.1786727905,16.8111515045,98,0.430000007153,404.459991455,-1.38338172436
1532987317290542263,437,1532987317290144760,,15.6815061569,16.9786148071,100,0.40000000596,404.109985352,-2.29629039764
1532987317801094809,438,1532987317795769033,,16.1215572357,16.8883705139,100,0.409999996424,403.529998779,-0.438892990351
