%time,field.data
1536681902419301184,1
1536681902912307648,1
1536681903415216576,1
1536681903913975136,1
1536681904415412032,1
1536681904914740544,1
1536681905412186496,1
1536681905925094912,1
1536681906415025216,1
1536681906911763104,1
1536681907423568896,1
1536681907914345952,1
1536681908411938304,1
1536681908911937024,1
1536681909412875296,1
1536681909912679392,1
1536681910412104736,1
1536681910914575968,1
1536681911411469248,1
1536681911911866368,1
1536681912415991840,1
1536681912913383328,1
1536681913413515744,1
1536681913911959488,1
1536681914413905984,1
1536681914911426816,1
1536681915412734912,1
1536681915912774976,1
1536681916411411104,1
1536681916912182848,1
1536681917416315488,1
1536681917912218112,1
1536681918413385312,1
1536681918923859168,1
1536681919413117120,1
1536681919914183200,1
1536681920417397408,1
1536681920911979264,1
1536681921412042592,1
1536681921914434144,1
1536681922411750464,1
1536681922921275104,1
