%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1536681798895297600,8151,1536681798894409152,base_link,97258.1787109,0.0
1536681798996932864,8152,1536681798995928768,base_link,97267.5964355,0.0
1536681799092850560,8153,1536681799091961056,base_link,97269.921875,0.0
1536681799185361280,8154,1536681799184663360,base_link,97276.7272949,0.0
1536681799289123744,8155,1536681799288543744,base_link,97280.6945801,0.0
1536681799395823584,8156,1536681799395320160,base_link,97288.0371094,0.0
1536681799497678112,8157,1536681799497303872,base_link,97296.1303711,0.0
1536681799620357472,8158,1536681799619281792,base_link,97305.7373047,0.0
1536681799699329344,8159,1536681799698354944,base_link,97308.0810547,0.0
1536681799785537824,8160,1536681799783571520,base_link,97308.0810547,0.0
1536681799888128832,8161,1536681799887444352,base_link,97313.458252,0.0
1536681800029009664,8162,1536681800028517248,base_link,97332.4645996,0.0
1536681800126248352,8163,1536681800125530528,base_link,97338.269043,0.0
1536681800236745824,8164,1536681800236489984,base_link,97341.027832,0.0
1536681800303993216,8165,1536681800302644512,base_link,97346.5515137,0.0
1536681800396350816,8166,1536681800395826176,base_link,97353.338623,0.0
1536681800504213056,8167,1536681800503958112,base_link,97360.5895996,0.0
1536681800646127584,8168,1536681800642981632,base_link,97366.9067383,0.0
1536681800686420192,8169,1536681800686132160,base_link,97366.9067383,0.0
1536681800799708224,8170,1536681800798596224,base_link,97378.717041,0.0
1536681800888859872,8171,1536681800888285120,base_link,97382.1533203,0.0
1536681801035251648,8172,1536681801032225568,base_link,97396.0266113,0.0
1536681801112253120,8173,1536681801111979456,base_link,97400.8911133,0.0
1536681801183507296,8174,1536681801182758848,base_link,97400.8911133,0.0
1536681801283767104,8175,1536681801283098048,base_link,97412.6525879,0.0
1536681801384620320,8176,1536681801384183744,base_link,97415.2893066,0.0
1536681801489386752,8177,1536681801485854720,base_link,97426.7089844,0.0
1536681801658288192,8178,1536681801657942528,base_link,97436.8041992,0.0
1536681801684656160,8179,1536681801683756608,base_link,97436.8041992,0.0
1536681801798506560,8180,1536681801798112288,base_link,97445.5444336,0.0
1536681801898580064,8181,1536681801898260704,base_link,97445.5444336,0.0
1536681801979617824,8182,1536681801979038816,base_link,97453.9123535,0.0
1536681802076458336,8183,1536681802075762624,base_link,97460.7116699,0.0
1536681802178705152,8184,1536681802178486144,base_link,97465.6860352,0.0
1536681802265107520,8185,1536681802264071936,base_link,97472.8210449,0.0
1536681802372211776,8186,1536681802371940864,base_link,97475.8666992,0.0
1536681802473982240,8187,1536681802473595424,base_link,97481.9763184,0.0
1536681802588071520,8188,1536681802587795872,base_link,97501.373291,0.0
1536681802682865184,8189,1536681802682559424,base_link,97501.373291,0.0
1536681802777533632,8190,1536681802776922112,base_link,97508.5266113,0.0
1536681802899771808,8191,1536681802899483008,base_link,97510.4064941,0.0
1536681803019537472,8192,1536681803017803616,base_link,97522.8637695,0.0
1536681803081294016,8193,1536681803081069024,base_link,97522.8637695,0.0
1536681803178332800,8194,1536681803178120224,base_link,97528.6987305,0.0
1536681803292973408,8195,1536681803292787520,base_link,97534.2224121,0.0
1536681803388234848,8196,1536681803387941088,base_link,97540.7409668,0.0
1536681803480887168,8197,1536681803480608576,base_link,97546.8811035,0.0
1536681803591506944,8198,1536681803591254080,base_link,97562.4816895,0.0
1536681803718059488,8199,1536681803717563200,base_link,97568.9575195,0.0
1536681803794787840,8200,1536681803794387552,base_link,97579.9682617,0.0
1536681803893317760,8201,1536681803891524896,base_link,97579.9682617,0.0
1536681803999961312,8202,1536681803999522944,base_link,97593.2617188,0.0
1536681804079766656,8203,1536681804077294560,base_link,97593.2617188,0.0
1536681804241074400,8204,1536681804240650016,base_link,97602.8076172,0.0
1536681804279127520,8205,1536681804278705696,base_link,97602.8076172,0.0
1536681804397632864,8206,1536681804397293632,base_link,97618.0297852,0.0
1536681804485458432,8207,1536681804485068288,base_link,97618.0297852,0.0
1536681804585264832,8208,1536681804584814624,base_link,97626.0498047,0.0
1536681804712592160,8209,1536681804712029408,base_link,97639.8742676,0.0
1536681804810641184,8210,1536681804809645344,base_link,97646.8811035,0.0
1536681804876378368,8211,1536681804876067136,base_link,97646.8811035,0.0
1536681804988105376,8212,1536681804985989728,base_link,97654.8339844,0.0
1536681805087407872,8213,1536681805087045504,base_link,97662.6525879,0.0
1536681805217462912,8214,1536681805217086784,base_link,97677.734375,0.0
1536681805320401984,8215,1536681805320131488,base_link,97678.503418,0.0
1536681805425388064,8216,1536681805420095136,base_link,97684.1491699,0.0
1536681805476033760,8217,1536681805475474368,base_link,97684.1491699,0.0
1536681805578404896,8218,1536681805577653952,base_link,97694.6960449,0.0
1536681805685289504,8219,1536681805684774464,base_link,97708.7158203,0.0
1536681805799643200,8220,1536681805798043616,base_link,97716.8029785,0.0
1536681805874485216,8221,1536681805874081696,base_link,97716.8029785,0.0
1536681806006668288,8222,1536681806006308608,base_link,97729.3640137,0.0
1536681806085774432,8223,1536681806085193792,base_link,97729.3640137,0.0
1536681806176189088,8224,1536681806175970528,base_link,97736.2060547,0.0
1536681806283968128,8225,1536681806280911712,base_link,97742.5231934,0.0
1536681806383947872,8226,1536681806383701152,base_link,97742.7246094,0.0
1536681806485567616,8227,1536681806485130656,base_link,97750.9643555,0.0
1536681806578372128,8228,1536681806577731936,base_link,97762.3901367,0.0
1536681806680710880,8229,1536681806680393248,base_link,97757.0373535,0.0
1536681806789762592,8230,1536681806789331264,base_link,97760.9924316,0.0
1536681806897048288,8231,1536681806896767808,base_link,97766.3635254,0.0
1536681806984321472,8232,1536681806983912288,base_link,97774.2858887,0.0
1536681807086362304,8233,1536681807085948128,base_link,97769.9523926,0.0
1536681807180267616,8234,1536681807179717888,base_link,97780.0231934,0.0
1536681807280893120,8235,1536681807280429984,base_link,97780.0231934,0.0
1536681807373063776,8236,1536681807372687584,base_link,97778.4362793,0.0
1536681807474945824,8237,1536681807474473792,base_link,97773.3642578,0.0
1536681807589749920,8238,1536681807589237088,base_link,97777.4719238,0.0
1536681807676415584,8239,1536681807675169248,base_link,97773.7609863,0.0
1536681807801541344,8240,1536681807801247808,base_link,97772.4182129,0.0
1536681807897496800,8241,1536681807897177056,base_link,97771.875,0.0
1536681807984277728,8242,1536681807984055520,base_link,97751.6235352,0.0
1536681808085060480,8243,1536681808079270816,base_link,97751.6235352,0.0
1536681808181144096,8244,1536681808180167616,base_link,97749.4567871,0.0
1536681808286208992,8245,1536681808285680672,base_link,97739.5141602,0.0
1536681808391365056,8246,1536681808391059360,base_link,97722.3388672,0.0
1536681808494644832,8247,1536681808494256384,base_link,97722.3388672,0.0
1536681808578498208,8248,1536681808577969984,base_link,97722.8942871,0.0
1536681808719931584,8249,1536681808719634720,base_link,97699.1333008,0.0
1536681808788770240,8250,1536681808788515840,base_link,97699.1333008,0.0
1536681808882492448,8251,1536681808882017024,base_link,97680.2856445,0.0
