%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1536681798918195104,2387,1536681798917956704,base_link,-0.0119670504425,-0.350184049424,-0.772559086031,-0.529509565374,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.099484667182,-0.147398293018,-0.205262422562,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.67721545,0.81395195,11.4345539,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681799397252960,2388,1536681799397029728,base_link,-0.0374963903325,-0.341096202742,-0.74340139902,-0.574109537565,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0598651468754,-0.0657651126385,-0.20919649303,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.7850886,-0.02941995,10.93441475,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681799709341568,2389,1536681799708968448,base_link,-0.0474688729547,-0.35386450907,-0.709693994414,-0.607339319996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.234220087528,-0.0401463210583,-0.264757484198,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.6281822,0.8629852,10.8853815,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681800159908800,2390,1536681800159421216,base_link,-0.0920375314953,-0.374041826028,-0.647832959713,-0.657217058122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.295003771782,-0.164485394955,-0.230037942529,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.8047019,-0.10787315,12.48386545,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681800649356768,2391,1536681800648933984,base_link,-0.125092021447,-0.360133961608,-0.607490133659,-0.696858130019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0135229760781,-0.25072440505,-0.148613646626,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.57914895,1.4709975,9.1005712,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681801046576832,2392,1536681801046182848,base_link,-0.129265129281,-0.337028580541,-0.570039463563,-0.738076738714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0606563836336,-0.0758081451058,-0.293529927731,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.6674088,-0.1372931,13.11149105,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681801363460064,2393,1536681801363188992,base_link,-0.11618389264,-0.315606407455,-0.544791311749,-0.768177274662,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.211683422327,-0.0913807749748,-0.17789119482,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.6674088,1.0787315,12.1210194,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681801774995104,2394,1536681801774680736,base_link,-0.0797667277203,-0.272163087342,-0.526648551703,-0.801377455402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.306966304779,-0.0437734052539,-0.245550721884,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.6870221,0.71588545,11.89546645,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681802171464768,2395,1536681802171077856,base_link,-0.0164731475466,-0.235317563436,-0.505990975622,-0.829654995969,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.307787716389,0.0674773156643,-0.156579166651,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.75566865,-0.50013915,10.95402805,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681802523485408,2396,1536681802523251264,base_link,0.0227516364795,-0.208693385763,-0.500292948699,-0.840021665946,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.154773190618,-0.0732100531459,-0.0212145466357,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.71644205,1.04931155,7.71783355,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681802821131360,2397,1536681802820843904,base_link,0.030381783681,-0.202240427607,-0.493670124562,-0.845260649017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0648606792092,-0.0150473695248,-0.0181170292199,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-3.0008349,-0.6276256,8.36507245,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681803247131104,2398,1536681803246572160,base_link,0.0200398638437,-0.205553444981,-0.495574045515,-0.843654283771,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0762228891253,-0.0843601599336,0.000902813626453,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.91257505,-0.57859235,9.0809579,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681803556404000,2399,1536681803556153792,base_link,0.0151955340891,-0.199026621166,-0.490696537478,-0.848159423645,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00903022382408,0.0296288784593,-0.0940679013729,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.8831551,-0.1176798,10.65982855,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681804052617408,2400,1536681804052296160,base_link,-0.0179574927831,-0.211055883077,-0.458523314776,-0.86306970314,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.363414049149,-0.0285591650754,-0.138204023242,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.9812216,1.0983448,11.2188076,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681804469439168,2401,1536681804469191232,base_link,-0.0888895167212,-0.25059765174,-0.424297129642,-0.865604653717,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.59056198597,-0.0377145707607,-0.0241089314222,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.73605535,0.06864655,9.1594111,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681804758296384,2402,1536681804758005152,base_link,-0.124794026067,-0.262328103605,-0.404473708489,-0.867185929463,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.177292138338,-0.156617388129,-0.101892858744,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.81450855,0.7649187,11.8464332,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536681805159933280,2403,1536681805159701120,base_link,-0.161625442118,-0.251346523407,-0.367093196085,-0.880877248554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.199726030231,-0.20021738112,-0.153376579285,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.87334845,0.6080123,11.6895268,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
