%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536681798857986144,1253,1536681798857502816,NED,16.0,0.0
1536681798915145472,1254,1536681798914702560,NED,16.0,0.0
1536681798978194208,1255,1536681798977884640,NED,16.0,0.0
1536681799004870848,1256,1536681799003246816,NED,16.0,0.0
1536681799030207808,1257,1536681799029662464,NED,16.0,0.0
1536681799086047488,1258,1536681799084635616,NED,16.0,0.0
1536681799142012256,1259,1536681799141437888,NED,16.0,0.0
1536681799172374688,1260,1536681799171760544,NED,16.0,0.0
1536681799238303040,1261,1536681799237679712,NED,16.0,0.0
1536681799275214304,1262,1536681799273297216,NED,16.0,0.0
1536681799367514240,1263,1536681799367085056,NED,16.0,0.0
1536681799427815584,1264,1536681799426863264,NED,16.0,0.0
1536681799495114304,1265,1536681799494597888,NED,16.0,0.0
1536681799520757952,1266,1536681799520181984,NED,16.0,0.0
1536681799618385408,1267,1536681799617708224,NED,16.0,0.0
1536681799648149568,1268,1536681799647082720,NED,16.0,0.0
1536681799694277632,1269,1536681799693707264,NED,16.0,0.0
1536681799734749376,1270,1536681799733619168,NED,16.0,0.0
1536681799762373472,1271,1536681799761710688,NED,16.0,0.0
1536681799838135744,1272,1536681799837541952,NED,16.0,0.0
1536681799878791104,1273,1536681799877399264,NED,16.0,0.0
1536681799915406432,1274,1536681799914359232,NED,16.0,0.0
1536681800026182688,1275,1536681800025303744,NED,16.0,0.0
1536681800119071872,1276,1536681800117973248,NED,16.0,0.0
1536681800147830944,1277,1536681800147332896,NED,16.0,0.0
1536681800234702176,1278,1536681800234056224,NED,16.0,0.0
1536681800290762048,1279,1536681800288664288,NED,16.0,0.0
1536681800356509472,1280,1536681800355948448,NED,16.0,0.0
1536681800394818080,1281,1536681800391669152,NED,16.0,0.0
1536681800449955104,1282,1536681800448721664,NED,16.0,0.0
1536681800488301632,1283,1536681800484397440,NED,16.0,0.0
1536681800543197696,1284,1536681800540563872,NED,16.0,0.0
1536681800632455072,1285,1536681800631809216,NED,16.0,0.0
1536681800683240768,1286,1536681800682701760,NED,16.0,0.0
1536681800753785536,1287,1536681800752635168,NED,16.0,0.0
1536681800794870784,1288,1536681800793860384,NED,16.0,0.0
1536681800833928416,1289,1536681800833349408,NED,16.0,0.0
1536681800880700960,1290,1536681800880129120,NED,16.0,0.0
1536681800896280160,1291,1536681800895795744,NED,16.0,0.0
1536681801016710496,1292,1536681801016322336,NED,16.0,0.0
1536681801109937760,1293,1536681801109351232,NED,16.0,0.0
1536681801161757792,1294,1536681801158681536,NED,16.0,0.0
1536681801240787104,1295,1536681801238818208,NED,16.0,0.0
1536681801259885536,1296,1536681801259190624,NED,16.0,0.0
1536681801305887232,1297,1536681801304167584,NED,16.0,0.0
1536681801344010528,1298,1536681801342953664,NED,16.0,0.0
1536681801411498112,1299,1536681801410972992,NED,16.0,0.0
1536681801465179328,1300,1536681801454441024,NED,16.0,0.0
1536681801502721696,1301,1536681801499508416,NED,16.0,0.0
1536681801654587456,1302,1536681801654162560,NED,16.0,0.0
1536681801712817408,1303,1536681801711841344,NED,16.0,0.0
1536681801769472480,1304,1536681801768904480,NED,16.0,0.0
1536681801808790528,1305,1536681801808489472,NED,16.0,0.0
1536681801853824320,1306,1536681801853332512,NED,16.0,0.0
1536681801909713792,1307,1536681801908833312,NED,16.0,0.0
1536681801946993568,1308,1536681801946547264,NED,16.0,0.0
1536681802023657760,1309,1536681802023196640,NED,16.0,0.0
1536681802056129952,1310,1536681802055467168,NED,16.0,0.0
1536681802153915936,1311,1536681802153529888,NED,16.0,0.0
1536681802216052672,1312,1536681802215427648,NED,16.0,0.0
1536681802242972224,1313,1536681802242509024,NED,16.0,0.0
1536681802285776768,1314,1536681802284333472,NED,16.0,0.0
1536681802345326240,1315,1536681802343746272,NED,16.0,0.0
1536681802367696832,1316,1536681802367217664,NED,16.0,0.0
1536681802428499808,1317,1536681802428011104,NED,16.0,0.0
1536681802471949536,1318,1536681802471437504,NED,16.0,0.0
1536681802516593184,1319,1536681802511191648,NED,16.0,0.0
1536681802556138080,1320,1536681802554998272,NED,16.0,0.0
1536681802608491104,1321,1536681802607871360,NED,16.0,0.0
1536681802677657728,1322,1536681802675523296,NED,16.0,0.0
1536681802730332096,1323,1536681802728057056,NED,16.0,0.0
1536681802774743360,1324,1536681802774027008,NED,16.0,0.0
1536681802804813088,1325,1536681802804251360,NED,16.0,0.0
1536681802831385888,1326,1536681802831055456,NED,16.0,0.0
1536681802892857056,1327,1536681802892219776,NED,16.0,0.0
1536681802930248000,1328,1536681802929192960,NED,16.0,0.0
1536681803015010848,1329,1536681803014549216,NED,16.0,0.0
1536681803073153504,1330,1536681803072695424,NED,16.0,0.0
1536681803155142720,1331,1536681803154744640,NED,16.0,0.0
1536681803166865568,1332,1536681803166559936,NED,16.0,0.0
1536681803240449600,1333,1536681803239802240,NED,16.0,0.0
1536681803288589312,1334,1536681803288228128,NED,16.0,0.0
1536681803323701920,1335,1536681803323359264,NED,16.0,0.0
1536681803367694880,1336,1536681803367288960,NED,16.0,0.0
1536681803438018528,1337,1536681803431744448,NED,16.0,0.0
1536681803478484352,1338,1536681803477107072,NED,16.0,0.0
1536681803550607968,1339,1536681803549376064,NED,16.0,0.0
1536681803589690560,1340,1536681803588136832,NED,16.0,0.0
1536681803636354176,1341,1536681803636067712,NED,15.9899997711,0.0
1536681803698196384,1342,1536681803697769120,NED,15.9899997711,0.0
1536681803743333120,1343,1536681803743107392,NED,15.9899997711,0.0
1536681803791609248,1344,1536681803790034304,NED,15.9899997711,0.0
1536681803830240320,1345,1536681803829917984,NED,15.9899997711,0.0
1536681803883143424,1346,1536681803882790016,NED,15.9899997711,0.0
