%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1536681798846601888,1271,1536681798845606784,NED,16.8099994659,-285.433776855,29.2140598297,93
1536681798900777824,1272,1536681798900134848,NED,17.3199996948,-310.863677979,30.0931854248,95
1536681798974185696,1273,1536681798973347712,NED,17.3199996948,-310.863677979,30.0931854248,95
1536681799000361472,1274,1536681798999345536,NED,17.3199996948,-310.863677979,30.0931854248,95
1536681799027297856,1275,1536681799026540512,NED,17.8299999237,-310.863677979,30.9638462067,96
1536681799070189792,1276,1536681799067982432,NED,17.8299999237,-310.863677979,30.9638462067,96
1536681799136357664,1277,1536681799135721152,NED,18.3400001526,-355.245025635,31.7499885559,97
1536681799170142784,1278,1536681799168640896,NED,18.3400001526,-355.245025635,31.7499885559,97
1536681799236456736,1279,1536681799234509184,NED,18.8199996948,-355.245025635,32.4769363403,99
1536681799259692352,1280,1536681799258517408,NED,18.8199996948,-355.245025635,32.4769363403,99
1536681799363244480,1281,1536681799362181056,NED,19.2799987793,-379.139892578,33.1193771362,100
1536681799426186592,1282,1536681799425696224,NED,19.7600002289,-379.139892578,33.7279930115,101
1536681799494074752,1283,1536681799493008288,NED,19.7600002289,-379.139892578,33.7279930115,101
1536681799519263232,1284,1536681799518773440,NED,20.2299995422,-413.236816406,34.2689933777,102
1536681799615151104,1285,1536681799614689824,NED,20.7099990845,-413.236816406,34.7761535645,104
1536681799646590272,1286,1536681799640595456,NED,20.7099990845,-413.236816406,34.7761535645,104
1536681799693341280,1287,1536681799691687808,NED,20.7099990845,-413.236816406,34.7761535645,104
1536681799732618944,1288,1536681799731732256,NED,21.1800003052,-450.637054443,35.2241706848,105
1536681799758695904,1289,1536681799757912928,NED,21.1800003052,-450.637054443,35.2241706848,105
1536681799831968768,1290,1536681799831177568,NED,21.6800003052,-450.637054443,35.6299209595,106
1536681799876602304,1291,1536681799876082592,NED,21.6800003052,-450.637054443,35.6299209595,106
1536681799910941504,1292,1536681799908914656,NED,22.1999988556,-479.604736328,35.9933853149,107
1536681799992797856,1293,1536681799991925152,NED,22.7600002289,-479.604736328,36.3315124512,108
1536681800064130976,1294,1536681800063218240,NED,22.7600002289,-479.604736328,36.3315124512,108
1536681800144586368,1295,1536681800143403936,NED,23.3500003815,-481.074707031,36.6104660034,109
1536681800233674816,1296,1536681800231483968,NED,23.9399986267,-481.074707031,36.821762085,110
1536681800290542720,1297,1536681800286230688,NED,23.9399986267,-481.074707031,36.821762085,110
1536681800350106848,1298,1536681800349391872,NED,24.5299987793,-500.637817383,36.9401054382,111
1536681800391184832,1299,1536681800389614912,NED,24.5299987793,-500.637817383,36.9401054382,111
1536681800448122240,1300,1536681800446407424,NED,25.1399993896,-500.637817383,36.9992485046,113
1536681800483771296,1301,1536681800482735072,NED,25.1399993896,-500.637817383,36.9992485046,113
1536681800539397408,1302,1536681800538884192,NED,25.75,-546.025085449,36.9823417664,113
1536681800630743456,1303,1536681800630287264,NED,26.3799991608,-546.025085449,36.90625,114
1536681800677900192,1304,1536681800676472544,NED,26.3799991608,-546.025085449,36.90625,114
1536681800752812672,1305,1536681800751227808,NED,27.0199985504,-556.614685059,36.7540931702,115
