%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536681798846330272,1271,1536681798845617632,NED,-20.0799999237,-21.0012950897
1536681798900742624,1272,1536681798900144608,NED,-20.0799999237,-21.0012950897
1536681798974090336,1273,1536681798973366816,NED,-20.1000003815,-20.6317996979
1536681799000338208,1274,1536681798999356736,NED,-20.0900001526,-20.6317996979
1536681799027140800,1275,1536681799026644576,NED,-20.0699996948,-20.6317996979
1536681799068892576,1276,1536681799067993504,NED,-20.0299987793,-20.6317996979
1536681799136337344,1277,1536681799135732832,NED,-20.0799999237,-20.6317996979
1536681799170087520,1278,1536681799168650624,NED,-20.1000003815,-20.6317996979
1536681799235725760,1279,1536681799234521568,NED,-20.1199989319,-20.6317996979
1536681799259671776,1280,1536681799258529248,NED,-20.1700000763,-20.6317996979
1536681799363223008,1281,1536681799362192576,NED,-20.2199993134,-20.6317996979
1536681799426126048,1282,1536681799425705440,NED,-20.2399997711,-19.6274833679
1536681799494000928,1283,1536681799493073312,NED,-20.3199996948,-19.6274833679
1536681799519235936,1284,1536681799518784096,NED,-20.3199996948,-19.6274833679
1536681799615137920,1285,1536681799614701472,NED,-20.1299991608,-19.6274833679
1536681799643351712,1286,1536681799640608000,NED,-20.0799999237,-19.6274833679
1536681799693303968,1287,1536681799691698880,NED,-19.9499988556,-19.6274833679
1536681799732253568,1288,1536681799731743232,NED,-19.859998703,-21.2510375977
1536681799758260000,1289,1536681799757923424,NED,-19.75,-21.2510375977
1536681799831936320,1290,1536681799831204768,NED,-19.5599994659,-21.2510375977
1536681799876579968,1291,1536681799876093504,NED,-19.4300003052,-21.2510375977
1536681799910821792,1292,1536681799909317568,NED,-19.3500003815,-21.2510375977
1536681799992261888,1293,1536681799991937344,NED,-19.2999992371,-21.2510375977
1536681800064065248,1294,1536681800063228928,NED,-19.1800003052,-21.2510375977
1536681800144499648,1295,1536681800143416032,NED,-18.9099998474,-21.2510375977
1536681800231963392,1296,1536681800231497472,NED,-18.6700000763,-21.8639202118
1536681800290191232,1297,1536681800286242336,NED,-18.5,-21.8639202118
1536681800349632928,1298,1536681800349402400,NED,-18.2799987793,-21.8639202118
1536681800391184704,1299,1536681800389624960,NED,-18.2099990845,-21.8639202118
1536681800447999008,1300,1536681800446418528,NED,-18.3199996948,-21.8639202118
1536681800483433440,1301,1536681800482746112,NED,-18.3899993896,-21.8639202118
1536681800539363744,1302,1536681800538894144,NED,-18.5499992371,-21.8639202118
1536681800630719904,1303,1536681800630298304,NED,-18.7999992371,-21.8639202118
1536681800677779456,1304,1536681800676482464,NED,-18.8899993896,-20.4836578369
1536681800752018464,1305,1536681800751241760,NED,-19.2299995422,-20.4836578369
1536681800771654560,1306,1536681800769654816,NED,-19.3099994659,-20.4836578369
1536681800832702912,1307,1536681800831781632,NED,-19.5299987793,-20.4836578369
1536681800877030176,1308,1536681800876688256,NED,-19.6199989319,-20.4836578369
1536681800893402336,1309,1536681800892982816,NED,-19.6499996185,-20.4836578369
