%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536681798846103840,1271,1536681798845615072,NED,41.9500007629,37.3013114929
1536681798900468256,1272,1536681798900142464,NED,41.969997406,37.3013114929
1536681798973826656,1273,1536681798973363328,NED,42.0200004578,36.2776069641
1536681799000311936,1274,1536681798999354336,NED,42.0400009155,36.2776069641
1536681799027114080,1275,1536681799026640672,NED,42.0900001526,36.2776069641
1536681799068367680,1276,1536681799067991072,NED,42.1599998474,36.2776069641
1536681799136312480,1277,1536681799135730560,NED,42.2299995422,36.2776069641
1536681799170052128,1278,1536681799168648192,NED,42.2299995422,36.2776069641
1536681799235710816,1279,1536681799234519520,NED,42.219997406,36.2776069641
1536681799259643040,1280,1536681799258526240,NED,42.2299995422,36.2776069641
1536681799363216992,1281,1536681799362189984,NED,42.25,36.2776069641
1536681799426088800,1282,1536681799425703520,NED,42.1899986267,35.7420692444
1536681799493929280,1283,1536681799493070112,NED,42.1399993896,35.7420692444
1536681799519108768,1284,1536681799518781728,NED,42.0900001526,35.7420692444
1536681799615125632,1285,1536681799614699008,NED,41.9500007629,35.7420692444
1536681799643324160,1286,1536681799640605440,NED,40.5900001526,35.7420692444
1536681799693291072,1287,1536681799691696096,NED,40.2000007629,35.7420692444
1536681799732233408,1288,1536681799731740704,NED,41.7799987793,36.9259910583
1536681799758241088,1289,1536681799757921248,NED,41.7399978638,36.9259910583
1536681799831548192,1290,1536681799831185696,NED,41.7099990845,36.9259910583
1536681799876567904,1291,1536681799876091424,NED,41.7000007629,36.9259910583
1536681799910570624,1292,1536681799909314720,NED,41.7000007629,36.9259910583
1536681799992259200,1293,1536681799991934816,NED,41.6800003052,36.9259910583
1536681800064040128,1294,1536681800063226880,NED,41.6499977112,36.9259910583
1536681800144481536,1295,1536681800143412800,NED,41.6399993896,36.9259910583
1536681800231950976,1296,1536681800231494784,NED,41.5900001526,40.733959198
1536681800290171712,1297,1536681800286239776,NED,41.5699996948,40.733959198
1536681800349618848,1298,1536681800349400096,NED,41.5799980164,40.733959198
1536681800391166368,1299,1536681800389622848,NED,41.6299972534,40.733959198
1536681800446593920,1300,1536681800446415872,NED,41.7399978638,40.733959198
1536681800483421952,1301,1536681800482743360,NED,41.8099975586,40.733959198
1536681800539361216,1302,1536681800538891936,NED,41.8999977112,40.733959198
1536681800630717184,1303,1536681800630295872,NED,40.9899978638,40.733959198
1536681800676693600,1304,1536681800676480416,NED,41.0400009155,40.7832183838
1536681800751995808,1305,1536681800751239008,NED,39.5400009155,40.7832183838
1536681800771630528,1306,1536681800769652448,NED,39.5599975586,40.7832183838
1536681800832678528,1307,1536681800831779776,NED,37.3499984741,40.7832183838
1536681800877016384,1308,1536681800876685312,NED,37.3499984741,40.7832183838
1536681800893379040,1309,1536681800892980704,NED,37.3499984741,40.7832183838
1536681801013058720,1310,1536681801012696768,NED,31.9699993134,40.7832183838
1536681801075452864,1311,1536681801074818400,NED,31.8899993896,37.8731460571
1536681801118998944,1312,1536681801118640960,NED,28.7600002289,37.8731460571
1536681801160445056,1313,1536681801155446720,NED,28.75,37.8731460571
1536681801240583264,1314,1536681801237567456,NED,25.6700000763,37.8731460571
1536681801258236384,1315,1536681801257790400,NED,25.6700000763,37.8731460571
1536681801303922656,1316,1536681801303526944,NED,22.2799987793,37.8731460571
1536681801341752672,1317,1536681801339643872,NED,22.2799987793,37.8731460571
1536681801404049056,1318,1536681801403097408,NED,19.2099990845,34.023021698
1536681801465055104,1319,1536681801453354432,NED,19.2199993134,34.023021698
1536681801498257568,1320,1536681801497920352,NED,15.6599998474,34.023021698
1536681801627591520,1321,1536681801626338272,NED,13.5699996948,34.023021698
1536681801677994560,1322,1536681801676509888,NED,13.5799999237,34.023021698
1536681801712738112,1323,1536681801711626688,NED,9.9299993515,34.023021698
1536681801743760288,1324,1536681801741061888,NED,9.92000007629,34.023021698
1536681801806658752,1325,1536681801806196288,NED,9.89999961853,26.2885684967
1536681801842836288,1326,1536681801841172032,NED,6.52999973297,26.2885684967
1536681801907250304,1327,1536681801906313152,NED,6.52999973297,26.2885684967
1536681801945703040,1328,1536681801945347168,NED,5.57999992371,26.2885684967
1536681802021017600,1329,1536681802020371936,NED,2.58999991417,26.2885684967
1536681802052871200,1330,1536681802052462016,NED,2.58999991417,26.2885684967
1536681802152331136,1331,1536681802151989856,NED,5.52999973297,26.2885684967
1536681802212702976,1332,1536681802212478752,NED,3.41999983788,16.6317100525
1536681802238717856,1333,1536681802237946112,NED,3.40999984741,16.6317100525
1536681802283652096,1334,1536681802283235552,NED,3.40999984741,16.6317100525
1536681802343130656,1335,1536681802342833184,NED,1.41999995708,16.6317100525
1536681802366246304,1336,1536681802365687552,NED,1.41999995708,16.6317100525
1536681802426718176,1337,1536681802426048384,NED,3.50999999046,16.6317100525
1536681802469999104,1338,1536681802469808864,NED,3.50999999046,16.6317100525
1536681802515862752,1339,1536681802507409696,NED,2.25,16.6317100525
1536681802555939008,1340,1536681802553876192,NED,2.25,10.5964899063
1536681802602380192,1341,1536681802601896576,NED,9.34000015259,10.5964899063
1536681802674856672,1342,1536681802673994624,NED,9.34000015259,10.5964899063
1536681802727195072,1343,1536681802726434976,NED,8.67000007629,10.5964899063
1536681802772573056,1344,1536681802771795264,NED,8.67000007629,10.5964899063
1536681802799891872,1345,1536681802799450656,NED,8.67000007629,10.5964899063
1536681802829528096,1346,1536681802829164384,NED,9.76999950409,9.19405937195
1536681802861180032,1347,1536681802860839296,NED,9.76999950409,9.19405937195
1536681802928416544,1348,1536681802927442880,NED,8.88999938965,9.19405937195
1536681803012743776,1349,1536681803012255712,NED,8.14999961853,9.19405937195
1536681803068452768,1350,1536681803068214208,NED,8.14999961853,9.19405937195
1536681803152801120,1351,1536681803152435488,NED,15.3699998856,9.19405937195
1536681803164619872,1352,1536681803164032352,NED,15.3800001144,9.19405937195
1536681803238031456,1353,1536681803237145312,NED,15.0699996948,9.19405937195
1536681803286951232,1354,1536681803286668096,NED,15.0999994278,10.5237531662
1536681803320687744,1355,1536681803320042240,NED,16.6199989319,10.5237531662
1536681803362267584,1356,1536681803361427520,NED,16.6299991608,10.5237531662
1536681803429376960,1357,1536681803428252256,NED,16.3500003815,10.5237531662
1536681803474855136,1358,1536681803473741152,NED,16.3500003815,10.5237531662
1536681803520299360,1359,1536681803519382304,NED,16.0799999237,10.5237531662
1536681803586134336,1360,1536681803585595904,NED,16.0699996948,10.4383888245
1536681803630465280,1361,1536681803630009856,NED,23.4200000763,10.4383888245
1536681803676336896,1362,1536681803675768352,NED,23.4300003052,10.4383888245
1536681803740710752,1363,1536681803740427776,NED,23.5499992371,10.4383888245
1536681803787528480,1364,1536681803787047424,NED,23.5399990082,10.4383888245
1536681803827928800,1365,1536681803827411232,NED,28.4699993134,10.4383888245
1536681803862087072,1366,1536681803861011168,NED,28.4799995422,10.4383888245
1536681803936911584,1367,1536681803936162624,NED,28.8699989319,10.4383888245
1536681803983628512,1368,1536681803983193888,NED,28.8899993896,10.4383888245
1536681804033480160,1369,1536681804032911552,NED,29.0,10.4383888245
1536681804068227648,1370,1536681804066526560,NED,29.0,13.8571214676
1536681804125601536,1371,1536681804125312960,NED,31.8999996185,13.8571214676
1536681804173433600,1372,1536681804172956960,NED,31.8699989319,13.8571214676
1536681804273112288,1373,1536681804272802720,NED,31.8999996185,13.8571214676
1536681804321523264,1374,1536681804320969056,NED,33.3299980164,13.8571214676
1536681804366135264,1375,1536681804365568704,NED,33.2999992371,13.8571214676
1536681804431784832,1376,1536681804431349600,NED,33.1399993896,13.8571214676
1536681804441760352,1377,1536681804439979392,NED,33.1499977112,13.8571214676
1536681804517999744,1378,1536681804512749408,NED,38.1899986267,23.1179866791
1536681804545926208,1379,1536681804545350464,NED,38.1699981689,23.1179866791
1536681804619415808,1380,1536681804617367520,NED,38.0599975586,23.1179866791
1536681804641513536,1381,1536681804641100832,NED,38.0699996948,23.1179866791
1536681804728991744,1382,1536681804728681792,NED,37.8099975586,23.1179866791
1536681804754717472,1383,1536681804754545664,NED,37.8400001526,23.1179866791
1536681804837189504,1384,1536681804836374336,NED,40.9099998474,27.2795219421
1536681804869811008,1385,1536681804866500736,NED,40.9500007629,27.2795219421
1536681804888935808,1386,1536681804888688672,NED,40.969997406,27.2795219421
1536681804957238304,1387,1536681804956826240,NED,40.7000007629,27.2795219421
1536681805001366656,1388,1536681805000686560,NED,42.1800003052,27.2795219421
1536681805042345696,1389,1536681805041606912,NED,42.2299995422,27.2795219421
1536681805097950400,1390,1536681805097650720,NED,42.3099975586,27.2795219421
1536681805146366496,1391,1536681805145499200,NED,42.3699989319,27.2795219421
1536681805246050208,1392,1536681805245547424,NED,42.1399993896,29.7399215698
1536681805345912320,1393,1536681805345468032,NED,42.4899978638,29.7399215698
