%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1536681798931053312,2735,1536681798924817280,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681799327186528,2736,1536681799326397440,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681799649202912,2737,1536681799648820960,,0,1501,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681800113888800,2738,1536681800113730624,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681800409487072,2739,1536681800409146272,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681800808937728,2740,1536681800808689888,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681801164548128,2741,1536681801164115232,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681801472323008,2742,1536681801471494272,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681801828046304,2743,1536681801827752000,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681802166122592,2744,1536681802165769792,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681802516715200,2745,1536681802513057696,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681802808174816,2746,1536681802807826432,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681803207447584,2747,1536681803206907104,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681803441836000,2748,1536681803441434176,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681803803575136,2749,1536681803803312640,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681804219147520,2750,1536681804218708768,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681804533079296,2751,1536681804532793760,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681804908281344,2752,1536681804908141632,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681805265811488,2753,1536681805265356640,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681805559642976,2754,1536681805559062048,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681805918394816,2755,1536681805917451936,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681806266115072,2756,1536681806265338688,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681806551993088,2757,1536681806551773920,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681806845585888,2758,1536681806845284576,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681807199045824,2759,1536681807198707328,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536681807552067680,2760,1536681807551684960,,0,1514,1552,1676,1511,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
