%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1536681798861429312,2029,1536681798861144288,,1536687009679000000,fcu
1536681799436806016,2030,1536681799433289600,,1536687010240000000,fcu
1536681799842143040,2031,1536681799841746336,,1536687010640000000,fcu
1536681800465530112,2032,1536681800457884192,,1536687011260000000,fcu
1536681800902443712,2033,1536681800902100960,,1536687011701000000,fcu
1536681801418512800,2034,1536681801418035104,,1536687012222000000,fcu
1536681801918320128,2035,1536681801917949024,,1536687012701000000,fcu
1536681802402815136,2036,1536681802402508640,,1536687013200000000,fcu
1536681802776646304,2037,1536681802776093760,,1536687013559000000,fcu
1536681803255443104,2038,1536681803255152768,,1536687014040000000,fcu
1536681803607169280,2039,1536681803596551040,,1536687014418000000,fcu
1536681804275209504,2040,1536681804275048320,,1536687015060000000,fcu
1536681804704027520,2041,1536681804703647968,,1536687015499000000,fcu
1536681805009009120,2042,1536681805008644256,,1536687015801000000,fcu
1536681805534503328,2043,1536681805534094112,,1536687016340000000,fcu
1536681806082719744,2044,1536681806082355488,,1536687016860000000,fcu
1536681806488841760,2045,1536681806488326112,,1536687017279000000,fcu
1536681806984987296,2046,1536681806984323488,,1536687017782000000,fcu
1536681807419332960,2047,1536681807419075104,,1536687018222000000,fcu
1536681807898900352,2048,1536681807898455040,,1536687018682000000,fcu
1536681808279028864,2049,1536681808278768576,,1536687019061000000,fcu
1536681808798175424,2050,1536681808797883904,,1536687019600000000,fcu
1536681809263174272,2051,1536681809262291968,,1536687020080000000,fcu
1536681809801997344,2052,1536681809798599712,,1536687020602000000,fcu
1536681810266520384,2053,1536681810266294848,,1536687021061000000,fcu
1536681810635534528,2054,1536681810634456160,,1536687021439000000,fcu
1536681811193151360,2055,1536681811192712192,,1536687021981000000,fcu
1536681811640486368,2056,1536681811640169568,,1536687022424000000,fcu
1536681812097215296,2057,1536681812096979008,,1536687022899000000,fcu
1536681812632716704,2058,1536681812631785664,,1536687023422000000,fcu
1536681813023321888,2059,1536681813022747744,,1536687023822000000,fcu
1536681813519840160,2060,1536681813514778848,,1536687024301000000,fcu
1536681814018412448,2061,1536681814017302688,,1536687024822000000,fcu
1536681814592323904,2062,1536681814592044896,,1536687025378000000,fcu
1536681815069815840,2063,1536681815068576128,,1536687025860000000,fcu
1536681815515226816,2064,1536681815514755776,,1536687026299000000,fcu
1536681815812865312,2065,1536681815812691904,,1536687026601000000,fcu
1536681816413573376,2066,1536681816412944064,,1536687027222000000,fcu
1536681816995075584,2067,1536681816994696000,,1536687027799000000,fcu
1536681817480597920,2068,1536681817480406400,,1536687028278000000,fcu
1536681817797694848,2069,1536681817796972576,,1536687028618000000,fcu
1536681818211480128,2070,1536681818211053312,,1536687029000000000,fcu
1536681818694268384,2071,1536681818693952992,,1536687029481000000,fcu
1536681819246074144,2072,1536681819245820160,,1536687030038000000,fcu
1536681819718131776,2073,1536681819717149728,,1536687030500000000,fcu
1536681820098720928,2074,1536681820095888832,,1536687030899000000,fcu
1536681820696382304,2075,1536681820696110880,,1536687031499000000,fcu
1536681821011571040,2076,1536681821011128800,,1536687031823000000,fcu
1536681821441064032,2077,1536681821440428224,,1536687032240000000,fcu
1536681821969023520,2078,1536681821965942016,,1536687032760000000,fcu
1536681822405085792,2079,1536681822404594304,,1536687033181000000,fcu
1536681822839991680,2080,1536681822839789888,,1536687033640000000,fcu
1536681823308041248,2081,1536681823307902400,,1536687034101000000,fcu
1536681823871511488,2082,1536681823870829728,,1536687034659000000,fcu
1536681824319301664,2083,1536681824319131648,,1536687035117000000,fcu
1536681824891626720,2084,1536681824891210624,,1536687035680000000,fcu
1536681825399041792,2085,1536681825398787296,,1536687036221000000,fcu
1536681826045406784,2086,1536681826044457792,,1536687036839000000,fcu
1536681826403207776,2087,1536681826402976416,,1536687037182000000,fcu
1536681826901203296,2088,1536681826900949728,,1536687037681000000,fcu
1536681827125706496,2089,1536681827125424736,,1536687037919000000,fcu
1536681827588335616,2090,1536681827588081184,,1536687038379000000,fcu
1536681828136390272,2091,1536681828136198688,,1536687038940000000,fcu
1536681828570613440,2092,1536681828569352032,,1536687039360000000,fcu
1536681829152301728,2093,1536681829152117696,,1536687039940000000,fcu
1536681829730241344,2094,1536681829729655744,,1536687040520000000,fcu
1536681830299120192,2095,1536681830298708608,,1536687041099000000,fcu
1536681830810077472,2096,1536681830809820992,,1536687041600000000,fcu
1536681831318550304,2097,1536681831318345888,,1536687042118000000,fcu
1536681831691651648,2098,1536681831691144736,,1536687042499000000,fcu
1536681832255920544,2099,1536681832255288608,,1536687043060000000,fcu
1536681832711704128,2100,1536681832711476672,,1536687043520000000,fcu
1536681833185024832,2101,1536681833184834976,,1536687043981000000,fcu
1536681833593658272,2102,1536681833593470016,,1536687044398000000,fcu
1536681834063057440,2103,1536681834062810208,,1536687044841000000,fcu
1536681834488305088,2104,1536681834488119232,,1536687045279000000,fcu
1536681834818768832,2105,1536681834818620640,,1536687045623000000,fcu
1536681835328834080,2106,1536681835328606848,,1536687046140000000,fcu
1536681835917670624,2107,1536681835917452672,,1536687046720000000,fcu
1536681836315964512,2108,1536681836308227840,,1536687047102000000,fcu
1536681836781949216,2109,1536681836781543584,,1536687047578000000,fcu
1536681837288069824,2110,1536681837287860128,,1536687048062000000,fcu
1536681837709502624,2111,1536681837709359840,,1536687048501000000,fcu
1536681838154223712,2112,1536681838152486464,,1536687048940000000,fcu
1536681838644823264,2113,1536681838643575040,,1536687049440000000,fcu
1536681839062347264,2114,1536681839062052864,,1536687049860000000,fcu
1536681839624331328,2115,1536681839623987104,,1536687050421000000,fcu
1536681840109913088,2116,1536681840109510784,,1536687050900000000,fcu
1536681840595223776,2117,1536681840594227136,,1536687051378000000,fcu
1536681841091494624,2118,1536681841091219392,,1536687051900000000,fcu
1536681841666433856,2119,1536681841666208192,,1536687052439000000,fcu
1536681842149943840,2120,1536681842149157120,,1536687052939000000,fcu
1536681842696292800,2121,1536681842695799520,,1536687053499000000,fcu
1536681843152770560,2122,1536681843152553376,,1536687053940000000,fcu
1536681843592272640,2123,1536681843591974624,,1536687054399000000,fcu
1536681843946170624,2124,1536681843944853568,,1536687054739000000,fcu
1536681844643772160,2125,1536681844643574496,,1536687055424000000,fcu
1536681844985276160,2126,1536681844985064512,,1536687055780000000,fcu
1536681845508087552,2127,1536681845507408992,,1536687056298000000,fcu
1536681846092773952,2128,1536681846092574240,,1536687056899000000,fcu
1536681846554991136,2129,1536681846554588576,,1536687057339000000,fcu
1536681846849417728,2130,1536681846849273344,,1536687057639000000,fcu
1536681847283282080,2131,1536681847283086560,,1536687058081000000,fcu
1536681847845375488,2132,1536681847844641088,,1536687058639000000,fcu
1536681848343066016,2133,1536681848342863232,,1536687059139000000,fcu
1536681848721055872,2134,1536681848719369600,,1536687059520000000,fcu
1536681849095499904,2135,1536681849095142656,,1536687059900000000,fcu
1536681849406849696,2136,1536681849406223936,,1536687060221000000,fcu
1536681849889895712,2137,1536681849889636992,,1536687060700000000,fcu
1536681850258281248,2138,1536681850258121152,,1536687061080000000,fcu
1536681850647959488,2139,1536681850646985760,,1536687061441000000,fcu
1536681851194440832,2140,1536681851193218912,,1536687062021000000,fcu
1536681851526406880,2141,1536681851526040544,,1536687062339000000,fcu
1536681851911935968,2142,1536681851911040352,,1536687062700000000,fcu
1536681852432225856,2143,1536681852432055520,,1536687063238000000,fcu
1536681852878740352,2144,1536681852876842336,,1536687063698000000,fcu
1536681853321196960,2145,1536681853320850976,,1536687064139000000,fcu
1536681853756418080,2146,1536681853756147584,,1536687064541000000,fcu
1536681854216787488,2147,1536681854216580896,,1536687065004000000,fcu
1536681854679173184,2148,1536681854676320672,,1536687065479000000,fcu
1536681855283251424,2149,1536681855283049088,,1536687066081000000,fcu
1536681855640431232,2150,1536681855639838880,,1536687066440000000,fcu
1536681856154753664,2151,1536681856154568544,,1536687066959000000,fcu
1536681856763095040,2152,1536681856762510464,,1536687067579000000,fcu
1536681857200669952,2153,1536681857200491584,,1536687068002000000,fcu
1536681857535723424,2154,1536681857535521600,,1536687068341000000,fcu
1536681857999388352,2155,1536681857999139808,,1536687068801000000,fcu
1536681858302816128,2156,1536681858302595360,,1536687069099000000,fcu
1536681858826182752,2157,1536681858825682208,,1536687069623000000,fcu
1536681859257693632,2158,1536681859257220800,,1536687070061000000,fcu
1536681859866715200,2159,1536681859866289728,,1536687070641000000,fcu
1536681860254788768,2160,1536681860252807808,,1536687071039000000,fcu
1536681860743553664,2161,1536681860743303904,,1536687071540000000,fcu
1536681861249430528,2162,1536681861249149408,,1536687072023000000,fcu
1536681861740412736,2163,1536681861740088160,,1536687072539000000,fcu
1536681862206390976,2164,1536681862206097280,,1536687073001000000,fcu
1536681862552011264,2165,1536681862551800288,,1536687073359000000,fcu
1536681863000254976,2166,1536681862999930272,,1536687073799000000,fcu
1536681863515088672,2167,1536681863513269920,,1536687074319000000,fcu
1536681864071995680,2168,1536681864071436288,,1536687074860000000,fcu
1536681864614364864,2169,1536681864613964320,,1536687075422000000,fcu
1536681865075307392,2170,1536681865074571712,,1536687075861000000,fcu
1536681865603559328,2171,1536681865603204928,,1536687076422000000,fcu
1536681866108500000,2172,1536681866107980704,,1536687076899000000,fcu
1536681866663189920,2173,1536681866662988256,,1536687077461000000,fcu
1536681867130979072,2174,1536681867130686048,,1536687077939000000,fcu
1536681867496094176,2175,1536681867495735968,,1536687078299000000,fcu
1536681867894260768,2176,1536681867892787808,,1536687078682000000,fcu
1536681868423462304,2177,1536681868414819936,,1536687079200000000,fcu
1536681868708458592,2178,1536681868701125856,,1536687079499000000,fcu
1536681869191991040,2179,1536681869191746496,,1536687079982000000,fcu
1536681869684792320,2180,1536681869684486304,,1536687080482000000,fcu
1536681870183870720,2181,1536681870183662688,,1536687080983000000,fcu
1536681870615279328,2182,1536681870615008960,,1536687081422000000,fcu
1536681871123671456,2183,1536681871123481376,,1536687081919000000,fcu
1536681871649273472,2184,1536681871648510784,,1536687082441000000,fcu
1536681872179046080,2185,1536681872178754432,,1536687082960000000,fcu
1536681872668754400,2186,1536681872668538656,,1536687083461000000,fcu
1536681872990672416,2187,1536681872990338976,,1536687083782000000,fcu
1536681873295861216,2188,1536681873295667776,,1536687084100000000,fcu
1536681874001269216,2189,1536681874000902880,,1536687084783000000,fcu
1536681874330350464,2190,1536681874330062880,,1536687085139000000,fcu
1536681874692773344,2191,1536681874692537696,,1536687085500000000,fcu
1536681875124708480,2192,1536681875124364064,,1536687085921000000,fcu
1536681875736492128,2193,1536681875736218208,,1536687086518000000,fcu
1536681876157379232,2194,1536681876157120512,,1536687086959000000,fcu
1536681876691006848,2195,1536681876690774048,,1536687087481000000,fcu
1536681877135128832,2196,1536681877134084256,,1536687087940000000,fcu
1536681877641040736,2197,1536681877639600608,,1536687088440000000,fcu
1536681878197237312,2198,1536681878194533888,,1536687088982000000,fcu
1536681878834123232,2199,1536681878833879680,,1536687089624000000,fcu
1536681879288656096,2200,1536681879288405312,,1536687090082000000,fcu
1536681879655303072,2201,1536681879654814176,,1536687090441000000,fcu
1536681880196672672,2202,1536681880196354496,,1536687090999000000,fcu
1536681880674350688,2203,1536681880674148352,,1536687091479000000,fcu
1536681881247455904,2204,1536681881246949408,,1536687092040000000,fcu
1536681881786848960,2205,1536681881786412160,,1536687092582000000,fcu
1536681882327900704,2206,1536681882327481408,,1536687093120000000,fcu
1536681882634985728,2207,1536681882633195712,,1536687093440000000,fcu
1536681883197907904,2208,1536681883197748480,,1536687094001000000,fcu
1536681883771776800,2209,1536681883771285312,,1536687094580000000,fcu
1536681884275873952,2210,1536681884275666688,,1536687095080000000,fcu
1536681884566721920,2211,1536681884566492480,,1536687095360000000,fcu
1536681884972174368,2212,1536681884971908448,,1536687095760000000,fcu
1536681885406430240,2213,1536681885405677728,,1536687096198000000,fcu
1536681885908617888,2214,1536681885908430752,,1536687096700000000,fcu
1536681886251913024,2215,1536681886249299840,,1536687097039000000,fcu
1536681886753602304,2216,1536681886753389088,,1536687097560000000,fcu
1536681887193325088,2217,1536681887193169312,,1536687097979000000,fcu
1536681887669226208,2218,1536681887669010944,,1536687098461000000,fcu
1536681888134623200,2219,1536681888133657664,,1536687098921000000,fcu
1536681888736815072,2220,1536681888735882432,,1536687099539000000,fcu
1536681889133664512,2221,1536681889133342208,,1536687099940000000,fcu
1536681889633535616,2222,1536681889633335648,,1536687100425000000,fcu
1536681890134998016,2223,1536681890134618656,,1536687100921000000,fcu
1536681890573830784,2224,1536681890573643168,,1536687101361000000,fcu
1536681891046623296,2225,1536681891045007040,,1536687101838000000,fcu
1536681891572748256,2226,1536681891570391392,,1536687102359000000,fcu
