%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536689966513948385,6821,1536689966513179870,map,-20.2190145716,1.11979897882,0.0,0.0,0.0,0.0
1536689966746921275,6822,1536689966746685508,map,-20.3852839942,1.00413966905,0.0,0.0,0.0,0.0
1536689966905526345,6823,1536689966904900896,map,-20.3855216327,1.18613142679,0.0,0.0,0.0,0.0
1536689967101394234,6824,1536689967100597207,map,-20.2656896085,1.48466315818,0.0,0.0,0.0,0.0
1536689967288944893,6825,1536689967288389009,map,-20.0204590238,2.09716963493,0.0,0.0,0.0,0.0
1536689967497712658,6826,1536689967497007180,map,-19.7359830426,2.91435641982,0.0,0.0,0.0,0.0
1536689967693291982,6827,1536689967692910140,map,-19.4831147178,3.85069355996,0.0,0.0,0.0,0.0
1536689967911224082,6828,1536689967910743620,map,-19.3415902834,4.50804672887,0.0,0.0,0.0,0.0
1536689968084206606,6829,1536689968083774526,map,-18.9935802124,5.44990923905,0.0,0.0,0.0,0.0
1536689968310124460,6830,1536689968307844256,map,-18.7424503254,6.53781735754,0.0,0.0,0.0,0.0
1536689968480018969,6831,1536689968479381713,map,-18.3794653654,7.70714946542,0.0,0.0,0.0,0.0
1536689968685689441,6832,1536689968685226450,map,-17.8741444857,9.23738918221,0.0,0.0,0.0,0.0
1536689968912219464,6833,1536689968911563520,map,-17.0627655748,10.9793502057,0.0,0.0,0.0,0.0
1536689969123206380,6834,1536689969122338412,map,-16.125542615,12.6576804895,0.0,0.0,0.0,0.0
1536689969298794856,6835,1536689969298435125,map,-15.2002651498,14.1249580309,0.0,0.0,0.0,0.0
1536689969487408196,6836,1536689969486518981,map,-13.7505657706,15.6464322127,0.0,0.0,0.0,0.0
1536689969686275206,6837,1536689969685862965,map,-12.556707451,17.0564210194,0.0,0.0,0.0,0.0
1536689969882453036,6838,1536689969882131639,map,-10.9806891508,18.181365894,0.0,0.0,0.0,0.0
1536689970106679912,6839,1536689970106049503,map,-9.11768112075,19.3936275869,0.0,0.0,0.0,0.0
1536689970330330777,6840,1536689970329725295,map,-6.90585896747,20.5085034052,0.0,0.0,0.0,0.0
1536689970485529988,6841,1536689970485077653,map,-4.23714312534,21.1089440317,0.0,0.0,0.0,0.0
1536689970688030081,6842,1536689970687362841,map,-1.62329977415,21.5389158929,0.0,0.0,0.0,0.0
1536689970888689633,6843,1536689970887911646,map,0.803371462524,21.8052056696,0.0,0.0,0.0,0.0
1536689971103456730,6844,1536689971102638520,map,2.9096331916,21.4636817599,0.0,0.0,0.0,0.0
1536689971275151653,6845,1536689971274750740,map,4.72949035232,21.1066060987,0.0,0.0,0.0,0.0
1536689971482240536,6846,1536689971481859814,map,6.50946388521,20.5328634128,0.0,0.0,0.0,0.0
1536689971660105344,6847,1536689971659007113,map,7.90323102805,19.7795080656,0.0,0.0,0.0,0.0
1536689971882554750,6848,1536689971882156749,map,9.48896991933,18.9242793752,0.0,0.0,0.0,0.0
1536689972093382920,6849,1536689972093070899,map,10.8859185994,17.94650039,0.0,0.0,0.0,0.0
1536689972272727545,6850,1536689972272306025,map,11.7626229888,17.2757257568,0.0,0.0,0.0,0.0
1536689972465675445,6851,1536689972465374337,map,13.222530122,16.0174154336,0.0,0.0,0.0,0.0
1536689972729725111,6852,1536689972728900661,map,14.5564609789,14.6891743733,0.0,0.0,0.0,0.0
