%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1536689966640444430,4332,1536689966640268148,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689966974288708,4333,1536689966974030253,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689967177161299,4334,1536689967176967130,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689967534669089,4335,1536689967532235931,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689967805186772,4336,1536689967804971676,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689968144145550,4337,1536689968143910070,,0,1515,1552,1646,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689968500389483,4338,1536689968499998713,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689968822916162,4339,1536689968822575246,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689969139019718,4340,1536689969138414556,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689969379504715,4341,1536689969379298322,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689969785677241,4342,1536689969784809913,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689970128210031,4343,1536689970127822973,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689970393059826,4344,1536689970392681952,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689970798023757,4345,1536689970797834932,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689971081209325,4346,1536689971081009812,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689971509520875,4347,1536689971509323443,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689971844053416,4348,1536689971843789298,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689972183380052,4349,1536689972181354495,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689972526644592,4350,1536689972526369882,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689972801955986,4351,1536689972801765081,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689973171156050,4352,1536689973170848093,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689973503313382,4353,1536689973502369001,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689973918479880,4354,1536689973918222962,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689974266169569,4355,1536689974265964520,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689974589396126,4356,1536689974588604187,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689974944658911,4357,1536689974943999575,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689975187510253,4358,1536689975186305274,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689975511502670,4359,1536689975511260535,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689975883464744,4360,1536689975883262128,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689976246444909,4361,1536689976246282195,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689976595472884,4362,1536689976595297786,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689976921963385,4363,1536689976920124733,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689977186877978,4364,1536689977184637133,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689977597623168,4365,1536689977597430951,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689977879611020,4366,1536689977879417107,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689978349005313,4367,1536689978348741259,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689978709561823,4368,1536689978709306313,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689979067368899,4369,1536689979067193481,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689979283008571,4370,1536689979282848769,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689979666568714,4371,1536689979666124666,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689979947377122,4372,1536689979947133547,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689980339431512,4373,1536689980339190177,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689980646433291,4374,1536689980645987035,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689980884597989,4375,1536689980884469354,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689981298619634,4376,1536689981298444345,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689981596793930,4377,1536689981596591026,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689981882321140,4378,1536689981881877125,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689982222691258,4379,1536689982222429796,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689982500080496,4380,1536689982499931701,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689982787673134,4381,1536689982787208575,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689983148575519,4382,1536689983148223052,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689983478742813,4383,1536689983478521541,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689983789956949,4384,1536689983789710686,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689984084021060,4385,1536689984083862634,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689984489240981,4386,1536689984487626033,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1536689984835885012,4387,1536689984833155800,,0,1515,1552,1613,1510,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
