%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1536689966621869946,4330,1536689966621615779,,1500,1537,1452,1560,1621,1621,1500,1926
1536689966972773788,4331,1536689966972416489,,1500,1536,1452,1540,1581,1581,1500,1926
1536689967175689833,4332,1536689967175010402,,1500,1530,1460,1532,1565,1565,1500,1926
1536689967534639426,4333,1536689967531974532,,1500,1517,1484,1515,1531,1531,1500,1926
1536689967802356220,4334,1536689967800548607,,1500,1504,1492,1511,1522,1522,1500,1926
1536689968142089177,4335,1536689968141718599,,1500,1483,1532,1504,1509,1509,1500,1926
1536689968485419858,4336,1536689968484844871,,1500,1471,1564,1500,1501,1501,1500,1926
1536689968820900524,4337,1536689968820711091,,1500,1468,1596,1501,1503,1503,1500,1926
1536689969138985767,4338,1536689969138073256,,1500,1463,1620,1500,1501,1501,1500,1926
1536689969378042657,4339,1536689969377786634,,1500,1461,1628,1500,1500,1500,1500,1926
1536689969785666073,4340,1536689969782943037,,1500,1458,1652,1500,1499,1499,1500,1926
1536689970113463566,4341,1536689970112692746,,1500,1458,1668,1498,1496,1496,1500,1926
1536689970391313011,4342,1536689970390988703,,1500,1470,1668,1498,1495,1495,1500,1926
1536689970797710328,4343,1536689970797464897,,1500,1488,1636,1500,1500,1500,1500,1926
1536689971075897265,4344,1536689971075704024,,1500,1498,1612,1502,1504,1504,1500,1926
1536689971503162230,4345,1536689971502507246,,1500,1501,1564,1502,1505,1505,1500,1926
1536689971838251422,4346,1536689971835704348,,1500,1506,1548,1499,1497,1497,1500,1926
1536689972183478833,4347,1536689972179548513,,1500,1502,1532,1498,1495,1495,1500,1926
1536689972524330277,4348,1536689972524025424,,1500,1505,1508,1498,1495,1495,1500,1926
1536689972799927101,4349,1536689972799723684,,1500,1507,1500,1499,1497,1497,1500,1926
1536689973167308415,4350,1536689973166023727,,1500,1503,1484,1497,1493,1493,1500,1926
1536689973500520877,4351,1536689973499803783,,1500,1497,1476,1497,1493,1493,1500,1926
1536689973916103104,4352,1536689973915772108,,1500,1480,1492,1495,1489,1489,1500,1926
1536689974264166058,4353,1536689974263911092,,1500,1474,1524,1495,1490,1490,1500,1926
1536689974583228097,4354,1536689974581484961,,1500,1468,1532,1499,1498,1498,1500,1926
1536689974941279388,4355,1536689974940846891,,1500,1468,1556,1501,1502,1502,1500,1926
1536689975187520589,4356,1536689975186077954,,1500,1472,1564,1503,1506,1506,1500,1926
1536689975491061279,4357,1536689975490895013,,1500,1475,1564,1506,1513,1513,1500,1926
