%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1536690269471296402,2533,1536690269470833411,NED,110.0,-63.0539550781
1536690269528692144,2534,1536690269528163907,NED,110.0,-64.6685638428
1536690269566281415,2535,1536690269564660099,NED,110.0,-64.6685638428
1536690269602905826,2536,1536690269602283417,NED,109.0,-64.6685638428
1536690269623683364,2537,1536690269622357653,NED,109.0,-64.6685638428
1536690269690872153,2538,1536690269690385451,NED,-44.0,-64.6685638428
1536690269750296300,2539,1536690269749735329,NED,-44.0,-64.6685638428
1536690269780557394,2540,1536690269779503641,NED,-44.0,-64.6685638428
1536690269846115139,2541,1536690269845289249,NED,-44.0,-64.6685638428
1536690269887275703,2542,1536690269886911876,NED,-44.0,-64.6685638428
1536690269950315716,2543,1536690269949707803,NED,-44.0,-65.7979049683
1536690269974280818,2544,1536690269973808899,NED,-44.0,-65.7979049683
1536690270046648456,2545,1536690270045964993,NED,-44.0,-65.7979049683
1536690270081632095,2546,1536690270081129714,NED,-44.0,-65.7979049683
1536690270175424448,2547,1536690270173725023,NED,-44.0,-65.7979049683
1536690270212592743,2548,1536690270211877921,NED,-44.0,-65.7979049683
1536690270293428325,2549,1536690270292770525,NED,-44.0,-65.7979049683
1536690270344169048,2550,1536690270341409662,NED,-44.0,-65.7979049683
1536690270376509201,2551,1536690270375959333,NED,-44.0,-65.7979049683
1536690270449819204,2552,1536690270448824649,NED,-44.0,-65.2007522583
1536690270483101754,2553,1536690270482724968,NED,-44.0,-65.2007522583
1536690270551950386,2554,1536690270550939767,NED,-44.0,-65.2007522583
1536690270579528346,2555,1536690270578756150,NED,-44.0,-65.2007522583
1536690270649205395,2556,1536690270647633869,NED,-44.0,-65.2007522583
1536690270689007737,2557,1536690270688692485,NED,-44.0,-65.2007522583
1536690270780212537,2558,1536690270779287579,NED,-44.0,-65.2007522583
1536690270803424194,2559,1536690270802640575,NED,-44.0,-65.2007522583
1536690270869346374,2560,1536690270865592816,NED,-44.0,-60.2638778687
1536690270887513513,2561,1536690270886938750,NED,-44.0,-60.2638778687
1536690270962021904,2562,1536690270960996406,NED,-44.0,-60.2638778687
1536690271008697017,2563,1536690271008109774,NED,-44.0,-60.2638778687
1536690271053231632,2564,1536690271051417139,NED,-44.0,-60.2638778687
1536690271094451682,2565,1536690271093938805,NED,-44.0,-60.2638778687
1536690271142680369,2566,1536690271140640220,NED,-44.0,-60.2638778687
1536690271190395635,2567,1536690271189605553,NED,-44.0,-57.4981575012
1536690271327471130,2568,1536690271326679575,NED,-44.0,-57.4981575012
1536690271384448999,2569,1536690271382974109,NED,-44.0,-57.4981575012
1536690271471494689,2570,1536690271471086736,NED,-44.0,-57.4981575012
1536690271502714211,2571,1536690271502095897,NED,-44.0,-57.4981575012
1536690271560347096,2572,1536690271559191266,NED,-44.0,-57.4981575012
1536690271586211007,2573,1536690271585050090,NED,-44.0,-57.4981575012
1536690271652887207,2574,1536690271652058181,NED,-44.0,-57.4981575012
1536690271682185391,2575,1536690271680232919,NED,-44.0,-57.4981575012
1536690271739489872,2576,1536690271738682062,NED,-44.0,-53.6583099365
1536690271849939244,2577,1536690271847726877,NED,-44.0,-53.6583099365
1536690271902623511,2578,1536690271902161960,NED,-44.0,-53.6583099365
1536690271988771058,2579,1536690271985888124,NED,-44.0,-53.6583099365
1536690272061783056,2580,1536690272058595238,NED,-44.0,-53.6583099365
1536690272109778152,2581,1536690272108958470,NED,-44.0,-53.6583099365
1536690272144325616,2582,1536690272143469967,NED,-44.0,-47.3298339844
1536690272205035123,2583,1536690272204244976,NED,-44.0,-47.3298339844
1536690272254664591,2584,1536690272250987990,NED,-44.0,-47.3298339844
1536690272338227561,2585,1536690272337259084,NED,-44.0,-47.3298339844
1536690272402794846,2586,1536690272402066265,NED,-44.0,-47.3298339844
1536690272464600762,2587,1536690272463891156,NED,-44.0,-47.3298339844
1536690272498578710,2588,1536690272496651069,NED,-44.0,-44.1604423523
1536690272561938392,2589,1536690272550589754,NED,-44.0,-44.1604423523
1536690272626099804,2590,1536690272625485619,NED,-44.0,-44.1604423523
1536690272665378965,2591,1536690272664897479,NED,-44.0,-44.1604423523
1536690272694767387,2592,1536690272694062677,NED,-44.0,-44.1604423523
1536690272766648515,2593,1536690272765884383,NED,-44.0,-44.1604423523
1536690272801117037,2594,1536690272800741915,NED,-44.0,-44.1604423523
1536690272879344268,2595,1536690272876358906,NED,-44.0,-44.1604423523
1536690272891487372,2596,1536690272890577582,NED,-44.0,-44.1604423523
1536690272941214725,2597,1536690272940432961,NED,-44.0,-43.162689209
1536690272985055030,2598,1536690272983865953,NED,-44.0,-43.162689209
1536690273059558045,2599,1536690273055544017,NED,-44.0,-43.162689209
1536690273098266603,2600,1536690273096180472,NED,-44.0,-43.162689209
1536690273154246301,2601,1536690273153514264,NED,-44.0,-43.162689209
1536690273252271298,2602,1536690273249544103,NED,-44.0,-43.162689209
1536690273307137245,2603,1536690273301055197,NED,-44.0,-43.162689209
1536690273365232673,2604,1536690273364261829,NED,-44.0,-43.162689209
1536690273394902940,2605,1536690273392794890,NED,-44.0,-43.162689209
1536690273462662684,2606,1536690273461874425,NED,-44.0,-41.5942306519
1536690273497734704,2607,1536690273493369361,NED,-44.0,-41.5942306519
1536690273520706626,2608,1536690273519949502,NED,-44.0,-41.5942306519
1536690273562023952,2609,1536690273561601247,NED,-44.0,-41.5942306519
1536690273612091611,2610,1536690273611536656,NED,-44.0,-41.5942306519
1536690273659469546,2611,1536690273658703174,NED,-44.0,-41.5942306519
1536690273729200513,2612,1536690273727499552,NED,-44.0,-41.5942306519
1536690273787904943,2613,1536690273787467743,NED,-44.0,-41.5942306519
1536690273858609858,2614,1536690273857765921,NED,-44.0,-41.5942306519
1536690273874526968,2615,1536690273872888308,NED,-44.0,-40.6661109924
1536690273939251304,2616,1536690273937283536,NED,-44.0,-40.6661109924
1536690273978388934,2617,1536690273975194236,NED,-44.0,-40.6661109924
1536690274020351068,2618,1536690274019420479,NED,-44.0,-40.6661109924
1536690274060603122,2619,1536690274059129320,NED,-44.0,-40.6661109924
1536690274145079946,2620,1536690274144510847,NED,-44.0,-40.6661109924
1536690274173655949,2621,1536690274173093666,NED,-44.0,-40.6661109924
1536690274256829749,2622,1536690274255964085,NED,-44.0,-40.6661109924
1536690274274685379,2623,1536690274273952574,NED,-44.0,-40.6661109924
1536690274343950956,2624,1536690274343309412,NED,-44.0,-42.5056419373
1536690274363604856,2625,1536690274361674719,NED,-44.0,-42.5056419373
1536690274455899024,2626,1536690274454641022,NED,-44.0,-42.5056419373
1536690274485909215,2627,1536690274485347507,NED,-44.0,-42.5056419373
1536690274565804351,2628,1536690274564325430,NED,-44.0,-42.5056419373
1536690274594624442,2629,1536690274594021104,NED,-44.0,-42.5056419373
1536690274665908440,2630,1536690274663242746,NED,-44.0,-42.4023017883
1536690274692925941,2631,1536690274692551394,NED,-44.0,-42.4023017883
1536690274748832393,2632,1536690274746154604,NED,-44.0,-42.4023017883
1536690274799254344,2633,1536690274798829592,NED,-44.0,-42.4023017883
1536690274865466753,2634,1536690274864930933,NED,-44.0,-42.4023017883
1536690274901647628,2635,1536690274899196678,NED,-44.0,-42.4023017883
1536690274954449939,2636,1536690274954015363,NED,-44.0,-42.4023017883
1536690274969278769,2637,1536690274968614153,NED,-44.0,-42.4023017883
1536690275057546589,2638,1536690275054947677,NED,-44.0,-42.4023017883
1536690275089528483,2639,1536690275088640708,NED,-44.0,-42.4023017883
1536690275122567554,2640,1536690275121299921,NED,-44.0,-41.2643356323
1536690275162896820,2641,1536690275161845371,NED,-44.0,-41.2643356323
1536690275253933211,2642,1536690275253520170,NED,-44.0,-41.2643356323
1536690275267800476,2643,1536690275266915805,NED,-44.0,-41.2643356323
1536690275346326063,2644,1536690275345771332,NED,-44.0,-41.2643356323
1536690275411922719,2645,1536690275411551597,NED,-44.0,-41.2643356323
1536690275425827487,2646,1536690275424350645,NED,-44.0,-41.2643356323
1536690275490786470,2647,1536690275489910246,NED,-44.0,-41.2643356323
1536690275520615963,2648,1536690275519980434,NED,-44.0,-42.0464859009
1536690275558895353,2649,1536690275558218066,NED,-44.0,-42.0464859009
