%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1536690269828602056,5300,1536690269826831177,,1500,1545,1412,1539,1578,1578,1500,1926
1536690270177432630,5301,1536690270176256481,,1500,1559,1324,1517,1534,1534,1500,1926
1536690270557311596,5302,1536690270555810788,,1500,1567,1228,1505,1511,1511,1500,1926
1536690270906744068,5303,1536690270906586346,,1500,1543,1156,1494,1488,1488,1500,1926
1536690271346547451,5304,1536690271345168238,,1500,1535,1132,1484,1468,1468,1500,1926
1536690271665154595,5305,1536690271664764913,,1500,1528,1124,1476,1452,1452,1500,1926
1536690272016970595,5306,1536690272016726060,,1500,1539,1108,1480,1460,1460,1500,1926
1536690272266816175,5307,1536690272263969592,,1500,1538,1100,1484,1467,1467,1500,1926
1536690272647713760,5308,1536690272647335118,,1500,1536,1100,1480,1460,1460,1500,1926
1536690273017939482,5309,1536690273017751489,,1500,1541,1100,1488,1476,1476,1500,1926
1536690273371504858,5310,1536690273371125352,,1500,1533,1100,1496,1492,1492,1500,1926
1536690273678672135,5311,1536690273677772104,,1500,1531,1100,1498,1495,1495,1500,1926
1536690274024587712,5312,1536690274024332010,,1500,1535,1108,1497,1493,1493,1500,1926
1536690274368077075,5313,1536690274366828033,,1500,1530,1148,1493,1485,1485,1500,1926
1536690274762995072,5314,1536690274762817382,,1500,1500,1276,1494,1487,1487,1500,1926
1536690275065031049,5315,1536690275059236255,,1500,1488,1372,1495,1489,1489,1500,1926
1536690275355999787,5316,1536690275355757652,,1500,1485,1460,1495,1489,1489,1500,1926
1536690275751390854,5317,1536690275750975765,,1500,1485,1524,1498,1495,1495,1500,1926
1536690276047764864,5318,1536690276046965502,,1500,1494,1548,1499,1498,1498,1500,1926
1536690276514021449,5319,1536690276508870567,,1500,1508,1556,1499,1498,1498,1500,1926
1536690276786668269,5320,1536690276785468762,,1500,1524,1548,1503,1506,1506,1500,1926
1536690277198397903,5321,1536690277194748981,,1500,1547,1500,1504,1509,1509,1500,1926
1536690277543321101,5322,1536690277543097045,,1500,1555,1468,1504,1509,1509,1500,1926
1536690277965681734,5323,1536690277961408420,,1500,1565,1428,1510,1520,1520,1500,1926
1536690278266271269,5324,1536690278265918322,,1500,1572,1396,1508,1518,1518,1500,1926
1536690278578773358,5325,1536690278578574293,,1500,1578,1372,1510,1521,1521,1500,1926
1536690278829220100,5326,1536690278826508328,,1500,1575,1356,1517,1535,1535,1500,1926
1536690279189494444,5327,1536690279189132666,,1500,1571,1348,1511,1522,1522,1500,1926
1536690279537489913,5328,1536690279535309482,,1500,1553,1356,1519,1538,1538,1500,1926
1536690279964247473,5329,1536690279963549323,,1500,1522,1364,1503,1506,1506,1500,1926
1536690280369378949,5330,1536690280369107023,,1500,1502,1396,1515,1530,1530,1500,1926
1536690280753440545,5331,1536690280753235401,,1500,1484,1436,1519,1539,1539,1500,1926
1536690281187493676,5332,1536690281187139385,,1500,1462,1508,1506,1512,1512,1500,1926
1536690281433799131,5333,1536690281433501030,,1500,1463,1524,1506,1513,1513,1500,1926
1536690281753959945,5334,1536690281753642773,,1500,1465,1540,1504,1509,1509,1500,1926
1536690282190816813,5335,1536690282190492633,,1500,1466,1564,1501,1502,1502,1500,1926
1536690282469754985,5336,1536690282469162111,,1500,1461,1572,1498,1495,1495,1500,1926
1536690282862341708,5337,1536690282861909948,,1500,1456,1588,1493,1486,1486,1500,1926
1536690283187357319,5338,1536690283187073490,,1500,1463,1596,1493,1486,1486,1500,1926
1536690283503079961,5339,1536690283502921119,,1500,1476,1580,1496,1491,1491,1500,1926
1536690283863679413,5340,1536690283863338338,,1500,1483,1572,1499,1498,1498,1500,1926
1536690284230195736,5341,1536690284219049491,,1500,1483,1564,1500,1498,1498,1500,1926
1536690284476748894,5342,1536690284476290255,,1500,1486,1556,1502,1504,1504,1500,1926
1536690284937526768,5343,1536690284937195644,,1500,1487,1548,1496,1491,1491,1500,1926
1536690285252087821,5344,1536690285251647389,,1500,1490,1540,1487,1473,1473,1500,1926
1536690285608904852,5345,1536690285607913817,,1500,1494,1532,1472,1444,1444,1500,1926
1536690285909279484,5346,1536690285909019013,,1500,1494,1524,1465,1430,1430,1500,1926
1536690286240662476,5347,1536690286240219453,,1500,1500,1508,1463,1425,1425,1500,1926
1536690286579244820,5348,1536690286579037500,,1500,1511,1492,1460,1419,1419,1500,1926
1536690286978150542,5349,1536690286977900087,,1500,1518,1484,1461,1421,1421,1500,1926
1536690287384604625,5350,1536690287384440983,,1500,1522,1460,1472,1443,1443,1500,1926
1536690287723902110,5351,1536690287723680390,,1500,1531,1460,1477,1454,1454,1500,1926
1536690288022060087,5352,1536690288021811136,,1500,1536,1460,1488,1476,1476,1500,1926
1536690288336933384,5353,1536690288335324419,,1500,1533,1444,1500,1498,1498,1500,1926
1536690288743195091,5354,1536690288742856511,,1500,1531,1428,1505,1511,1511,1500,1926
1536690289082080271,5355,1536690289081733372,,1500,1533,1428,1511,1522,1522,1500,1926
1536690289335133413,5356,1536690289334937645,,1500,1537,1412,1511,1522,1522,1500,1926
1536690289629304209,5357,1536690289629104472,,1500,1535,1404,1514,1528,1528,1500,1926
1536690290052489388,5358,1536690290052055996,,1500,1536,1404,1507,1514,1514,1500,1926
1536690290408613614,5359,1536690290408361623,,1500,1538,1404,1504,1509,1509,1500,1926
1536690290757237987,5360,1536690290756331141,,1500,1533,1404,1501,1503,1503,1500,1926
1536690291098275216,5361,1536690291097748836,,1500,1532,1404,1499,1497,1497,1500,1926
1536690291382644677,5362,1536690291382422733,,1500,1536,1412,1499,1498,1498,1500,1926
1536690291682127053,5363,1536690291681873270,,1500,1534,1412,1499,1498,1498,1500,1926
1536690292058362026,5364,1536690292057725825,,1500,1529,1420,1501,1502,1502,1500,1926
1536690292429734393,5365,1536690292429141039,,1500,1524,1428,1500,1500,1500,1500,1926
1536690292767885521,5366,1536690292763250268,,1500,1522,1436,1500,1500,1500,1500,1926
1536690293056087128,5367,1536690293055480143,,1500,1523,1452,1499,1497,1497,1500,1926
1536690293409809426,5368,1536690293409533629,,1500,1527,1460,1503,1506,1506,1500,1926
1536690293735373114,5369,1536690293735118083,,1500,1528,1460,1503,1507,1507,1500,1926
1536690294019315134,5370,1536690294018933740,,1500,1525,1468,1504,1509,1509,1500,1926
1536690294421752533,5371,1536690294421566812,,1500,1526,1468,1502,1504,1504,1500,1926
1536690294725137102,5372,1536690294724843672,,1500,1523,1476,1498,1496,1496,1500,1926
1536690294992644239,5373,1536690294992450391,,1500,1522,1476,1496,1491,1491,1500,1926
1536690295415202082,5374,1536690295410408818,,1500,1521,1484,1494,1488,1488,1500,1926
1536690295756555971,5375,1536690295755083193,,1500,1526,1484,1493,1486,1486,1500,1926
1536690296148773491,5376,1536690296148059405,,1500,1528,1484,1496,1491,1491,1500,1926
1536690296465557662,5377,1536690296465177836,,1500,1530,1484,1496,1491,1491,1500,1926
1536690296867188307,5378,1536690296867027385,,1500,1521,1476,1500,1499,1499,1500,1926
1536690297263904669,5379,1536690297260269251,,1500,1515,1484,1495,1489,1489,1500,1926
1536690297626945536,5380,1536690297626697097,,1500,1515,1492,1498,1495,1495,1500,1926
1536690297916673999,5381,1536690297914443233,,1500,1516,1500,1500,1500,1500,1500,1926
