%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1536690269479311435,2485,1536690269478618244,,5,65528,40.5915106,-79.8980273,419.859985352,15.9999017715,0.0560423359275,1.95255964224e-15,-18.869354248,7.39182090759,0.6392968297,-15.0,-0.0
1536690269546384836,2486,1536690269531121686,,5,65528,40.5915106,-79.8980273,419.859985352,15.9999017715,0.0560423359275,1.95255964224e-15,-18.8969230652,7.32703113556,0.741837084293,-15.0,-0.0
1536690269569254010,2487,1536690269567493242,,5,65528,40.5915106,-79.8980273,419.859985352,15.9999017715,0.0560423359275,1.95255964224e-15,-18.9039173126,7.31271457672,0.772681236267,-15.0,-0.0
1536690269608028549,2488,1536690269605249772,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.9150600433,7.28963375092,0.868932962418,-15.0,-0.0
1536690269637570405,2489,1536690269637090135,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.8950843811,7.30984354019,0.936057150364,-15.0,-0.0
1536690269694971010,2490,1536690269694499700,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.8708972931,7.30883646011,0.968646764755,-16.0,-0.0
1536690269755262646,2491,1536690269753738670,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.8126583099,7.34062623978,1.00648593903,-16.0,-0.0
1536690269783071189,2492,1536690269782530089,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.7653865814,7.3742647171,1.01624643803,-16.0,-0.0
1536690269847929152,2493,1536690269847336470,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.7031593323,7.4312171936,0.982305824757,-16.0,-0.0
1536690269890930768,2494,1536690269890066928,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.6406097412,7.4668264389,0.924882769585,-16.0,-0.0
1536690269952178304,2495,1536690269951266977,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.5520515442,7.54636144638,0.85701495409,-16.0,-0.0
1536690269988563747,2496,1536690269983398050,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.4873085022,7.61332368851,0.830702602863,-16.0,-0.0
1536690270051258814,2497,1536690270050112456,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.3828544617,7.73576498032,0.798405110836,-16.0,-0.0
1536690270084413977,2498,1536690270082772181,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.3030166626,7.80346441269,0.752146303654,-16.0,-0.0
1536690270176705937,2499,1536690270175367298,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.1513061523,7.93685388565,0.624203145504,-16.0,-0.0
1536690270214985903,2500,1536690270214699609,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-18.0747890472,8.01927471161,0.57145357132,-16.0,-0.0
1536690270296586609,2501,1536690270296005862,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.9159297943,8.1664352417,0.422068029642,-16.0,-0.0
1536690270347818737,2502,1536690270344025149,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.8001098633,8.24727725983,0.24870172143,-16.0,-0.0
1536690270380931726,2503,1536690270380322308,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.7316741943,8.28713130951,0.107302539051,-16.0,-0.0
1536690270455330009,2504,1536690270454792269,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.6376266479,8.33336162567,-0.147675290704,-16.0,-0.0
1536690270485596926,2505,1536690270484767005,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.570230484,8.3526506424,-0.316292136908,-16.0,-0.0
1536690270557188177,2506,1536690270555284375,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.4667167664,8.40796279907,-0.590708076954,-16.0,-0.0
1536690270582124474,2507,1536690270581727209,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.4044494629,8.43732833862,-0.796769857407,-16.0,-0.0
1536690270660075811,2508,1536690270659061288,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.2564315796,8.5387802124,-1.19779074192,-16.0,-0.0
1536690270691752244,2509,1536690270691133931,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.2206935883,8.55831050873,-1.29605722427,-16.0,-0.0
1536690270784823760,2510,1536690270783403236,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-17.065656662,8.64409637451,-1.73994266987,-16.0,-0.0
1536690270809511810,2511,1536690270808077399,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.9905471802,8.67412662506,-2.0029797554,-16.0,-0.0
1536690270869635355,2512,1536690270866988381,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.9208679199,8.70095252991,-2.27307295799,-16.0,-0.0
1536690270903051468,2513,1536690270902390885,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.8123703003,8.71907138824,-2.68354272842,-16.0,-0.0
1536690270968421572,2514,1536690270967932438,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.7074565887,8.75536727905,-3.06555151939,-16.0,-0.0
1536690271012066013,2515,1536690271010943110,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.6364517212,8.79108333588,-3.3054792881,-16.0,-0.0
1536690271056814636,2516,1536690271056482584,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.5638313293,8.8488368988,-3.510815382,-16.0,-0.0
1536690271098230359,2517,1536690271096913383,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.4352645874,8.95456886292,-3.77711248398,-16.0,-0.0
1536690271146822713,2518,1536690271145970648,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.3524665833,9.04587364197,-3.92839837074,-16.0,-0.0
1536690271199885302,2519,1536690271199642495,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-16.2277507782,9.20491409302,-4.1168756485,-16.0,-0.0
1536690271330756193,2520,1536690271329517199,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.9864721298,9.53181934357,-4.4022064209,-16.0,-0.0
1536690271384594306,2521,1536690271384070677,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.867354393,9.70096302032,-4.55355882645,-16.0,-0.0
1536690271475527020,2522,1536690271475222455,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.7014789581,9.91497135162,-4.80292797089,-16.0,-0.0
1536690271510246285,2523,1536690271509177780,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.6264095306,9.99349784851,-4.93987941742,-16.0,-0.0
1536690271566000295,2524,1536690271562872027,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.5201873779,10.1154670715,-5.14910793304,-16.0,-0.0
1536690271586450038,2525,1536690271585914346,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.4819421768,10.1628351212,-5.21357154846,-16.0,-0.0
1536690271659525458,2526,1536690271659002117,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.3659105301,10.3250570297,-5.38259029388,-16.0,-0.0
1536690271709979952,2527,1536690271709544960,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.2633838654,10.494383812,-5.4760093689,-16.0,-0.0
1536690271744882506,2528,1536690271744534167,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.1934890747,10.6347332001,-5.50322628021,-16.0,-0.0
1536690271853136054,2529,1536690271852747460,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-15.0368366241,10.9356679916,-5.60242128372,-16.0,-0.0
1536690271908127436,2530,1536690271907754650,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.9402084351,11.1198310852,-5.62788200378,-16.0,-0.0
1536690271990786695,2531,1536690271990225916,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.8269100189,11.3799972534,-5.60559177399,-16.0,-0.0
1536690272072602114,2532,1536690272064312179,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.7212848663,11.6719846725,-5.49000167847,-16.0,-0.0
1536690272112567809,2533,1536690272111910874,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.6741085052,11.796872139,-5.44204807281,-16.0,-0.0
1536690272148023719,2534,1536690272146243081,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.6362991333,11.9172935486,-5.39623880386,-16.0,-0.0
1536690272207827244,2535,1536690272206811058,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.5636968613,12.0825815201,-5.38327264786,-16.0,-0.0
1536690272265375460,2536,1536690272257166547,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.5188360214,12.1628446579,-5.42572450638,-16.0,-0.0
1536690272342306387,2537,1536690272341407188,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.4061346054,12.3164615631,-5.61689901352,-16.0,-0.0
1536690272406794379,2538,1536690272405989609,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.3441991806,12.3946962357,-5.77203798294,-16.0,-0.0
1536690272470886482,2539,1536690272466338042,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.3124046326,12.4469041824,-5.87197065353,-16.0,-0.0
1536690272502156978,2540,1536690272501394350,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.2676811218,12.5035362244,-5.94752788544,-16.0,-0.0
1536690272562522210,2541,1536690272560360242,,5,65528,40.5915106,-79.8980273,419.859985352,3.94430452611e-31,16.0,-1.95943496414e-15,-14.2089242935,12.596493721,-6.05173873901,-16.0,-0.0
