%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536690450461470990,9241,1536690450461055262,map,-19.8563998161,0.735041727728,0.0,0.0,0.0,0.0
1536690450653455182,9242,1536690450652844933,map,-19.9075462811,0.945780664694,0.0,0.0,0.0,0.0
1536690450868546555,9243,1536690450868078284,map,-19.5982294043,1.42544877682,0.0,0.0,0.0,0.0
1536690451104402123,9244,1536690451104042232,map,-19.3128780728,1.61156462584,0.0,0.0,0.0,0.0
1536690451284839540,9245,1536690451284533759,map,-19.1531529864,1.60160253492,0.0,0.0,0.0,0.0
1536690451474551016,9246,1536690451474153846,map,-18.945602418,1.14216856033,0.0,0.0,0.0,0.0
1536690451659089018,9247,1536690451658602284,map,-18.8073603709,0.689634597857,0.0,0.0,0.0,0.0
1536690451863894849,9248,1536690451862990179,map,-18.5650720613,0.427784243044,0.0,0.0,0.0,0.0
1536690452109968601,9249,1536690452109221588,map,-18.4799898672,0.0193522072091,0.0,0.0,0.0,0.0
1536690452267272822,9250,1536690452266945570,map,-18.1872295749,-0.317459273094,0.0,0.0,0.0,0.0
1536690452452188794,9251,1536690452449269734,map,-18.050529901,-0.838612122571,0.0,0.0,0.0,0.0
1536690452677028512,9252,1536690452676596112,map,-18.0558790378,-1.74494474767,0.0,0.0,0.0,0.0
1536690452855331832,9253,1536690452854703631,map,-17.9405590663,-2.61404674572,0.0,0.0,0.0,0.0
1536690453075221844,9254,1536690453074434513,map,-18.0485267201,-3.87585903154,0.0,0.0,0.0,0.0
1536690453251132996,9255,1536690453250720403,map,-18.0809040795,-5.4692785328,0.0,0.0,0.0,0.0
1536690453471349331,9256,1536690453470572112,map,-18.0225862085,-6.79220040601,0.0,0.0,0.0,0.0
1536690453670999705,9257,1536690453670730659,map,-17.7365555392,-8.07927580952,0.0,0.0,0.0,0.0
1536690453846620788,9258,1536690453846372349,map,-17.5611361229,-9.31777323579,0.0,0.0,0.0,0.0
1536690454063112877,9259,1536690454062640190,map,-17.3136973702,-10.5600323567,0.0,0.0,0.0,0.0
1536690454244454965,9260,1536690454244159711,map,-17.0183681227,-11.8016628676,0.0,0.0,0.0,0.0
1536690454472831128,9261,1536690454470224184,map,-16.7864650107,-12.6678921864,0.0,0.0,0.0,0.0
1536690454672398272,9262,1536690454672045965,map,-16.6875374751,-13.6829270632,0.0,0.0,0.0,0.0
1536690454864106410,9263,1536690454860905248,map,-16.4251070998,-14.4399708019,0.0,0.0,0.0,0.0
1536690455044026087,9264,1536690455043321729,map,-16.2096515704,-15.0365985505,0.0,0.0,0.0,0.0
1536690455267176459,9265,1536690455266879957,map,-16.0221931497,-15.5537206697,0.0,0.0,0.0,0.0
1536690455481495732,9266,1536690455480941896,map,-15.9698172473,-16.0760858759,0.0,0.0,0.0,0.0
1536690455694147162,9267,1536690455693742409,map,-15.8956520788,-16.5122574166,0.0,0.0,0.0,0.0
1536690455849215818,9268,1536690455848537699,map,-16.0540054191,-16.7760934071,0.0,0.0,0.0,0.0
1536690456097363445,9269,1536690456097082111,map,-16.3196077316,-16.9230760646,0.0,0.0,0.0,0.0
1536690456285990224,9270,1536690456284936151,map,-16.6728279846,-16.8013602722,0.0,0.0,0.0,0.0
1536690456488278485,9271,1536690456484888658,map,-17.1419078347,-16.5248629581,0.0,0.0,0.0,0.0
1536690456701665696,9272,1536690456701440201,map,-17.404072386,-16.1163477371,0.0,0.0,0.0,0.0
1536690456848133773,9273,1536690456847834456,map,-17.8983852649,-15.580779984,0.0,0.0,0.0,0.0
1536690457075081861,9274,1536690457074652500,map,-18.4728751267,-14.8313514069,0.0,0.0,0.0,0.0
1536690457242033791,9275,1536690457240488184,map,-18.9779932815,-13.808572374,0.0,0.0,0.0,0.0
1536690457463409700,9276,1536690457462818778,map,-19.8983911324,-12.8925610467,0.0,0.0,0.0,0.0
1536690457686068890,9277,1536690457685761317,map,-20.2383610116,-11.8453047053,0.0,0.0,0.0,0.0
1536690457920078861,9278,1536690457919226093,map,-20.927445467,-10.5803840302,0.0,0.0,0.0,0.0
1536690458077990868,9279,1536690458077296686,map,-21.5357994103,-9.20357233676,0.0,0.0,0.0,0.0
1536690458250704122,9280,1536690458250244203,map,-22.1529085051,-7.53715097129,0.0,0.0,0.0,0.0
1536690458449426882,9281,1536690458449017361,map,-22.8538578526,-5.76594148893,0.0,0.0,0.0,0.0
1536690458668682549,9282,1536690458668176136,map,-23.265976703,-4.13173426756,0.0,0.0,0.0,0.0
1536690458856184730,9283,1536690458855502291,map,-23.5951069554,-2.11826055168,0.0,0.0,0.0,0.0
1536690459081798467,9284,1536690459081122460,map,-23.80980816,0.0955792091284,0.0,0.0,0.0,0.0
1536690459250576666,9285,1536690459249763256,map,-23.8567897627,2.221527001,0.0,0.0,0.0,0.0
1536690459456329951,9286,1536690459453710623,map,-23.4667322666,4.08715998297,0.0,0.0,0.0,0.0
1536690459659508482,9287,1536690459659134032,map,-23.1577852265,5.95021708871,0.0,0.0,0.0,0.0
