%time,field.data
1536690450586457330,85.446
1536690450805018111,85.723
1536690451041722064,86.06
1536690451330791511,86.535
1536690451556227911,86.765
1536690451819018806,86.69
1536690452060162147,86.251
1536690452312471861,85.216
1536690452610469748,83.716
1536690452785752059,82.473
1536690453049164211,80.768
1536690453309578107,79.069
1536690453542585043,77.531
1536690453842456845,75.255
1536690454038666065,73.687
1536690454268115245,71.776
1536690454523216376,69.86
1536690454742899835,68.113
1536690455024013224,65.87
1536690455241269221,64.08
1536690455502876384,61.864
1536690455752387033,60.208
1536690455990891783,58.472
1536690456273169801,56.883
1536690456499539862,55.801
1536690456786261844,54.309
1536690456992438633,53.279
1536690457252161034,51.925
1536690457510517373,50.675
1536690457755029133,49.53
1536690458018007830,48.37
1536690458235696835,47.476
1536690458454244464,46.828
1536690458749889318,46.068
1536690458945884818,45.76
1536690459188005403,45.622
1536690459419992281,45.623
1536690459650308277,45.766
1536690459908763204,46.024
1536690460142126896,46.327
1536690460389084935,46.677
1536690460639772052,47.161
1536690460902928342,47.796
1536690461090993446,48.333
1536690461363989758,49.075
1536690461554222014,49.65
1536690461861069207,50.586
1536690462044076674,51.132
1536690462341400153,52.041
1536690462552517528,52.712
1536690462860217393,53.628
1536690463057280662,54.254
1536690463349921914,55.161
1536690463549566624,55.759
1536690463808210280,56.414
1536690464054464473,56.909
1536690464308837119,57.198
1536690464553859421,57.465
1536690464792061718,57.57
1536690465055890751,57.56
1536690465295399113,57.355
1536690465565899484,56.957
1536690465790900924,56.519
1536690466046469845,55.877
1536690466296075147,55.222
1536690466517839650,54.565
1536690466762154234,53.775
1536690467009158607,53.098
1536690467250559826,52.576
1536690467507636756,52.174
1536690467766969411,51.824
1536690468055422466,51.695
1536690468285033175,51.621
1536690468509621254,51.489
1536690468741060857,51.357
1536690469047669370,51.289
1536690469256527340,51.291
1536690469476516005,51.334
1536690469720938521,51.326
1536690469927221706,51.245
1536690470154543828,51.101
1536690470424143113,50.895
1536690470678782245,50.664
1536690470901726416,50.387
1536690471151904912,50.171
1536690471405130944,50.012
1536690471690366901,49.925
1536690471904460134,49.832
1536690472152305085,49.689
1536690472397494965,49.51
1536690472604958074,49.277
1536690472870209871,49.091
1536690473107531561,48.953
1536690473366369994,48.799
1536690473604000984,48.56
1536690473853560879,48.351
1536690474085256216,48.182
1536690474340308421,48.096
1536690474626012457,48.081
1536690474846076446,48.149
1536690475090533553,48.361
1536690475348928963,48.779
1536690475617253958,49.379
1536690475911666793,50.156
1536690476107971402,50.682
1536690476355090331,51.276
1536690476593373649,51.781
1536690476819722207,52.275
1536690477048260380,52.678
1536690477305451610,53.027
1536690477552587242,53.241
1536690477773379269,53.322
1536690478062481675,53.249
1536690478326979900,52.984
1536690478503231839,52.706
1536690478772294280,52.286
1536690478986376442,51.89
1536690479242672409,51.447
1536690479532205551,50.939
1536690479744958066,50.636
1536690480005976099,50.312
1536690480250953347,50.114
1536690480503986234,50.141
1536690480744495198,50.183
1536690481000808348,50.149
1536690481249231613,50.007
1536690481507001861,49.752
1536690481763400672,49.448
1536690482026502341,49.116
1536690482273352575,48.838
1536690482498529336,48.71
1536690482763910825,48.723
1536690483019934609,48.872
1536690483242205782,49.09
1536690483505560560,49.316
1536690483762203938,49.514
1536690484005646779,49.691
1536690484206282268,49.839
1536690484472243191,50.032
1536690484712504356,50.131
1536690484944924083,50.165
1536690485199689706,50.192
1536690485381895378,50.22
1536690485650003358,50.212
1536690485907265369,50.13
1536690486150242722,50.068
1536690486398854332,50.106
1536690486641301721,50.203
1536690486926634570,50.164
1536690487166021944,49.984
1536690487407565302,49.83
1536690487653611087,49.785
1536690487884043046,49.81
1536690488099044598,49.814
1536690488367307228,49.731
1536690488609246700,49.631
1536690488858444432,49.594
1536690489086243977,49.616
1536690489343431047,49.677
1536690489592698344,49.737
1536690489845528487,49.759
1536690490066309922,49.707
1536690490284172297,49.666
1536690490512497998,49.689
1536690490755914215,49.734
1536690491004084145,49.762
1536690491264592277,49.802
1536690491466541478,49.849
1536690491734696464,49.881
1536690491962838651,49.912
1536690492244206207,49.93
1536690492457067614,49.943
1536690492729074042,50.039
1536690492949147535,50.145
1536690493246348107,50.254
1536690493447839756,50.327
1536690493710374469,50.331
1536690493958219420,50.254
1536690494202868135,50.128
1536690494486813708,49.963
1536690494701544870,49.733
1536690494945772929,49.425
1536690495202576109,49.013
1536690495452813771,48.665
1536690495687039543,48.312
1536690495929059076,48.032
1536690496149830815,47.816
1536690496452645100,47.605
1536690496689507895,47.505
1536690496968602862,47.539
1536690497139745614,47.64
1536690497398209853,47.894
1536690497663748071,48.344
1536690497908713063,48.853
1536690498138890664,49.316
1536690498398927933,49.922
1536690498635126912,50.567
1536690498914212504,51.362
1536690499135074704,51.982
1536690499412113234,52.703
1536690499644404677,53.205
1536690499961654783,53.819
1536690500149780269,54.045
1536690500396923165,54.174
1536690500651806064,54.099
1536690500916796334,53.843
1536690501216427153,53.49
1536690501394368534,53.251
1536690501656882064,52.818
1536690501904869057,52.268
1536690502145478913,51.632
1536690502388939641,51.024
1536690502617793835,50.346
1536690502844252437,49.735
1536690503090040438,49.089
1536690503341093142,48.658
1536690503596097061,48.477
1536690503851052501,48.417
1536690504105067592,48.358
1536690504392622823,48.257
1536690504602120322,48.141
1536690504878262918,47.919
1536690505107410349,47.685
1536690505349638418,47.487
1536690505627962661,47.425
1536690505839050981,47.317
1536690506088531071,47.067
1536690506346874194,46.71
1536690506562172599,46.318
1536690506819048001,45.854
1536690507069553845,45.478
1536690507298132369,45.202
1536690507562231792,44.916
1536690507802973484,44.609
1536690508063721319,44.34
1536690508312035756,44.032
1536690508542719354,43.732
1536690508802402012,43.364
1536690509047235425,42.977
1536690509298685490,42.463
1536690509531319449,41.917
1536690509791961336,41.14
1536690510010900375,40.39
1536690510270248901,39.427
1536690510499207187,38.585
1536690510745828150,37.547
1536690511004567227,36.55
1536690511269970346,35.354
1536690511483093247,34.508
1536690511732847663,33.445
1536690511955789947,32.501
1536690512234343494,31.512
1536690512496410864,30.631
1536690512739172577,29.738
