%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1536690450463966290,4946,1536690450462788030,NED,-0.389999985695,-361.223999023,-37.3190422058,7
1536690450508529129,4947,1536690450507535918,NED,-0.389999985695,-361.223999023,-37.3190422058,7
1536690450546954209,4948,1536690450545302206,NED,-0.539999961853,-382.258422852,-35.3221626282,9
1536690450618103013,4949,1536690450617572792,NED,-0.539999961853,-382.258422852,-35.3221626282,9
1536690450655921299,4950,1536690450654569925,NED,-0.680000007153,-382.258422852,-78.4018630981,11
1536690450671693998,4951,1536690450670664116,NED,-0.680000007153,-382.258422852,-78.4018630981,11
1536690450746721091,4952,1536690450746144088,NED,-0.819999992847,-292.840759277,-78.535446167,13
1536690450799464492,4953,1536690450799102521,NED,-0.819999992847,-292.840759277,-78.535446167,13
1536690450855784081,4954,1536690450854768631,NED,-0.949999988079,-292.840759277,-78.7024230957,15
1536690450889863114,4955,1536690450889253888,NED,-0.949999988079,-292.840759277,-78.7024230957,15
1536690450955991142,4956,1536690450954801202,NED,-1.09000003338,-275.318328857,-78.9027938843,17
1536690450971502122,4957,1536690450970407123,NED,-1.09000003338,-275.318328857,-78.9027938843,17
1536690451035965636,4958,1536690451034774544,NED,-1.09000003338,-275.318328857,-78.9027938843,17
1536690451135524528,4959,1536690451134334012,NED,-1.24000000954,-275.318328857,-79.1143035889,18
1536690451203202611,4960,1536690451200088966,NED,-1.38999998569,-252.739532471,-79.3146743774,20
1536690451229595303,4961,1536690451228175227,NED,-1.38999998569,-252.739532471,-79.3146743774,20
1536690451286189314,4962,1536690451285674133,NED,-1.54999995232,-252.739532471,-79.5039215088,22
1536690451367303798,4963,1536690451366616464,NED,-1.70999991894,-237.261581421,-79.6375045776,24
1536690451449247532,4964,1536690451448656033,NED,-1.70999991894,-237.261581421,-79.6375045776,24
1536690451478576851,4965,1536690451476753238,NED,-1.84999990463,-237.261581421,-79.7710876465,26
1536690451550229412,4966,1536690451549155755,NED,-1.93999993801,-204.672622681,-79.8378753662,28
1536690451596676277,4967,1536690451594232911,NED,-1.93999993801,-204.672622681,-79.8378753662,28
1536690451662272900,4968,1536690451659484267,NED,-1.97999989986,-204.672622681,-79.8935317993,30
1536690451674792151,4969,1536690451673121109,NED,-1.97999989986,-204.672622681,-79.8935317993,30
1536690451752133366,4970,1536690451743148225,NED,-1.92999994755,-179.801757812,-79.915802002,32
1536690451812015064,4971,1536690451806542594,NED,-1.92999994755,-179.801757812,-79.915802002,32
1536690451836525457,4972,1536690451833490305,NED,-1.92999994755,-179.801757812,-79.915802002,32
1536690451891791678,4973,1536690451890778691,NED,-1.81999993324,-179.801757812,-79.9380645752,33
1536690451943679270,4974,1536690451942408469,NED,-1.63999998569,-150.410842896,-79.9046707153,35
1536690451999423457,4975,1536690451997883130,NED,-1.63999998569,-150.410842896,-79.9046707153,35
1536690452047841385,4976,1536690452046064107,NED,-1.63999998569,-150.410842896,-79.9046707153,35
1536690452114344567,4977,1536690452112769809,NED,-1.42999994755,-150.410842896,-79.8712692261,37
1536690452149398604,4978,1536690452144303528,NED,-1.12000000477,-99.9898910522,-79.7933502197,39
1536690452204118348,4979,1536690452201133882,NED,-1.12000000477,-99.9898910522,-79.7933502197,39
1536690452242264111,4980,1536690452241032893,NED,-1.12000000477,-99.9898910522,-79.7933502197,39
1536690452268974871,4981,1536690452268402604,NED,-0.759999990463,-99.9898910522,-79.7265548706,41
1536690452334225940,4982,1536690452331309151,NED,-0.759999990463,-99.9898910522,-79.7265548706,41
1536690452365452373,4983,1536690452365035173,NED,-0.299999982119,-64.5652770996,-79.626373291,42
1536690452452544685,4984,1536690452450505592,NED,0.209999993443,-64.5652770996,-79.5039215088,44
1536690452491104705,4985,1536690452490257824,NED,0.209999993443,-64.5652770996,-79.5039215088,44
1536690452603414424,4986,1536690452597379094,NED,0.759999990463,-41.820526123,-79.3146743774,46
1536690452678997783,4987,1536690452678265106,NED,1.33999991417,-41.820526123,-79.1031723022,48
1536690452750990683,4988,1536690452749197533,NED,1.95999991894,-29.4296264648,-78.8248748779,50
1536690452767198374,4989,1536690452766496416,NED,1.95999991894,-29.4296264648,-78.8248748779,50
1536690452858764697,4990,1536690452855595982,NED,2.6099998951,-29.4296264648,-78.5131835938,51
1536690452889740164,4991,1536690452888905795,NED,2.6099998951,-29.4296264648,-78.5131835938,51
1536690452943759070,4992,1536690452942888734,NED,3.26999998093,-32.2904586792,-78.1124343872,53
1536690452995277429,4993,1536690452992438781,NED,3.26999998093,-32.2904586792,-78.1124343872,53
1536690453031120268,4994,1536690453028333907,NED,3.26999998093,-32.2904586792,-78.1124343872,53
1536690453079151779,4995,1536690453076225423,NED,3.92999982834,-32.2904586792,-77.6671600342,55
1536690453190058349,4996,1536690453188864633,NED,4.56999969482,-41.0997390747,-77.1216964722,57
1536690453252069569,4997,1536690453251060550,NED,5.21999979019,-41.0997390747,-76.5317077637,58
1536690453280367183,4998,1536690453273663110,NED,5.21999979019,-41.0997390747,-76.5317077637,58
1536690453327043863,4999,1536690453326403375,NED,5.21999979019,-41.0997390747,-76.5317077637,58
1536690453364564497,5000,1536690453363706929,NED,5.88999986649,-25.4711151123,-75.8303985596,60
1536690453434259466,5001,1536690453433506021,NED,5.88999986649,-25.4711151123,-75.8303985596,60
1536690453494193322,5002,1536690453492856795,NED,6.57999992371,-25.4711151123,-75.084564209,62
1536690453534691638,5003,1536690453533841109,NED,6.57999992371,-25.4711151123,-75.084564209,62
1536690453566878740,5004,1536690453566503202,NED,7.28999996185,-41.658782959,-74.2385406494,64
1536690453644449227,5005,1536690453643760804,NED,8.02999973297,-41.658782959,-73.3591156006,66
1536690453672175662,5006,1536690453671757341,NED,8.02999973297,-41.658782959,-73.3591156006,66
1536690453761736938,5007,1536690453760988646,NED,8.78999996185,-45.3353881836,-72.3683776855,68
1536690453814905604,5008,1536690453811470594,NED,8.78999996185,-45.3353881836,-72.3683776855,68
1536690453850758811,5009,1536690453849197685,NED,9.56999969482,-45.3353881836,-71.3553771973,69
1536690453879661746,5010,1536690453878607481,NED,9.56999969482,-45.3353881836,-71.3553771973,69
1536690453934622538,5011,1536690453932626067,NED,9.56999969482,-45.3353881836,-71.3553771973,69
1536690453960728328,5012,1536690453959960740,NED,10.3499994278,-67.3336029053,-70.2421951294,71
1536690454033441938,5013,1536690454033034305,NED,10.3499994278,-67.3336029053,-70.2421951294,71
1536690454064776015,5014,1536690454064138823,NED,11.1399993896,-67.3336029053,-69.0956039429,73
1536690454148182479,5015,1536690454147213843,NED,11.9299993515,-127.536201477,-67.8599700928,75
1536690454215351141,5016,1536690454214167760,NED,11.9299993515,-127.536201477,-67.8599700928,75
1536690454247749915,5017,1536690454247265165,NED,12.7299995422,-127.536201477,-66.6131973267,77
1536690454311558573,5018,1536690454310364057,NED,12.7299995422,-127.536201477,-66.6131973267,77
1536690454378979737,5019,1536690454377699624,NED,13.529999733,-155.348388672,-65.2773742676,79
1536690454443972799,5020,1536690454440074318,NED,13.529999733,-155.348388672,-65.2773742676,79
1536690454477986554,5021,1536690454471279921,NED,14.3199996948,-155.348388672,-63.9192810059,80
1536690454518664927,5022,1536690454518114004,NED,14.3199996948,-155.348388672,-63.9192810059,80
1536690454583725923,5023,1536690454580287489,NED,15.1199998856,-177.248565674,-62.4944000244,82
1536690454607560373,5024,1536690454604993139,NED,15.1199998856,-177.248565674,-62.4944000244,82
1536690454674679660,5025,1536690454673665458,NED,15.9200000763,-177.248565674,-61.0583877563,84
1536690454734335159,5026,1536690454733124323,NED,15.9200000763,-177.248565674,-61.0583877563,84
1536690454845668146,5027,1536690454844676758,NED,16.7099990845,-223.364074707,-59.5555839539,86
1536690454874414159,5028,1536690454873318167,NED,17.5,-223.364074707,-58.04164505,88
1536690454927942907,5029,1536690454926843267,NED,17.5,-223.364074707,-58.04164505,88
1536690454986391730,5030,1536690454985813287,NED,18.3099994659,-245.558547974,-56.4720497131,90
1536690455047187730,5031,1536690455044901158,NED,19.1199989319,-245.558547974,-54.9135856628,92
1536690455105126524,5032,1536690455104532466,NED,19.1199989319,-245.558547974,-54.9135856628,92
1536690455171429138,5033,1536690455167920339,NED,19.9399986267,-275.27142334,-53.2994613647,94
1536690455237627563,5034,1536690455235468347,NED,19.9399986267,-275.27142334,-53.2994613647,94
1536690455270666058,5035,1536690455268212100,NED,20.7399997711,-275.27142334,-51.6853408813,96
1536690455350097468,5036,1536690455348942566,NED,21.5499992371,-292.606933594,-50.0266876221,98
1536690455365640031,5037,1536690455365090196,NED,21.5499992371,-292.606933594,-50.0266876221,98
1536690455448113409,5038,1536690455445965136,NED,21.5499992371,-292.606933594,-50.0266876221,98
1536690455483928634,5039,1536690455481996513,NED,22.3299999237,-292.606933594,-48.3680381775,100
1536690455549344272,5040,1536690455547345594,NED,23.1199989319,-321.714416504,-46.6648597717,102
1536690455646303197,5041,1536690455644854354,NED,23.1199989319,-321.714416504,-46.6648597717,102
1536690455696895669,5042,1536690455695170772,NED,23.8799991608,-321.714416504,-44.9728126526,104
1536690455748339342,5043,1536690455747818369,NED,23.8799991608,-321.714416504,-44.9728126526,104
1536690455770512541,5044,1536690455764095018,NED,24.6199989319,-344.368347168,-43.2473716736,106
1536690455851881640,5045,1536690455849527262,NED,25.3199996948,-344.368347168,-41.5330619812,108
1536690455876793330,5046,1536690455872943744,NED,25.3199996948,-344.368347168,-41.5330619812,108
1536690455925341334,5047,1536690455924442839,NED,25.3199996948,-344.368347168,-41.5330619812,108
1536690455972490445,5048,1536690455970837162,NED,25.9699993134,-373.088439941,-39.8151321411,110
