%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1536690450412158759,4838,1536690450411390115,NED,5,-12.0904054642,-10.4796037674,-1.480647579e-15,1.17564082146,-20.105632782,-1.28893911839
1536690450465143431,4839,1536690450464402178,NED,5,-12.0904054642,-10.4796037674,-1.480647579e-15,1.23769330978,-20.1278419495,-1.32488012314
1536690450512925287,4840,1536690450509983155,NED,5,-12.0904054642,-10.4796037674,-1.480647579e-15,1.27914178371,-20.127910614,-1.32234477997
1536690450549196495,4841,1536690450548496041,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.36368906498,-20.0988426208,-1.32627344131
1536690450619010467,4842,1536690450618641489,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.49242711067,-20.0420036316,-1.3803447485
1536690450657655124,4843,1536690450656950990,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.59323048592,-20.0005893707,-1.3931978941
1536690450673396464,4844,1536690450672748744,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.66044402122,-19.9717597961,-1.40805900097
1536690450748867220,4845,1536690450747895063,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.88752949238,-19.8569583893,-1.33735239506
1536690450801231563,4846,1536690450800803034,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.00543928146,-19.7990055084,-1.2914056778
1536690450857541936,4847,1536690450856908520,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.16480731964,-19.7028598785,-1.26069235802
1536690450892019578,4848,1536690450891633832,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.246707201,-19.6427459717,-1.25268745422
1536690450957283126,4849,1536690450956848806,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.3158698082,-19.5569515228,-1.2418692112
1536690450972761660,4850,1536690450972287245,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.33264422417,-19.5334358215,-1.23270332813
1536690451038850969,4851,1536690451038158163,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.33418273926,-19.4564857483,-1.22265613079
1536690451144025655,4852,1536690451143274899,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.25350761414,-19.337556839,-1.25406730175
1536690451203238482,4853,1536690451202580298,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.15903997421,-19.2759933472,-1.26272416115
1536690451231017555,4854,1536690451230417929,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,2.07890486717,-19.2390060425,-1.27064943314
1536690451288421296,4855,1536690451288065277,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.98212993145,-19.1972885132,-1.23011350632
1536690451370080752,4856,1536690451369315436,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.73664820194,-19.0938110352,-0.949773311615
1536690451451789742,4857,1536690451451182404,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.59098410606,-19.0330448151,-0.669109046459
1536690451479341143,4858,1536690451479129535,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.46665799618,-18.9906578064,-0.52256321907
1536690451552103743,4859,1536690451551386233,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.2770383358,-18.9279212952,-0.220697343349
1536690451599651559,4860,1536690451598245691,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.15459287167,-18.8604450226,0.173131674528
1536690451662325187,4861,1536690451661967984,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,1.06795752048,-18.7792510986,0.635231137276
1536690451685816033,4862,1536690451685532588,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.999926567078,-18.7267608643,0.935654819012
1536690451752193460,4863,1536690451745424429,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.880332767963,-18.6565666199,1.34229445457
1536690451813317224,4864,1536690451807084526,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.777763545513,-18.6210689545,1.56436944008
1536690451836611598,4865,1536690451833905330,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.655640780926,-18.5947246552,1.74188446999
1536690451894156135,4866,1536690451893655673,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.422910541296,-18.5633888245,1.96462762356
1536690451947320160,4867,1536690451946356036,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.225489452481,-18.5223770142,2.25027418137
1536690452004777852,4868,1536690452003157303,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.123785495758,-18.4812030792,2.50511908531
1536690452051808791,4869,1536690452050834107,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,0.0543260797858,-18.4289245605,2.81401276588
1536690452117729947,4870,1536690452115682470,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.0638560801744,-18.3129138947,3.46629142761
1536690452149496905,4871,1536690452146150116,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.12898786366,-18.2578353882,3.78946137428
1536690452207044929,4872,1536690452205691283,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.208725094795,-18.2051544189,4.09519481659
1536690452245148421,4873,1536690452244520476,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.327972859144,-18.1634864807,4.37043428421
1536690452271409054,4874,1536690452270382691,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.470260798931,-18.1270389557,4.61227655411
1536690452334351247,4875,1536690452333471599,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.68625754118,-18.0817070007,4.93015193939
1536690452366912096,4876,1536690452366311542,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-0.855427742004,-18.0582180023,5.13366127014
1536690452453526729,4877,1536690452452678152,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-1.11422169209,-18.0293292999,5.40292835236
1536690452493291440,4878,1536690452492488942,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-1.38804876804,-18.0047206879,5.65306472778
1536690452606013912,4879,1536690452605320465,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-1.84440338612,-17.9660167694,6.06426668167
1536690452682998596,4880,1536690452682097349,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-2.18837141991,-17.923122406,6.42871952057
1536690452753339077,4881,1536690452752353897,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-2.5760781765,-17.9018135071,6.68762731552
1536690452772017493,4882,1536690452768928295,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-2.6861166954,-17.9013252258,6.74283266068
1536690452874614449,4883,1536690452874168226,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-3.29730772972,-17.9237060547,6.86239099503
1536690452963431466,4884,1536690452962839327,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-4.00337791443,-17.9646816254,6.86078882217
1536690453032066185,4885,1536690453030560897,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-4.45748138428,-17.9823493958,6.83659362793
1536690453079210945,4886,1536690453076944724,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-4.74683570862,-17.9884109497,6.82465028763
1536690453191159173,4887,1536690453190634584,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-5.43973445892,-17.9610557556,6.89241170883
1536690453254930264,4888,1536690453253284564,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-5.84176111221,-17.9306335449,6.94010210037
1536690453280779839,4889,1536690453280399149,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-6.0922498703,-17.8946037292,7.02434968948
1536690453329713173,4890,1536690453329372353,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-6.47615814209,-17.834487915,7.15236949921
1536690453365571596,4891,1536690453365208121,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-6.73261070251,-17.7927265167,7.22644138336
1536690453439928985,4892,1536690453438827265,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-7.12466001511,-17.7096328735,7.35527420044
1536690453500750904,4893,1536690453500251563,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-7.5550365448,-17.6285400391,7.45402097702
1536690453540259657,4894,1536690453539158226,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-7.82365655899,-17.5738277435,7.52131891251
1536690453569184863,4895,1536690453567730805,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-8.09210777283,-17.5157775879,7.59837675095
1536690453646017777,4896,1536690453645385224,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-8.58436107635,-17.4077548981,7.73898601532
1536690453708700492,4897,1536690453707795245,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-8.97894477844,-17.3211212158,7.83393526077
1536690453767514614,4898,1536690453766619383,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-9.23978710175,-17.2672576904,7.86836528778
1536690453814962530,4899,1536690453814725067,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-9.58843326569,-17.1842765808,7.94371604919
1536690453853207393,4900,1536690453851635611,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-9.85629367828,-17.1266269684,7.96195697784
1536690453882956057,4901,1536690453880529938,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-9.99034881592,-17.098690033,7.96653985977
1536690453934835554,4902,1536690453933662509,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-10.3730201721,-17.0150547028,7.97140836716
1536690453964909902,4903,1536690453964008911,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-10.4924793243,-16.9832725525,7.98124980927
1536690454036853492,4904,1536690454036444003,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-10.985868454,-16.8551940918,7.99045181274
1536690454096118957,4905,1536690454095059060,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-11.3399868011,-16.7695426941,8.00043964386
1536690454166363729,4906,1536690454166069500,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-11.6346960068,-16.6780967712,8.07542610168
1536690454235205865,4907,1536690454234647486,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-12.0159578323,-16.5762424469,8.10865211487
1536690454249799088,4908,1536690454249347456,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-12.1163425446,-16.5555381775,8.11460876465
1536690454316260895,4909,1536690454314278152,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-12.4360256195,-16.4883575439,8.10039329529
1536690454397755141,4910,1536690454397070271,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-12.8347034454,-16.4238510132,8.02396392822
1536690454444031485,4911,1536690454440466464,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-13.0176086426,-16.3912296295,7.99002599716
1536690454478110165,4912,1536690454476731784,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-13.0176086426,-16.3912296295,7.99002599716
1536690454521575668,4913,1536690454521372476,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-13.3993387222,-16.3123054504,7.95658493042
1536690454586657527,4914,1536690454586149546,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-13.6445417404,-16.2601909637,7.92694377899
1536690454609461423,4915,1536690454608348696,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-13.8057928085,-16.2163925171,7.92645406723
1536690454677026294,4916,1536690454676612357,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-14.0525178909,-16.1515140533,7.92360639572
1536690454741225913,4917,1536690454738480894,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-14.306974411,-16.0955448151,7.88725328445
1536690454849392296,4918,1536690454848299633,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-14.6154966354,-16.0137290955,7.90844917297
1536690454883890866,4919,1536690454883194795,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-14.7331581116,-15.9841327667,7.93204927444
1536690454931433658,4920,1536690454928746365,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-14.8973417282,-15.921254158,7.99455118179
1536690454988603840,4921,1536690454988145137,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-15.0651197433,-15.8549022675,8.03399276733
1536690455072850177,4922,1536690455072414801,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-15.3046264648,-15.7924919128,7.99007606506
1536690455173779739,4923,1536690455170527731,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-15.5949163437,-15.7412900925,7.87635183334
1536690455237723591,4924,1536690455236861991,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-15.742020607,-15.7101755142,7.82891607285
1536690455271173879,4925,1536690455270413619,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-15.8427705765,-15.688706398,7.80396556854
1536690455353158859,4926,1536690455352880117,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.0538291931,-15.6676683426,7.67097234726
1536690455369350007,4927,1536690455368684911,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.0998420715,-15.6670923233,7.64112234116
1536690455448300762,4928,1536690455447334526,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.2131252289,-15.6621704102,7.5733423233
1536690455484608097,4929,1536690455483412205,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.2857952118,-15.6578817368,7.54789209366
1536690455552425119,4930,1536690455551124815,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.4342193604,-15.6632995605,7.43916988373
1536690455649328781,4931,1536690455648818848,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.5304756165,-15.7252626419,7.24767160416
1536690455699706061,4932,1536690455698046667,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.6186237335,-15.7883996964,7.0328783989
1536690455751353087,4933,1536690455750866673,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.6561756134,-15.8465929031,6.88660860062
1536690455770503005,4934,1536690455765713742,NED,5,-3.00000010611e-06,-16.0,-3.67394031065e-22,-16.6789245605,-15.920416832,6.71544456482
1536690455852243354,4935,1536690455850627542,NED,5,0.004803000018,-15.9999990463,5.88197845528e-19,-16.7046585083,-16.0099906921,6.4984331131
1536690455876815953,4936,1536690455874579972,NED,5,0.004803000018,-15.9999990463,5.88197845528e-19,-16.7048053741,-16.0863132477,6.35837173462
1536690455928787255,4937,1536690455928338343,NED,5,0.004803000018,-15.9999990463,5.88197845528e-19,-16.7044715881,-16.1898021698,6.15268087387
1536690455972741412,4938,1536690455971660235,NED,5,0.004803000018,-15.9999990463,5.88197845528e-19,-16.6756725311,-16.2712879181,6.01391267776
1536690456034475298,4939,1536690456033201264,NED,5,0.004803000018,-15.9999990463,5.88197845528e-19,-16.627456665,-16.4023342133,5.76391649246
1536690456101039949,4940,1536690456099887288,NED,5,0.0924569964409,-15.9997329712,1.13227170583e-17,-16.5739784241,-16.5470104218,5.51224565506
1536690456144037982,4941,1536690456143643340,NED,5,0.0924569964409,-15.9997329712,1.13227170583e-17,-16.4987049103,-16.7030391693,5.23418951035
1536690456259278152,4942,1536690456254822701,NED,5,0.0924569964409,-15.9997329712,1.13227170583e-17,-16.3351402283,-16.9602279663,4.87478876114
1536690456293242469,4943,1536690456292905810,NED,5,0.0924569964409,-15.9997329712,1.13227170583e-17,-16.2690029144,-17.0410461426,4.77911615372
1536690456336320498,4944,1536690456335188764,NED,5,0.0924569964409,-15.9997329712,1.13227170583e-17,-16.1905670166,-17.1308956146,4.70717525482
1536690456387037702,4945,1536690456386655604,NED,5,0.262614995241,-15.997844696,3.21610601487e-17,-16.0669364929,-17.2661819458,4.59760951996
1536690456448096477,4946,1536690456447660973,NED,5,0.262614995241,-15.997844696,3.21610601487e-17,-15.983923912,-17.3447647095,4.54844760895
1536690456493172096,4947,1536690456490402759,NED,5,0.262614995241,-15.997844696,3.21610601487e-17,-15.8974199295,-17.4259338379,4.55407714844
1536690456536783194,4948,1536690456533864773,NED,5,0.262614995241,-15.997844696,3.21610601487e-17,-15.7621164322,-17.5431041718,4.56895065308
1536690456614228821,4949,1536690456613632075,NED,5,0.771854996681,-15.9813718796,9.45249726211e-17,-15.5496854782,-17.7385921478,4.54449367523
1536690456644071754,4950,1536690456642106674,NED,5,0.771854996681,-15.9813718796,9.45249726211e-17,-15.4921264648,-17.790063858,4.52303314209
1536690456739853601,4951,1536690456738808040,NED,5,0.771854996681,-15.9813718796,9.45249726211e-17,-15.1732730865,-18.0613269806,4.57232570648
1536690456812597834,4952,1536690456812079389,NED,5,0.771854996681,-15.9813718796,9.45249726211e-17,-14.8610248566,-18.3120288849,4.57475566864
1536690456853875769,4953,1536690456853386091,NED,5,1.31522798538,-15.945851326,1.61068979453e-16,-14.708108902,-18.4233322144,4.61362075806
1536690456895681525,4954,1536690456893769532,NED,5,1.31522798538,-15.945851326,1.61068979453e-16,-14.5624828339,-18.5230865479,4.65834236145
1536690456929938887,4955,1536690456928561146,NED,5,1.31522798538,-15.945851326,1.61068979453e-16,-14.4155731201,-18.6208381653,4.73109960556
1536690456970487762,4956,1536690456969450072,NED,5,1.31522798538,-15.945851326,1.61068979453e-16,-14.25,-18.7431774139,4.76298284531
1536690457053102286,4957,1536690457052430823,NED,5,1.31522798538,-15.945851326,1.61068979453e-16,-13.9869756699,-18.9226875305,4.8170671463
1536690457088726350,4958,1536690457086153613,NED,5,2.90842795372,-15.7334375381,3.56179710131e-16,-13.6789550781,-19.1518783569,4.78354597092
1536690457151453895,4959,1536690457148343834,NED,5,2.90842795372,-15.7334375381,3.56179710131e-16,-13.3587265015,-19.4113063812,4.67442274094
1536690457211661053,4960,1536690457210276912,NED,5,2.90842795372,-15.7334375381,3.56179710131e-16,-13.0215530396,-19.6693611145,4.562728405
1536690457250623650,4961,1536690457250253200,NED,5,2.90842795372,-15.7334375381,3.56179710131e-16,-12.7824754715,-19.8520431519,4.48120546341
1536690457291127214,4962,1536690457290629089,NED,5,2.90842795372,-15.7334375381,3.56179710131e-16,-12.5303430557,-20.031124115,4.37571001053
1536690457331229833,4963,1536690457330953651,NED,5,3.91119790077,-15.514591217,4.78983632085e-16,-12.2965984344,-20.2015228271,4.31137943268
1536690457389661984,4964,1536690457389275759,NED,5,3.91119790077,-15.514591217,4.78983632085e-16,-12.0082044601,-20.3595542908,4.35519552231
1536690457445820876,4965,1536690457445263520,NED,5,3.91119790077,-15.514591217,4.78983632085e-16,-11.8224487305,-20.4592418671,4.40330219269
1536690457486868068,4966,1536690457484927595,NED,5,3.91119790077,-15.514591217,4.78983632085e-16,-11.5249290466,-20.6187973022,4.45314502716
