%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1536690450435753602,5068,1536690450435386287,,0.0,20.1535625458,273,0.430000007153,432.489990234,0.226291209459
1536690450708138672,5069,1536690450707399979,,0.0,19.9962768555,276,0.419999986887,432.91998291,0.58230304718
1536690451151293931,5070,1536690451149114172,,0.0,19.4684200287,277,0.239999994636,433.519989014,4.57809019089
1536690451607674880,5071,1536690451606549353,,0.0,18.8674545288,279,0.070000000298,434.099975586,2.12017273903
1536690452010695874,5072,1536690452010237138,,0.0,18.4816169739,276,0.0299999993294,433.649993896,0.515689849854
1536690452336041457,5073,1536690452335328779,,0.0,18.0947246552,271,0.0399999991059,432.429992676,-2.74334144592
1536690452804220466,5074,1536690452802206045,,0.0,18.1405906677,265,0.0500000007451,429.779998779,-5.18112182617
1536690453202641214,5075,1536690453200401232,,0.0,18.7992668152,254,0.0399999991059,427.299987793,-7.55097913742
1536690453505515145,5076,1536690453504611338,,0.0,19.1792602539,247,0.0399999991059,425.119995117,-7.54346609116
1536690453973440916,5077,1536690453973009476,,0.0,19.9990386963,241,0.0299999993294,421.619995117,-7.29253435135
1536690454448225506,5078,1536690454447673719,,0.0,20.9315681458,236,0.0500000007451,417.959991455,-8.97804260254
1536690454889742746,5079,1536690454889485380,,0.0,21.7591590881,229,0.0900000035763,414.149993896,-9.09956359863
1536690455286092914,5080,1536690455285819548,,0.0,22.3257446289,227,0.140000000596,410.899993896,-9.55348014832
1536690455677972494,5081,1536690455675412844,,0.0,22.8851833344,227,0.189999997616,407.949981689,-8.53083705902
1536690455992708932,5082,1536690455991838628,,0.0,23.3190422058,225,0.209999993443,405.779998779,-9.48400783539
1536690456412104651,5083,1536690456411742040,,0.0,23.5847930908,225,0.230000004172,403.589996338,-5.6132941246
1536690456649402949,5084,1536690456649102896,,0.0,23.5943927765,228,0.239999994636,402.41998291,-6.90538644791
1536690457058277680,5085,1536690457057989018,,0.0,23.5279979706,232,0.280000001192,400.380004883,-5.03773355484
1536690457449359305,5086,1536690457446837958,,0.0,23.629447937,236,0.300000011921,398.359985352,-5.39438199997
1536690457928941159,5087,1536690457928625043,,0.0,23.6709823608,245,0.409999996424,396.109985352,-4.209441185
1536690458382137137,5088,1536690458381845851,,0.0,24.0317611694,254,0.569999992847,394.380004883,-4.79561090469
1536690458673216110,5089,1536690458672960024,,0.0,24.2701435089,263,0.620000004768,393.579986572,-5.46114253998
1536690459106512885,5090,1536690459106057638,,0.0,24.6577510834,274,0.680000007153,392.959991455,-3.23743653297
1536690459522609909,5091,1536690459522231811,,0.0,24.7729759216,285,0.72000002861,392.970001221,-0.433482825756
1536690459935544202,5092,1536690459934215291,,0.0,24.5193500519,297,0.740000009537,393.350006104,0.77177888155
1536690460281651868,5093,1536690460281284554,,0.0,24.252494812,306,0.75,393.799987793,2.71874284744
1536690460599715448,5094,1536690460599258856,,0.0,23.8821144104,315,0.75,394.350006104,1.81945109367
1536690460965088004,5095,1536690460964835022,,0.0,23.4172172546,325,0.730000019073,395.259979248,3.51631736755
1536690461402258556,5096,1536690461401972647,,0.0,22.7008666992,337,0.699999988079,396.5,4.38238143921
1536690461700162654,5097,1536690461699664241,,0.0,22.1455993652,345,0.680000007153,397.399993896,4.68009614944
1536690462144058847,5098,1536690462143481300,,0.0,21.490606308,356,0.670000016689,398.75,4.88812112808
1536690462600023970,5099,1536690462599713070,,0.0,20.8985595703,8,0.600000023842,400.149993896,5.8649725914
1536690462961536541,5100,1536690462961088174,,0.0,20.3908843994,14,0.509999990463,401.179992676,5.46246862411
1536690463450123087,5101,1536690463449783292,,0.0,19.5201873779,23,0.370000004768,402.779998779,4.84080648422
1536690463816524310,5102,1536690463816196226,,0.0,18.8625335693,25,0.310000002384,403.720001221,4.65668010712
1536690464166742993,5103,1536690464166326080,,0.0,18.3687057495,26,0.280000001192,404.319976807,2.67737150192
1536690464495234092,5104,1536690464494889529,,0.0,17.9590587616,26,0.259999990463,404.720001221,0.732339441776
1536690464948686061,5105,1536690464947999142,,0.0,17.562871933,24,0.259999990463,404.880004883,1.7585297823
1536690465345606511,5106,1536690465341726270,,0.0,17.3939552307,23,0.270000010729,404.619995117,-0.563069939613
1536690465749099232,5107,1536690465748911687,,0.0,17.3856773376,20,0.289999991655,403.959991455,-1.9239525795
1536690466188773403,5108,1536690466188437096,,0.0,17.5617389679,17,0.330000013113,402.859985352,-2.20324492455
1536690466583101406,5109,1536690466582816552,,0.0,17.864315033,11,0.370000004768,401.690002441,-3.35080528259
1536690467048798651,5110,1536690467045682637,,0.0,18.3570804596,5,0.419999986887,400.350006104,-3.46705031395
1536690467450531116,5111,1536690467446999694,,0.0,18.5953636169,2,0.439999997616,399.579986572,-3.42099189758
1536690467841515305,5112,1536690467840901248,,0.0,18.6235141754,359,0.449999988079,399.100006104,-2.25244784355
1536690468149583029,5113,1536690468149082823,,0.0,18.4295444489,357,0.439999997616,398.970001221,-0.967811942101
1536690468624275239,5114,1536690468623559137,,0.0,18.0653896332,357,0.449999988079,398.729980469,-0.982613742352
1536690469079734365,5115,1536690469078745601,,0.0,17.6750469208,355,0.449999988079,398.589996338,-0.87830811739
1536690469443213519,5116,1536690469442461099,,0.0,17.3345050812,357,0.449999988079,398.630004883,0.579032123089
1536690469862470203,5117,1536690469858652552,,0.0,17.0824642181,0,0.449999988079,398.600006104,0.0798569023609
1536690470231978512,5118,1536690470231567551,,0.0,16.9791812897,1,0.460000008345,398.359985352,-0.564267277718
1536690470691096447,5119,1536690470690690254,,0.0,16.9691009521,6,0.479999989271,397.929992676,-0.870673656464
1536690471098453185,5120,1536690471098018513,,0.0,17.0194950104,10,0.509999990463,397.509979248,-0.779257655144
1536690471550579954,5121,1536690471550174913,,0.0,17.0567493439,15,0.519999980927,397.279998779,-1.17770218849
1536690471866188936,5122,1536690471859998252,,0.0,17.1448974609,19,0.52999997139,397.16998291,0.0668762922287
1536690472292505968,5123,1536690472292118750,,0.0,17.3699054718,24,0.550000011921,396.91998291,-0.751464366913
1536690472506851896,5124,1536690472506578914,,0.0,17.5090675354,28,0.560000002384,396.699981689,-0.23781773448
1536690472904880690,5125,1536690472904612924,,0.0,17.8592967987,35,0.579999983311,396.369995117,-0.592703521252
1536690473310615856,5126,1536690473310373817,,0.0,18.2677230835,42,0.600000023842,396.16998291,-1.51547002792
1536690473743698206,5127,1536690473743105236,,0.0,18.8169136047,51,0.629999995232,395.759979248,-1.42467439175
1536690474254721814,5128,1536690474254123148,,0.0,19.4215488434,62,0.639999985695,395.41998291,0.177206233144
1536690474672596949,5129,1536690474672236130,,0.0,19.7648029327,72,0.629999995232,395.389984131,-0.815398097038
1536690475192105939,5130,1536690475191303729,,0.0,19.8170833588,84,0.600000023842,395.769989014,1.41420269012
1536690475534131676,5131,1536690475533801480,,0.0,19.449924469,89,0.560000002384,396.489990234,1.39001142979
1536690476059858998,5132,1536690476059381000,,0.0,18.6751441956,95,0.479999989271,397.779998779,3.69286036491
1536690476514718402,5133,1536690476514066746,,0.0,17.9283313751,97,0.430000007153,398.910003662,3.8156349659
1536690476851981371,5134,1536690476851558442,,0.0,17.4191646576,97,0.40000000596,399.619995117,2.47288751602
1536690477252508472,5135,1536690477247807813,,0.0,16.9326438904,96,0.379999995232,400.239990234,2.12629532814
1536690477628066030,5136,1536690477627115057,,0.0,16.5877037048,94,0.360000014305,400.579986572,2.59127879143
1536690478101186906,5137,1536690478100231997,,0.0,16.3621845245,93,0.370000004768,400.519989014,-0.135987997055
1536690478403700242,5138,1536690478403261378,,0.0,16.3691768646,91,0.379999995232,400.179992676,-1.50138711929
1536690478807872009,5139,1536690478807360092,,0.0,16.4894199371,88,0.409999996424,399.559997559,-1.61160039902
