%time,field.data
1536691717902463224,277.4
1536691718105816440,277.03
1536691718360891896,276.56
1536691718598605560,275.88
1536691718878304696,276.64
1536691719127539832,278.84
1536691719334879896,281.97
1536691719615308568,286.66
1536691719788449592,290.72
1536691720057997560,296.78
1536691720300224760,302.84
1536691720515117624,308.68
1536691720790491416,315.89
1536691720997479992,321.93
1536691721208831416,328.16
1536691721453260568,334.55
1536691721698124984,341.59
1536691721944911672,348.71
1536691722199490808,355.27
1536691722427925240,1.88
1536691722654276952,8.02
1536691722911847096,15.21
1536691723131879128,21.84
1536691723395828280,28.61
1536691723588511160,34.55
1536691723834319032,40.86
1536691724107860280,47.54
1536691724357424088,54.23
1536691724579369976,59.9
1536691724835070552,66.05
1536691725061493912,72.17
1536691725318461176,79.04
1536691725605887032,86.22
1536691725807694072,91.3
1536691726061114488,97.91
1536691726302146648,104.0
1536691726539797272,110.15
1536691726834186360,116.96
1536691727030524120,121.81
1536691727258288792,127.5
1536691727461509784,132.41
1536691727694792056,137.98
1536691727936160952,141.68
1536691728156121528,144.32
1536691728398102936,147.9
1536691728654536760,151.69
1536691728891100568,154.77
1536691729150690744,157.83
1536691729444714840,160.51
1536691729631258584,162.64
1536691729846274680,165.53
1536691730109873848,168.96
1536691730327291992,171.84
1536691730559171000,175.13
1536691730794047544,179.02
1536691731039638232,183.58
1536691731320390552,189.5
1536691731562014168,194.86
1536691731787873560,200.52
1536691732034167544,206.72
1536691732289710808,213.56
1536691732566180504,220.54
1536691732799947288,227.23
1536691733040955800,233.97
1536691733248311256,240.1
1536691733490989464,246.12
1536691733734590552,253.14
1536691733990461368,259.91
1536691734230773912,266.46
1536691734454112280,271.96
1536691734691401304,277.45
1536691734955156792,283.45
1536691735177316088,287.13
1536691735389912280,291.23
1536691735648178456,295.96
1536691735888139320,299.66
1536691736134316120,303.77
1536691736350157944,307.79
1536691736630902104,312.83
1536691736812208312,316.43
1536691737040901848,321.07
1536691737297081624,326.01
1536691737544206520,330.58
1536691737800229176,335.8
1536691738006047096,340.14
1536691738253907832,345.72
1536691738508907896,351.36
1536691738772150584,357.2
1536691739002725016,2.26
1536691739272191448,8.86
1536691739487159928,13.4
1536691739749525272,19.13
1536691739998163064,25.05
1536691740246528760,30.59
1536691740473335896,36.14
1536691740715215896,41.53
1536691740969552472,47.07
1536691741208151576,52.95
1536691741492065624,58.76
1536691741688830936,63.27
1536691741914729944,68.72
1536691742192314584,75.31
1536691742417663800,80.76
1536691742636541112,85.69
1536691742870681144,90.91
1536691743126547992,96.12
1536691743363706328,101.3
1536691743586707768,106.72
1536691743846531800,111.89
1536691744100577272,117.2
1536691744363278520,123.44
1536691744608295320,129.03
1536691744840166392,134.87
1536691745106463416,141.08
1536691745358516920,147.61
1536691745595943320,153.96
1536691745832639256,159.69
1536691746044936792,165.24
1536691746295938104,172.01
1536691746560235160,178.94
1536691746838919768,186.9
1536691747013859704,191.31
1536691747274816280,197.22
1536691747514656856,203.17
1536691747781323512,210.02
1536691748007521208,215.42
1536691748272232216,222.28
1536691748479253304,227.16
1536691748771613208,234.03
1536691748994352568,239.31
1536691749261110360,245.72
1536691749528070104,251.8
1536691749738865208,256.02
1536691749972072376,261.76
1536691750197919608,268.19
1536691750414573528,273.87
1536691750653358200,279.69
1536691750880809912,285.1
1536691751154118392,292.07
1536691751408239032,298.01
1536691751617205048,302.97
1536691751861131128,307.77
1536691752103266936,312.32
1536691752380352664,317.08
1536691752607073784,321.16
1536691752874182168,325.6
1536691753124383160,329.34
1536691753351444216,332.65
1536691753537184216,335.58
1536691753798351448,339.42
1536691754016351960,342.84
1536691754274124440,347.15
1536691754506822424,350.96
1536691754779533208,355.1
1536691755014893784,359.21
1536691755263264280,3.92
1536691755481219480,7.64
1536691755752535832,13.05
1536691755995133912,18.23
1536691756234081848,23.8
1536691756505372440,29.64
1536691756738285112,34.88
1536691756948311224,40.83
1536691757191448920,46.81
1536691757444523672,53.5
1536691757693447352,59.37
1536691757935627064,65.94
1536691758152768728,72.46
1536691758420125208,79.19
1536691758634507960,84.74
1536691758922058936,91.5
1536691759153569528,97.72
1536691759387403832,103.27
1536691759630570808,109.0
1536691759870200536,114.79
1536691760146988024,119.98
1536691760375201528,124.72
1536691760604223608,129.5
1536691760849433496,134.09
