%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1536691717865668216,1351,1536691717861806904,base_link,0.0223078962353,0.0158096294537,-0.997505765699,-0.0650742712604,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.209915474057,-0.0164986513555,0.0237818416208,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.00980665,0.5295591,10.3165958,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691718267119640,1352,1536691718266740504,base_link,0.00879865200066,-0.0114654164907,-0.998124609363,-0.0594843856109,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.648256719112,-0.0681782439351,0.0355644673109,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.57859235,0.38245935,11.20900095,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691718663150328,1353,1536691718662690904,base_link,-0.0112323198922,-0.130331885455,-0.990133956421,-0.0502213397541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.513216972351,-0.0641711875796,0.00126573326997,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.4903325,0.91201845,10.6500219,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691719083969944,1354,1536691719082990776,base_link,-0.0224320113931,-0.221095957653,-0.97247122336,-0.070093524026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4147990942,-0.0461380556226,-0.184856235981,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.5099458,0.75511205,10.48330885,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691719501963352,1355,1536691719500664664,base_link,-0.0369597110929,-0.296266117466,-0.946412662903,-0.123139915926,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.399470716715,-0.151774913073,-0.27450081706,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.6472389,0.7649187,10.1793027,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691719891437240,1356,1536691719890813624,base_link,-0.0693236831334,-0.345726146469,-0.917801810496,-0.182503411626,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.171776279807,-0.286345273256,-0.269716948271,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.97085835,0.8433719,12.05237285,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691720211487000,1357,1536691720211192312,base_link,-0.103229767892,-0.35545004122,-0.897307926464,-0.240494008914,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0578941777349,-0.324718177319,-0.301537424326,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.3140911,1.04931155,13.64105015,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691720487939672,1358,1536691720487614328,base_link,-0.130108877674,-0.354681632723,-0.877682954205,-0.294864801658,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0396534055471,-0.314111560583,-0.321904063225,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.50041745,1.0395049,13.09187775,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691720902331480,1359,1536691720902134296,base_link,-0.174247103612,-0.345551381701,-0.840873622019,-0.378369847214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0277546681464,-0.366693079472,-0.291063785553,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.53964405,1.18660465,13.85679645,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691721390650040,1360,1536691721390429976,base_link,-0.220405549769,-0.315790296092,-0.792814500774,-0.472380196333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0295426622033,-0.365468889475,-0.325507134199,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.6279039,1.06892485,14.5726819,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691721748991000,1361,1536691721748766840,base_link,-0.259821364379,-0.295061445638,-0.746199440621,-0.537231790503,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0104504190385,-0.362913578749,-0.283028244972,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.63771055,1.18660465,14.4550021,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691722122540952,1362,1536691722122273048,base_link,-0.291913524668,-0.271347813735,-0.694216089307,-0.5993503812,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0348664969206,-0.322220921516,-0.325449973345,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.65732385,1.02969825,13.89602305,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691722477833368,1363,1536691722476403096,base_link,-0.31466676924,-0.249311331952,-0.638017051533,-0.657086695992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0164304897189,-0.32031917572,-0.339701026678,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.22583125,1.22583125,13.07226445,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691722845337592,1364,1536691722845036184,base_link,-0.337383204872,-0.226116705226,-0.576060226282,-0.709364803457,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0241860188544,-0.332815974951,-0.329916864634,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.10815145,0.93163175,13.1605243,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536691723261212568,1365,1536691723260959928,base_link,-0.360324968608,-0.191254414621,-0.500809475689,-0.76339867366,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0526421070099,-0.346198171377,-0.316672831774,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.93163175,1.06892485,13.42530385,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
