%time,field.data
1536691713193239864,1
1536691713699023096,1
1536691714201954488,1
1536691714687551000,1
1536691715192600824,1
1536691715694717784,1
1536691716196519416,1
1536691716689015288,1
1536691717185250264,1
1536691717685236312,1
1536691718190976664,1
1536691718684436248,1
1536691719189579160,1
1536691719697884632,1
1536691720190507448,1
1536691720688142808,1
1536691721190864664,1
1536691721682011096,1
1536691722177450136,1
1536691722687382808,1
1536691723185150616,1
1536691723702938424,1
