%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1536691595311623064,3396,1536691595309188248,base_link,-857000.0,-137000.0,-1053000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595430524984,3397,1536691595429479832,base_link,387000.0,-174000.0,-1026000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595529419864,3398,1536691595528027352,base_link,-1461000.0,-159000.0,-1257000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595634192728,3399,1536691595632642712,base_link,-1656000.0,-170000.0,-899000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595735622968,3400,1536691595735011992,base_link,-2710000.0,-168000.0,-1129000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595820798072,3401,1536691595820044856,base_link,-1780000.0,-187000.0,249000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691595907287608,3402,1536691595906884408,base_link,-359000.0,-213000.0,-1006000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596023600280,3403,1536691596022662072,base_link,-614000.0,-206000.0,-916000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596123413656,3404,1536691596121440344,base_link,-507000.0,-206000.0,-858000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596216715576,3405,1536691596216156472,base_link,-424000.0,-204000.0,-808000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596359652664,3406,1536691596359077624,base_link,-330000.0,-201000.0,-745000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596406706136,3407,1536691596406291608,base_link,-268000.0,-198000.0,-697000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596526467096,3408,1536691596525941816,base_link,-187000.0,-191000.0,-655000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596604651672,3409,1536691596603667768,base_link,-131000.0,-179000.0,-625000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596725139448,3410,1536691596723068216,base_link,-66000.0,-171000.0,-591000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596835103640,3411,1536691596833999928,base_link,-8000.0,-164000.0,-554000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691596942466296,3412,1536691596940862584,base_link,31000.0,-154000.0,-535000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597033969240,3413,1536691597028251416,base_link,67000.0,-146000.0,-513000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597121224024,3414,1536691597120692504,base_link,99000.0,-140000.0,-497000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597239161368,3415,1536691597238603448,base_link,125000.0,-135000.0,-484000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597323608312,3416,1536691597322988600,base_link,139000.0,-127000.0,-476000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597412855448,3417,1536691597412126808,base_link,152000.0,-122000.0,-469000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597513746136,3418,1536691597513237432,base_link,165000.0,-118000.0,-463000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597627599448,3419,1536691597626900152,base_link,173000.0,-112000.0,-458000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597727500952,3420,1536691597726340120,base_link,179000.0,-103000.0,-457000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597827393912,3421,1536691597826820344,base_link,191000.0,-95000.0,-451000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691597923403096,3422,1536691597923006392,base_link,198000.0,-87000.0,-446000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598016788280,3423,1536691598015363928,base_link,204000.0,-78000.0,-445000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598160153656,3424,1536691598159799768,base_link,207000.0,-72000.0,-446000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598204948600,3425,1536691598203468408,base_link,210000.0,-63000.0,-441000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598321865048,3426,1536691598321464984,base_link,212000.0,-58000.0,-446000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598451037432,3427,1536691598450221528,base_link,215000.0,-51000.0,-441000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598526650456,3428,1536691598526002584,base_link,220000.0,-50000.0,-438000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598621743608,3429,1536691598620962296,base_link,219000.0,-53000.0,-439000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598743333912,3430,1536691598742340600,base_link,212000.0,-58000.0,-445000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598837058680,3431,1536691598836518840,base_link,207000.0,-62000.0,-445000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691598931946296,3432,1536691598931098488,base_link,192000.0,-67000.0,-458000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691599033398328,3433,1536691599032949048,base_link,142000.0,-64000.0,-489000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691599120779128,3434,1536691599119885272,base_link,77000.0,-61000.0,-543000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536691599227056568,3435,1536691599225035480,base_link,-19000.0,-53000.0,-611000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
