%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1536691595364243000,5078,1536691595363093848,NED,5,0.0,0.0,0.0,7.78547668457,-15.6073617935,0.179058670998
1536691595383427384,5079,1536691595382438616,NED,5,0.0,0.0,0.0,7.88269090652,-15.5375337601,0.223500669003
1536691595476259512,5080,1536691595473180120,NED,5,0.0,0.0,0.0,8.07527256012,-15.3914442062,0.303207397461
1536691595524057176,5081,1536691595522974104,NED,5,0.0,0.0,0.0,8.1848783493,-15.316824913,0.354108065367
1536691595544314136,5082,1536691595543821240,NED,5,0.0,0.0,0.0,8.23567581177,-15.2783193588,0.377761363983
1536691595567940152,5083,1536691595567021048,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.36264514923,-15.1967229843,0.408494621515
1536691595631950840,5084,1536691595631305208,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.55270004272,-15.0684299469,0.434740453959
1536691595669346776,5085,1536691595667819672,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.68531036377,-14.9737501144,0.449264317751
1536691595732423992,5086,1536691595730691704,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.81702327728,-14.8900842667,0.473639816046
1536691595763618136,5087,1536691595762713496,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.94237804413,-14.8062334061,0.512274563313
1536691595795357880,5088,1536691595794779864,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.08470916748,-14.7170372009,0.549913227558
1536691595873262296,5089,1536691595872499864,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.33253097534,-14.5471410751,0.632762730122
1536691595905623800,5090,1536691595905084888,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.45252323151,-14.4682350159,0.678975760937
1536691595995411096,5091,1536691595995048824,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.68825435638,-14.2979078293,0.772461175919
1536691596074350008,5092,1536691596073768376,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.89347267151,-14.1362295151,0.903950512409
1536691596090767256,5093,1536691596090152920,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.95160961151,-14.0917825699,0.941377818584
1536691596175866488,5094,1536691596175458840,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.142827034,-13.9322090149,1.08703315258
1536691596185915288,5095,1536691596185536152,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.1961669922,-13.8879451752,1.11699473858
1536691596278598456,5096,1536691596277525496,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.372171402,-13.7323074341,1.27912187576
1536691596302419800,5097,1536691596302046072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.4532194138,-13.6550340652,1.34930753708
1536691596395430680,5098,1536691596395050680,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.605547905,-13.4996099472,1.50170373917
1536691596447711064,5099,1536691596446082808,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.7032785416,-13.3961057663,1.64791584015
1536691596486629688,5100,1536691596486261560,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.7556657791,-13.3281497955,1.74610126019
1536691596552862328,5101,1536691596551715480,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.8499231339,-13.2260704041,1.90668308735
1536691596586707064,5102,1536691596586286008,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.8948974609,-13.1637020111,2.00159335136
1536691596650367640,5103,1536691596648113112,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.9569244385,-13.0955123901,2.11415028572
1536691596683322648,5104,1536691596682880376,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.0247592926,-13.0090503693,2.28796863556
1536691596725093336,5105,1536691596722610328,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.0440416336,-12.9803085327,2.34828686714
1536691596761405368,5106,1536691596760996920,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.1062498093,-12.9008703232,2.519541502
1536691596830674968,5107,1536691596830037624,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.1625270844,-12.8186950684,2.67868280411
1536691596886745912,5108,1536691596886210360,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.2329778671,-12.7322626114,2.83766341209
1536691596942589560,5109,1536691596939716312,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.2609634399,-12.6828460693,2.94982719421
1536691597001497816,5110,1536691597001079064,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.2943439484,-12.6197347641,3.13682460785
1536691597014920600,5111,1536691597014561432,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.3172302246,-12.5899534225,3.20500659943
1536691597084096280,5112,1536691597083783096,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.3811473846,-12.4861297607,3.45742702484
1536691597116874680,5113,1536691597116121528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.3893661499,-12.4657230377,3.52731347084
1536691597162571416,5114,1536691597162112408,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.4173250198,-12.4092702866,3.72981262207
1536691597223726520,5115,1536691597222873560,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.4481210709,-12.35633564,3.90939331055
1536691597288178936,5116,1536691597287156280,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.4771575928,-12.3077697754,4.08933591843
1536691597322445112,5117,1536691597321961880,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.4898462296,-12.2908563614,4.14702033997
1536691597379333720,5118,1536691597378906296,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.5126361847,-12.2480010986,4.34412670135
1536691597411516888,5119,1536691597410944088,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.5260562897,-12.2176027298,4.49191474915
1536691597481236248,5120,1536691597478784568,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.5512781143,-12.1774482727,4.70847892761
1536691597511765496,5121,1536691597511465240,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.5777978897,-12.1489887238,4.82473134995
1536691597554116664,5122,1536691597553696312,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.6101789474,-12.1190652847,4.91875219345
1536691597604283896,5123,1536691597603880248,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.6626815796,-12.087064743,5.05203819275
1536691597654773624,5124,1536691597654454328,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.6899404526,-12.0783967972,5.13724422455
1536691597683837240,5125,1536691597683509944,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.710773468,-12.0803289413,5.21363830566
1536691597750975160,5126,1536691597749955576,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7410526276,-12.0960130692,5.30713891983
1536691597805320216,5127,1536691597804944632,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7734670639,-12.1012630463,5.4172334671
1536691597857857144,5128,1536691597856938808,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7873363495,-12.0958881378,5.59650850296
1536691597920189976,5129,1536691597919083096,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7799596786,-12.1035346985,5.73854637146
1536691597976566328,5130,1536691597974103256,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7800111771,-12.1288833618,5.92118883133
1536691598015816024,5131,1536691598013879608,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.7961120605,-12.1395425797,6.00859975815
1536691598045714328,5132,1536691598045496952,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.8125448227,-12.1540527344,6.09801578522
1536691598154344536,5133,1536691598153775320,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.8351831436,-12.2220010757,6.32954788208
1536691598200594936,5134,1536691598200195960,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.8544588089,-12.2460765839,6.40898990631
1536691598246821720,5135,1536691598245286072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.8677120209,-12.293053627,6.54495334625
1536691598316770328,5136,1536691598316223160,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.8844537735,-12.3397750854,6.67011451721
1536691598346516632,5137,1536691598344813528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.894525528,-12.3513822556,6.71215057373
1536691598381699448,5138,1536691598381084536,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.9108381271,-12.3776731491,6.8042178154
1536691598448243928,5139,1536691598447635544,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.9359292984,-12.4430561066,6.98420476913
1536691598487006904,5140,1536691598486045592,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.9610042572,-12.4673919678,7.06195354462
1536691598525977432,5141,1536691598524597592,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.9710245132,-12.477596283,7.10353755951
1536691598572917240,5142,1536691598572172248,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.9925746918,-12.5224533081,7.24501466751
1536691598605245624,5143,1536691598604506680,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.0195455551,-12.5438289642,7.31687545776
1536691598709362008,5144,1536691598708731192,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.0794467926,-12.617354393,7.50379371643
1536691598797075096,5145,1536691598796216536,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.1570196152,-12.6754589081,7.59442663193
1536691598835111096,5146,1536691598834227960,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.1898174286,-12.710392952,7.64008426666
1536691598877240376,5147,1536691598874087800,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.221449852,-12.7541389465,7.67762565613
1536691598931885272,5148,1536691598930135576,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.284992218,-12.7978334427,7.71628808975
1536691599020805624,5149,1536691599019275672,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.3611888885,-12.8629980087,7.77558517456
1536691599088348856,5150,1536691599087600888,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.4222259521,-12.9567861557,7.79940080643
1536691599118984920,5151,1536691599118535288,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.4416217804,-12.9829416275,7.79274606705
1536691599158448088,5152,1536691599158167800,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.4788246155,-13.0379295349,7.77644824982
1536691599205516600,5153,1536691599205133528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.5703887939,-13.1151790619,7.71599292755
1536691599268968184,5154,1536691599268323416,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.6380004883,-13.2186841965,7.61775493622
1536691599329951768,5155,1536691599322490584,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.6985902786,-13.2988958359,7.52075004578
1536691599353709144,5156,1536691599349645464,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.7332706451,-13.331776619,7.46709442139
1536691599385807032,5157,1536691599384033752,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.7893476486,-13.4200687408,7.34097194672
1536691599414817176,5158,1536691599412609816,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.8627223969,-13.4969844818,7.21776533127
1536691599525494648,5159,1536691599520093464,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.0160284042,-13.7021303177,6.866065979
1536691599585419832,5160,1536691599579954872,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.1111326218,-13.8261575699,6.64263057709
1536691599610806232,5161,1536691599608020664,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.1851272583,-13.9120159149,6.4540848732
1536691599693192056,5162,1536691599684326872,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.3106002808,-14.0403108597,6.12743663788
1536691599715430872,5163,1536691599714644920,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.3873634338,-14.1152839661,5.9104757309
1536691599774401464,5164,1536691599770595608,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.5097007751,-14.2302999496,5.56404399872
1536691599810291576,5165,1536691599809765016,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.5990009308,-14.3081521988,5.30885982513
1536691599917830968,5166,1536691599916505048,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.7971162796,-14.4925546646,4.62523078918
1536691600008619320,5167,1536691600007855608,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.9624843597,-14.6658821106,3.89618897438
1536691600109694936,5168,1536691600109178904,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1030254364,-14.8174657822,3.0888273716
1536691600188719768,5169,1536691600188017528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1717004776,-14.9398374557,2.46272087097
1536691600230687384,5170,1536691600229327352,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1916685104,-14.9967269897,2.15961456299
1536691600285939512,5171,1536691600285163672,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.2117862701,-15.0811395645,1.69284152985
1536691600318000568,5172,1536691600316063672,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.2171621323,-15.1055898666,1.5456302166
1536691600364976888,5173,1536691600362694520,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.2001228333,-15.1832952499,1.08291876316
1536691600402671480,5174,1536691600402076312,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.194401741,-15.2052230835,0.943114757538
1536691600454367736,5175,1536691600451633176,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1790933609,-15.2680158615,0.503395617008
1536691600503600952,5176,1536691600502150488,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1621980667,-15.31387043,0.242686077952
1536691600608746104,5177,1536691600607736760,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.0622177124,-15.3974533081,-0.566003680229
1536691600698433112,5178,1536691600695514264,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.9880580902,-15.4287319183,-0.964923858643
1536691600723136056,5179,1536691600721024120,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.9566192627,-15.435552597,-1.22736752033
1536691600762985368,5180,1536691600761582008,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.916727066,-15.4468507767,-1.46261763573
1536691600797825496,5181,1536691600795075128,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.8508720398,-15.4524087906,-1.69732666016
1536691600865045656,5182,1536691600863616408,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.7709064484,-15.4437103271,-2.08725094795
1536691600894100024,5183,1536691600893691192,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.7459793091,-15.4385089874,-2.16436457634
1536691600934289272,5184,1536691600933787896,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.6850442886,-15.4221792221,-2.32777166367
1536691600983592504,5185,1536691600980887896,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.6449117661,-15.3973064423,-2.49774217606
1536691601062839512,5186,1536691601061164760,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.5327033997,-15.3404798508,-2.77204322815
1536691601089251864,5187,1536691601084732952,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.4892435074,-15.3028974533,-2.91006731987
1536691601178615512,5188,1536691601177896056,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.3874416351,-15.2206277847,-3.16474366188
1536691601235850552,5189,1536691601235381656,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.2905769348,-15.1460790634,-3.34544873238
1536691601288443032,5190,1536691601288122616,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.2179708481,-15.0640592575,-3.51683497429
1536691601314672312,5191,1536691601313324056,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.1919984818,-15.0389194489,-3.56477022171
1536691601371624920,5192,1536691601370968664,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.0962944031,-14.9505081177,-3.70954751968
1536691601418743032,5193,1536691601418281528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.0386209488,-14.8945178986,-3.79235935211
1536691601481095192,5194,1536691601478825336,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.9552736282,-14.8021125793,-3.88409328461
1536691601575003576,5195,1536691601574674744,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.8393955231,-14.6392126083,-3.95831513405
1536691601614818744,5196,1536691601613435768,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.7914524078,-14.574877739,-3.97169756889
