%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1536691595364340440,5078,1536691595363358232,,5,65528,40.5914369,-79.897154,414.029998779,0.0,0.0,0.0,-15.6073617935,7.78547668457,-0.179058670998,-15.0,-0.0
1536691595384026744,5079,1536691595383708472,,5,65528,40.5914369,-79.897154,414.029998779,0.0,0.0,0.0,-15.5375337601,7.88269090652,-0.223500669003,-15.0,-0.0
1536691595476391640,5080,1536691595473506520,,5,65528,40.5914369,-79.897154,414.029998779,0.0,0.0,0.0,-15.3914442062,8.07527256012,-0.303207397461,-15.0,-0.0
1536691595524082616,5081,1536691595523282200,,5,65528,40.5914369,-79.897154,414.029998779,0.0,0.0,0.0,-15.316824913,8.1848783493,-0.354108065367,-15.0,-0.0
1536691595544757464,5082,1536691595544492152,,5,65528,40.5914369,-79.897154,414.029998779,0.0,0.0,0.0,-15.2783193588,8.23567581177,-0.377761363983,-15.0,-0.0
1536691595567988920,5083,1536691595567228824,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-15.1967229843,8.36264514923,-0.408494621515,-15.0,-0.0
1536691595631976824,5084,1536691595631572504,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-15.0684299469,8.55270004272,-0.434740453959,-16.0,-0.0
1536691595669429272,5085,1536691595668098488,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.9737501144,8.68531036377,-0.449264317751,-16.0,-0.0
1536691595735806648,5086,1536691595734773112,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.8900842667,8.81702327728,-0.473639816046,-16.0,-0.0
1536691595763636728,5087,1536691595762963320,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.8062334061,8.94237804413,-0.512274563313,-16.0,-0.0
1536691595795647672,5088,1536691595795023992,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.7170372009,9.08470916748,-0.549913227558,-16.0,-0.0
1536691595873487768,5089,1536691595873141688,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.5471410751,9.33253097534,-0.632762730122,-16.0,-0.0
1536691595905676824,5090,1536691595905260184,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.4682350159,9.45252323151,-0.678975760937,-16.0,-0.0
1536691595995427192,5091,1536691595995248792,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.2979078293,9.68825435638,-0.772461175919,-16.0,-0.0
1536691596074583704,5092,1536691596074185560,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.1362295151,9.89347267151,-0.903950512409,-16.0,-0.0
1536691596090779512,5093,1536691596090376568,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-14.0917825699,9.95160961151,-0.941377818584,-16.0,-0.0
1536691596175928088,5094,1536691596175643672,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-13.9322090149,10.142827034,-1.08703315258,-16.0,-0.0
1536691596185989848,5095,1536691596185762424,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-13.8879451752,10.1961669922,-1.11699473858,-16.0,-0.0
1536691596278610776,5096,1536691596277706584,,5,65528,40.5914369,-79.897154,414.029998779,3.94430452611e-31,16.0,-1.95943496414e-15,-13.7323074341,10.372171402,-1.27912187576,-16.0,-0.0
