%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1536692144815328696,2533,1536692144815126904,base_link,-0.00570186757533,-0.0243759772976,-0.986003686358,-0.164833342883,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.19835186005,-0.00392702966928,-0.0465687327087,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.40207265,0.12748645,8.46313895,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692145302239320,2534,1536692145301961560,base_link,-0.0277791010858,-0.23293968656,-0.958537940336,-0.161778987831,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.344503939152,0.0932438373566,-0.0817186832428,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.3533177,0.53936575,7.87473995,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692145691413272,2535,1536692145691163192,base_link,-0.00440870100245,-0.276876046727,-0.941414305523,-0.19250798285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.204759195447,0.108409002423,-0.27747130394,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.63771055,0.48052585,4.1384063,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692146060852152,2536,1536692146060626840,base_link,0.0227097804267,-0.314627864978,-0.920235079605,-0.231648377324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0137960314751,0.0872504785657,-0.250878304243,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.9809433,0.6472389,5.8643767,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692146443526008,2537,1536692146441894360,base_link,0.0488550435643,-0.314407424868,-0.909141750754,-0.268742316993,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00680098868906,0.0390493273735,-0.169687449932,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.2163029,0.93163175,7.75706015,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692146736267288,2538,1536692146736000216,base_link,0.0685526228094,-0.290130918294,-0.90895191224,-0.291429252806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.278509527445,0.0450337938964,-0.243243917823,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.1378497,1.1571847,6.54103555,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692147194703992,2539,1536692147194408888,base_link,0.0983441356391,-0.253230364142,-0.903750103145,-0.330815000759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.168392598629,0.00738714123145,-0.164857417345,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.353596,0.4707192,9.1005712,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692147537789272,2540,1536692147537297048,base_link,0.118327045129,-0.222483069768,-0.901962146709,-0.350662629834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.295632898808,0.014770725742,-0.167554974556,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.40262925,0.0392266,9.30651085,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692147966200120,2541,1536692147965240024,base_link,0.142467987797,-0.188180796233,-0.895360668122,-0.377650810091,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0739471316338,-0.0073140123859,-0.131621718407,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.5301157,0.00980665,8.4141057,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692148346651192,2542,1536692148346070328,base_link,0.158955458895,-0.155115179535,-0.89999367308,-0.375078433905,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.262399703264,0.0144230276346,0.022362915799,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.65760215,0.7256921,7.87473995,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692148698541720,2543,1536692148697894872,base_link,0.170194750415,-0.117464802365,-0.902151631076,-0.378626731338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0734856724739,-0.0452703796327,-0.101581938565,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.745862,0.8237586,9.6889702,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692149085551928,2544,1536692149082110264,base_link,0.152370176483,-0.0934251649684,-0.904590651362,-0.387002353143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.182389065623,-0.199546083808,0.00544054387137,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-2.57914895,0.12748645,13.0232312,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692149423365336,2545,1536692149422960984,base_link,0.11141236306,-0.0781791923989,-0.913769297657,-0.382754451173,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.178435772657,-0.300178259611,0.0558084137738,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-1.81423025,0.50013915,16.30845895,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692149801548568,2546,1536692149801085144,base_link,0.0823234860796,-0.00520109053622,-0.920957027345,-0.380833226074,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.214733317494,-0.279800534248,-0.0345606952906,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.89240515,0.588399,14.50403535,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692150261918488,2547,1536692150261599608,base_link,0.0243292343114,0.0107658048511,-0.926188973437,-0.376119889514,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.128709971905,-0.226186946034,0.0437851734459,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.40207265,0.196133,14.44519545,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692150686512696,2548,1536692150686089016,base_link,-0.0277420394486,0.000474179002786,-0.929419529533,-0.367980288229,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0696687698364,-0.169086247683,0.0493008233607,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0392266,0.5295591,14.91591465,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692151103360280,2549,1536692151103005400,base_link,-0.0584631777463,-0.0087798740509,-0.929003928023,-0.365317221571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.107256688178,-0.117491714656,-0.00220311200246,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0196133,0.4314926,11.76798,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1536692151472560952,2550,1536692151469895576,base_link,-0.0721166816007,-0.0131242270768,-0.929328582589,-0.361905131881,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15255112946,-0.030119009316,-0.00264142872766,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1569064,0.28439285,11.6895268,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
