%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1536692144924236024,3749,1536692144923743032,map,-17.4632415771,41.7538528442,66.8519210815,-0.00570186757533,-0.0243759772976,-0.986003686358,-0.164833342883
1536692145160034232,3750,1536692145159541784,map,-22.272359848,43.1746063232,67.1650619507,-0.00570186757533,-0.0243759772976,-0.986003686358,-0.164833342883
1536692145417367416,3751,1536692145414086584,map,-26.9601364136,44.7929000854,67.4136276245,-0.0277791010858,-0.23293968656,-0.958537940336,-0.161778987831
1536692145671381848,3752,1536692145670077176,map,-31.8683300018,46.671497345,67.4269943237,-0.0277791010858,-0.23293968656,-0.958537940336,-0.161778987831
1536692145904912632,3753,1536692145904259544,map,-36.2328643799,48.4807014465,67.1260528564,-0.00440870100245,-0.276876046727,-0.941414305523,-0.19250798285
1536692146220679928,3754,1536692146220368824,map,-41.8498649597,51.0804824829,66.2747268677,0.0227097804267,-0.314627864978,-0.920235079605,-0.231648377324
1536692146416931480,3755,1536692146414942296,map,-44.4913673401,52.4558601379,65.7352905273,0.0227097804267,-0.314627864978,-0.920235079605,-0.231648377324
1536692146627586104,3756,1536692146627164728,map,-48.4166946411,54.7302894592,64.8025588989,0.0488550435643,-0.314407424868,-0.909141750754,-0.268742316993
1536692146906959608,3757,1536692146905711352,map,-52.8817253113,57.6088867188,63.5091896057,0.0685526228094,-0.290130918294,-0.90895191224,-0.291429252806
1536692147141583864,3758,1536692147140802168,map,-56.5795860291,60.2027702332,62.2459564209,0.0685526228094,-0.290130918294,-0.90895191224,-0.291429252806
1536692147403448888,3759,1536692147402925912,map,-60.1938934326,62.9693107605,60.879611969,0.0983441356391,-0.253230364142,-0.903750103145,-0.330815000759
1536692147624603672,3760,1536692147624291800,map,-63.7528800964,65.8862457275,59.459197998,0.118327045129,-0.222483069768,-0.901962146709,-0.350662629834
1536692147893886968,3761,1536692147893472408,map,-67.5129241943,69.1229782104,57.8628540039,0.118327045129,-0.222483069768,-0.901962146709,-0.350662629834
1536692148201991928,3762,1536692148194207992,map,-71.8346405029,73.0163879395,55.8341445923,0.142467987797,-0.188180796233,-0.895360668122,-0.377650810091
1536692148402600952,3763,1536692148400403864,map,-74.9678955078,75.9457397461,54.2853660583,0.158955458895,-0.155115179535,-0.89999367308,-0.375078433905
1536692148624663000,3764,1536692148624100120,map,-78.0927505493,78.8948822021,52.6785545349,0.158955458895,-0.155115179535,-0.89999367308,-0.375078433905
1536692148900978808,3765,1536692148900435352,map,-82.1155319214,82.6920013428,50.5558013916,0.170194750415,-0.117464802365,-0.902151631076,-0.378626731338
1536692149126227768,3766,1536692149124733816,map,-85.3037185669,85.7100524902,48.8805961609,0.152370176483,-0.0934251649684,-0.904590651362,-0.387002353143
1536692149360855768,3767,1536692149360032856,map,-88.8528442383,89.1159744263,47.2893486023,0.152370176483,-0.0934251649684,-0.904590651362,-0.387002353143
1536692149614918968,3768,1536692149613336952,map,-92.510093689,92.6202011108,46.1285171509,0.11141236306,-0.0781791923989,-0.913769297657,-0.382754451173
1536692149878232184,3769,1536692149877605016,map,-96.9784545898,96.7893218994,45.1679573059,0.0823234860796,-0.00520109053622,-0.920957027345,-0.380833226074
1536692150091053528,3770,1536692150090635512,map,-100.251991272,99.7299575806,44.7269744873,0.0823234860796,-0.00520109053622,-0.920957027345,-0.380833226074
1536692150359041592,3771,1536692150358622360,map,-104.582717896,103.495506287,44.5004959106,0.0243292343114,0.0107658048511,-0.926188973437,-0.376119889514
1536692150598131704,3772,1536692150597599320,map,-108.592834473,106.873802185,44.6111221313,0.0243292343114,0.0107658048511,-0.926188973437,-0.376119889514
1536692150874334584,3773,1536692150873648312,map,-112.956809998,110.490859985,45.07970047,-0.0277420394486,0.000474179002786,-0.929419529533,-0.367980288229
1536692151088967416,3774,1536692151087799160,map,-116.582824707,113.475799561,45.6660919189,-0.0277420394486,0.000474179002786,-0.929419529533,-0.367980288229
1536692151334995800,3775,1536692151334146552,map,-120.757652283,116.939422607,46.4534378052,-0.0584631777463,-0.0087798740509,-0.929003928023,-0.365317221571
1536692151530886328,3776,1536692151530327384,map,-124.103851318,119.744125366,47.2065391541,-0.0721166816007,-0.0131242270768,-0.929328582589,-0.361905131881
